{'短评内容': '宾馆临近马路，晚上会有点吵，关键是预订成功后，到酒店居然没房，还要加价重新订！！！', '短评打分': 2}
{'短评内容': '房间面积足够大，周围环境也安静。就是卫生水平还可以再提高，一次性用品质量应该再提升一下。价格一般吧，不太有竞争力', '短评打分': 4}
{'短评内容': '停车场还好，位置不错，房间选的很安静，人员服务态度很好', '短评打分': 5}
{'短评内容': '很好的，交通便利，哈哈恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚家斤斤计较斤斤计较斤斤计较好，很好哈哈哈', '短评打分': 5}
{'短评内容': '感觉还不错的，很实惠', '短评打分': 5}
{'短评内容': '马马虎虎吧！', '短评打分': 2}
{'短评内容': '住在22楼，房间还不错，就是晚上睡觉有点吵，就在路边，卫生间浴霸坏的，洗澡有点冷，总得来说还不错，值这个价', '短评打分': 3}
{'短评内容': '出入不方便，内置设施简陋。', '短评打分': 3}
{'短评内容': '总体还行，房间干净，挺好的。。。', '短评打分': 3}
{'短评内容': '房间不是很大，是居民楼里面的，但是应该比较安全', '短评打分': 3}
{'短评内容': '有窗户，靠马路，室内陈设简洁，还算比较干净。', '短评打分': 3}
{'短评内容': '一', '短评打分': 3}
{'短评内容': '我从来都没有租过这么差的宾馆，以后不会再来了！', '短评打分': 1}
{'短评内容': '酒店附近环境有点差，服务和卫生都很好……', '短评打分': 5}
{'短评内容': '就在公司楼上', '短评打分': 5}
{'短评内容': '还不错，房间挺大，一台台式电脑，网速不是很快。环境不错，靠近合工大斛兵塘，去散散步还不错，后面靠近小吃街。', '短评打分': 5}
{'短评内容': '房间挺大的，就是房内设备不是很新。之后换了个好的水壶', '短评打分': 5}
{'短评内容': '不错，房间很大，环境也不错，有机会下次再来', '短评打分': 5}
