{'短评内容': '网上预定好房间，去了跟我说没房了，注满了，呵呵，这是什么意思？三更半夜，我又得从新去找房，到了现在酒店的也没打个电话来道歉，已经失望透顶了', '短评打分': 1}
{'短评内容': '价格便宜，环境很好不错，，，，，！，，，！，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置很方便，对面就是海鲜市场，老板很好。', '短评打分': 5}
{'短评内容': '春节去的，价格已经在当时算是不错了，普通如家七天都要六七百。但是卫生一般，有烟味，潮湿，房间密集。', '短评打分': 3}
{'短评内容': '酒店位于市中心，周围全是吃的，交通也非常方便，干净卫生，老板娘很热情，下次有机会再来。推荐 ', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '已经入住条件不错新装修的.离海边也不远.', '短评打分': 3}
{'短评内容': '位于市中心，距离三亚湾海边10分钟，交通非常方便', '短评打分': 5}
{'短评内容': '房间有霉味，不透气。', '短评打分': 3}
{'短评内容': '这个价格在三亚算是可以了，就是酒店房间稍小，没有30吧', '短评打分': 5}
{'短评内容': '酒店很新，但室内光线有点暗。', '短评打分': 3}
{'短评内容': '性价比不高的一家酒店，通风极为不好，类似于农民房办的一家小旅馆，不会再去的', '短评打分': 1}
{'短评内容': '房间干净，离海边，大排档很近，很不错。', '短评打分': 3}
