{'短评内容': '暗房', '短评打分': 4}
{'短评内容': '暗房', '短评打分': 4}
{'短评内容': '暗房', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '环境比较高档，装修比较精致的', '短评打分': 5}
{'短评内容': '感觉酒店环境干净，高档，可以', '短评打分': 5}
{'短评内容': '还不错，房间有点潮湿', '短评打分': 5}
{'短评内容': '酒店基本等于没有隔音，隔壁说话一清二楚', '短评打分': 4}
{'短评内容': '房间太小，就那样吧，圆床房太挤，除了厕所好评，其他都是差评', '短评打分': 3}
{'短评内容': 'this is a bad experience for the first time I use Ctrip, never use again.', '短评打分': 2}
{'短评内容': '虽然服务态度非常的好，但酒店可能开太久了，比较陈旧，尤其地毯味道奇差。', '短评打分': 4}
{'短评内容': '地毯真的旧 很难闻 脚臭味', '短评打分': 4}
{'短评内容': '我之前在华强北出差都是住的山水时尚酒店，因为酒店在装修有异味，才会选择这家返现高的酒店，但不得不吐槽，1排水系统严重有问题2早上9点的时候早餐几乎没什么东西吃也不加下', '短评打分': 1}
{'短评内容': '水温不热、早上9:30分去吃早餐桌上虫子一大堆到处飛、完全没菜说去太晚有这样的事吗？窗户隔音不好，外面声音太吵鄐没辦法睡，千万考虑清楚才去', '短评打分': 1}
{'短评内容': '在靠近华强北的地方，离地铁站比较方便！如果空气再好点就更超值了！', '短评打分': 5}
{'短评内容': '深圳日月时尚酒店房间较多，走廊装修一般，最大好处：有一个火锅城在同一层，可以打电话叫水煮鱼到房间吃，超爽！', '短评打分': 1}
{'短评内容': '七点钟不到，门居然被人从外面打开，猛的惊醒，还好门我从里面反锁了，洗手间积水厉害，房间很小', '短评打分': 1}
{'短评内容': '\u3000感觉一般\u3000隔音很好\u3000不过房间有点小\u3000', '短评打分': 3}
{'短评内容': '这酒店看起觉得还可以，不过细心的发现。地上满是瓜子壳。枕头很脏，黑黑的，。严重怀疑没有洗。打前台通知，没点反映，哪就算了。还有深圳这么热的天气，30多度。空调吹出来没一点冷气。。温度还没有走廊凉快。本来就没有窗，。真难受，又和客服说了，一个男的上来，空调就这样子的，。没办法。。就走了。这怎么解决问题。。奇怪。今时今日的服务怎么行。以后一定不会再来。', '短评打分': 1}
{'短评内容': '房间不错 但是天花板的漆掉下来了 还好没有打到人\n浴巾不怎么干净\n有个灯关不掉', '短评打分': 5}
{'短评内容': '地毯很脏，房间超级小，而且有很浓重的烟味', '短评打分': 1}
{'短评内容': '离雅思考点很近，服务还好  附近吃饭逛街都很方便', '短评打分': 5}
{'短评内容': '不错。比我预期的要好…', '短评打分': 3}
{'短评内容': '房间太小 很闷 呆的时间久就会不舒服 电视也看不清', '短评打分': 1}
{'短评内容': '酒店房间太小，灯光太暗，空调的声音很大，很吵', '短评打分': 1}
{'短评内容': '很好，但是抽风机很吵', '短评打分': 3}
{'短评内容': '我是第三次入住这间酒店了，除了酒店大堂环境差些，别的感觉都挺好。尤其这次图新鲜订了间韩式房间，感觉更是好，很适合带小孩的入住，还很适合象我这样爱坐地下的人，哈哈！', '短评打分': 5}
{'短评内容': '结房很好，这个价格很值得。推荐入住。', '短评打分': 3}
{'短评内容': '空气不好', '短评打分': 3}
{'短评内容': '性價比尚可,but there is a major problems:  internet is not so good, difficult to connect.', '短评打分': 5}
{'短评内容': '房间大部分都是无窗的，有点难的找，跟迷宫一样，房间出奇的小，一张圆床就占满了，不开空调和抽风机会很闷，开了又会很吵，隔音效果不好，但晚上走廊还算安静，卫生一般，谈不上很干净，但我还可以接受，电视比较次，雪花满天，前台态度还OK，下次应该不会住了！', '短评打分': 1}
{'短评内容': '酒店服务还可以，但是特价房太小，只有一个床的位置，桌子上放个电视就没地方了，卫生间门都没有，行李都没发放置，衣服挂钩都没有。房子那么小，电视就该放到墙上去让桌子可以放客人的电脑。没柜子，你多装点挂钩也行嘛，让客人的衣服有个归置才是。房间没窗，空调又不能开说是在维修，只有个排风机不停的工作，燥声就影响休息。我本来订了三天，结果住了一晚只好去别的地方了。除了大厅整个环境弥漫着地毯发出的难闻的味道.其实', '短评打分': 1}
{'短评内容': '酒店房间有点小，卫生一般，价格和七天酒店差不多，但卫生方面和空间相差很多，没有七天的住舒服。也就是马马虎虎一般！', '短评打分': 3}
{'短评内容': '隔音太差，卫生一般，价格还算便宜', '短评打分': 3}
{'短评内容': '很近很方便，整体还好就是价格不便宜。希望', '短评打分': 5}
{'短评内容': '时尚，干净。很满意。而且二楼的餐厅很便宜。', '短评打分': 5}
{'短评内容': '房间布置还行，特喜欢圆床，但是地毯不好，一块一块的铺地上的，房间灯太暗了', '短评打分': 5}
{'短评内容': '条件比较差，光线暗、潮湿，隔音不好。为什么在网上显示4-5星？\n酒店超乎预期的差。', '短评打分': 1}
{'短评内容': '特价酒店不是说的大床双人床么？去到的时候才说是单人房..奇怪了..', '短评打分': 1}
{'短评内容': '不是说的大房、双人房么？入住后才说是单人房..\n还好后来还是换了双人房~', '短评打分': 5}
{'短评内容': '总体感觉一般，大厅和周边卫生情况较差，房间被子很潮住得很不舒服', '短评打分': 3}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '里面好脏， 房间好小， 空气很不好， 没有窗户，一进去就感觉很潮湿， 非常不好！', '短评打分': 1}
{'短评内容': '1 房间竟然挨着餐厅，\n2 各种蟑螂\n3 连香皂基本洗漱都不给\n4 卫生条件不太好\n5 房间昏暗..................................................................', '短评打分': 1}
{'短评内容': '房间没有窗户，味道不好，卫生条件一般，地理位置很好，下次不会住了，太憋得慌，有个窗户就好了！再提高些卫生条件！', '短评打分': 1}
{'短评内容': '床单破，房间小，窗户没有。房间设施简陋！', '短评打分': 1}
{'短评内容': '感觉性价比不高，热水器时冷时热，洗得很痛苦，房间入口在很偏的地方，还穿过一些饭馆等公共地方，感觉很不安全。', '短评打分': 1}
{'短评内容': '电梯环境欠佳，房间灯光条件欠佳，房间搭配良好。', '短评打分': 3}
{'短评内容': '位置还可以，周边休闲、购物也都蛮方便的。\n就房间光线和味道不是太好。不过这个价格在周边还过得去。', '短评打分': 1}
{'短评内容': '服务蛮好，还 算干净，。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这么热的天气竟然下午的时候停电了2个多小时，酒店给出的理由就是物业错开停电，她们也没办法，作为酒店没有发电机吗？再也不会住这酒店了', '短评打分': 1}
{'短评内容': '因为要在赛格考试临时定的酒店 离考试地点还蛮近的 房间比较小 但是床很大 还算比较整洁干净 就是隔音不太好 晚上有点吵', '短评打分': 5}
{'短评内容': '交通方便，房间乾净，离地铁站很近，算是位置很好的地点', '短评打分': 5}
{'短评内容': '服务还好，位置不错', '短评打分': 3}
{'短评内容': '环境很舒适，服务不错，就是有一点吵闹...', '短评打分': 5}
{'短评内容': ' 酒店设服务员,可能星期六少人上班，房间三星，清理干净', '短评打分': 3}
{'短评内容': '服务态度不好,以不好的房间充当好的房间,而且不告之客户.房间味道很差,环境很一般.', '短评打分': 1}
