{'短评内容': '真心不错，服务周到，床舒服', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '没有早餐，很实惠!房间小了点。', '短评打分': 5}
{'短评内容': '服务差   态度差   我订的大床房有窗的   结果跟我说没房了   让我在双床房住一晚  第二天换到6层大床房   结果第二天还说没房    我说我订的就是大床房   他说我订的是地下的    这是我有史以来订的最恶心的房里  再也不信携程了', '短评打分': 2}
{'短评内容': '网络速度极慢', '短评打分': 5}
{'短评内容': '还不错吧，就是在地下一层', '短评打分': 5}
{'短评内容': '前台服务极差，办理入住说没有大床只能给标间，还说找携程也没用，另上午寄存行李忘记收拾房间的衣裤，下午取包裹时也不提醒。', '短评打分': 1}
{'短评内容': '！！！！！！！', '短评打分': 5}
{'短评内容': '价格比较实惠，设施不好，地下的房间', '短评打分': 5}
{'短评内容': '物有所值，入住的是一层的房间，挺好', '短评打分': 5}
{'短评内容': '经济实惠，多次了，以后还会光顾的', '短评打分': 5}
{'短评内容': '1111111', '短评打分': 5}
{'短评内容': '下次绝对不来了', '短评打分': 1}
{'短评内容': '值得购买，值得购买。', '短评打分': 5}
{'短评内容': '紧挨火车站，交通方便，服务很好。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '订好的过去还要加钱，说没有房间了，没房不能提前通知？进门一股厕所臭味 ', '短评打分': 4}
{'短评内容': '好好                                                 ', '短评打分': 5}
{'短评内容': '好好                                                 ', '短评打分': 5}
{'短评内容': '酒店设施良好，服务业周到。周围小吃很多，附近有家名叫百老泉的酒，配上羊汤喝着很带劲。', '短评打分': 5}
{'短评内容': '酒店位于火车站附近，汽车站附近。百老泉酒坊纯粮白酒附近。提供水果和果盘。很不错呢！出差党推荐！', '短评打分': 5}
{'短评内容': '酒店不错，房间空调不热，希望改进。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '装修有点老 电梯踏板缝隙很大很吓人', '短评打分': 3}
{'短评内容': '1111111111111111111111111', '短评打分': 1}
{'短评内容': '比较干净，服务态度也不错，下次去邢台还来这住', '短评打分': 5}
{'短评内容': '挺干净，离火车站很近，唯一不好的就是晚上好像有蚊子。', '短评打分': 5}
{'短评内容': '很干净，我出差，还来摩登！', '短评打分': 3}
{'短评内容': '酒店价格与位置都不错，前台服务更好，以后出差还来这里。', '短评打分': 5}
{'短评内容': '环境不错，比较舒适。还送了水果。服务态度一般般，我网线有问题叫服务员，等了30分钟没人来，中间打了3次电话催他们，依然很慢。其它都比较满意', '短评打分': 5}
{'短评内容': '酒店不错，价格合理交通发达，前台服务更好。', '短评打分': 5}
{'短评内容': '酒店不错前台服务更好，下次出差还住这里。', '短评打分': 5}
{'短评内容': '酒店卫生不错，就是只有网线没有无线网，可能不太方便', '短评打分': 3}
{'短评内容': '干净整洁，服务态度好。', '短评打分': 3}
{'短评内容': '住着很舒服 服务态度也很好 但是为什么我没有水果送？', '短评打分': 5}
{'短评内容': '交通便利，周围也热闹，购物吃饭都方便。房间清静、卫生，第一天还送了水果，赞一个，为啥不天天送？总台热情，每次路过都问好。', '短评打分': 5}
{'短评内容': '总体还可以，对得起价格，很方便。就是早餐太简单', '短评打分': 5}
{'短评内容': '已经在这边住了很多天了，感觉还是不错的，继续支持', '短评打分': 5}
{'短评内容': '不错的环境，房间也比较干净，很安静。虽然在火车站附件，但是基本没有太多噪音。大床房的房型比锦江之星要大一些。', '短评打分': 5}
{'短评内容': '看到网上的评论慕名而来，果然是真的很好，下次还会光顾的！', '短评打分': 3}
{'短评内容': '酒店新开的，非常满意。设施齐全，服务周到。而且隔音非常好。非常满意，极力推荐，下次还去。', '短评打分': 5}
{'短评内容': '很干净，还有小水果赠送，离火车站很近，拐弯就到，比较方便', '短评打分': 5}
{'短评内容': '这儿的环境挺好，交通特别方便，在网上预订还有反券，而且反券用处多多，正好手机没费了交个花费挺好', '短评打分': 3}
{'短评内容': '服务很好，以后出差回经常去。环境很优雅，住宿很安静。好评！', '短评打分': 5}
{'短评内容': '不错，很方便，干净卫生，用具齐全。而且周围交通方便，服务态度也很好', '短评打分': 5}
{'短评内容': '还可以,房间干净整洁,很安静,适合出差旅途居住', '短评打分': 3}
{'短评内容': '环境很好的，房间也挺干净的，每天还有水果送，服务不错，我已经连续住了几天了，以后来邢台还会住的', '短评打分': 5}
{'短评内容': '宾馆性价比一般，房间大，早餐不给力，鸡蛋限一个，早餐券再多，也是一个。房间内电视信号不是太好。一百元价格的房间还不能刷卡。', '短评打分': 5}
{'短评内容': '酒店还行，交通方便，旁边就有公交站，火车站，长途汽车站，环境也还行，下次继续住这个酒店', '短评打分': 5}
{'短评内容': '酒店服务员热心大方，感觉很舒服。房间配套设施很完善，总体不错', '短评打分': 5}
{'短评内容': '酒店很贴心的在晚上提供果盘，房间有小桶矿泉水，比较贴心', '短评打分': 5}
{'短评内容': '环境不错，但周围木有卖吃的确实有点郁闷。嗯，服务也不错，送果盘。', '短评打分': 3}
{'短评内容': '性价比比较高，出行方便，周围是火车站和汽车站，公交线路也很多', '短评打分': 5}
{'短评内容': '服务员和前台接待热情大方，服务很周到。大床房很贴心的准备了小桶纯净水', '短评打分': 5}
{'短评内容': '大床房，卧室跟卫生间的隔间玻璃，不太理想，透明度太高了，希望可以改善，给点个人隐私。', '短评打分': 5}
{'短评内容': '房间不错，干净卫生、前台服务员服务也比较好，下次来邢台出差还住这里。', '短评打分': 5}
{'短评内容': '酒店房间干净卫生，房间宽敞明亮，前台服务员服务也比较好。', '短评打分': 5}
{'短评内容': '酒店不错干净卫生，房间宽敞明亮，前台服务员服务态度好。', '短评打分': 5}
{'短评内容': '房间不错干净卫生，房间宽敞明亮，交通便利，价格也实惠。', '短评打分': 5}
{'短评内容': '给我的第一感觉就是很精致，订的大床间，房间设施还有预置物品非常人性化，性价比很高，是个不错的选择', '短评打分': 3}
{'短评内容': '入住环境舒适，房间干净，服务态度好', '短评打分': 3}
{'短评内容': '酒店房间干净卫生，前台服务态度比较好，交通发达。', '短评打分': 5}
{'短评内容': '不错，环境很好，很安静，离火车站和汽车站都很近，也很方便，附近有很多小吃，用餐也方便，推荐', '短评打分': 5}
{'短评内容': '酒店服务态度很好，蛮热情，交通便利，虽说邻近火车站也没那么吵', '短评打分': 5}
{'短评内容': '摩登住宿条件不错，下次还会入住', '短评打分': 3}
{'短评内容': '很不错的酒店，晚上还有水果送，服务员态度也很热情，离邢台火车站和长途汽车站很近，交通便利，房内有免费纯净水，设施也不错！', '短评打分': 5}
{'短评内容': '很不错的酒店，干净，服务态度好，价格公道，我住了两晚上，值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，很干净，服务态度也很好，价格实惠。', '短评打分': 5}
{'短评内容': '酒店交通非常优越,就在火车站旁边,新装修,房间很干净,服务员态度也很好,酒店照片真实,推荐入住', '短评打分': 3}
{'短评内容': '房间干净舒适，楼下就是长途汽车站，交通方便。下次还选择本酒店。', '短评打分': 3}
{'短评内容': '非常干净。很不错，性价比也不错，晚上还有点心送。。。 值得推荐。。。', '短评打分': 5}
{'短评内容': '  酒店不错，但是自来水不行，很浑浊', '短评打分': 3}
{'短评内容': '由于性能价格比很好,已经是回头住宿这个酒店,以后仍然想入住.', '短评打分': 5}
{'短评内容': '价格便宜,服务好,交通方便,卫生干净,值得入住.', '短评打分': 5}
{'短评内容': '服务挺好，也挺热情。因火车晚点，返程计划被迫推迟一天，再次过去时，依旧按网上给的价格入住，并且还免费送了VIP卡，房间也挺整洁的。因前面五十来米就是火车轨道，刚入住时怕晚上太吵，不过入住后晚上外面一点声音都听不到，说明隔声挺好。', '短评打分': 5}
{'短评内容': '抵达酒店前台的时候竟然被告知预定的带电脑的大床房没有了，不过还好前台的工作人员很灵活，马上给换成了套房，也是大床带电脑，比较满意。另外，酒店是新开业的，设施都还不错，环境也比较安静，工作人员态度也很好，下次去还会入住该酒店的。', '短评打分': 5}
{'短评内容': '非常好，便宜 舒服 干净............满意', '短评打分': 5}
{'短评内容': '环境挺好，就是新装修的噪音特别大，吵的要命，别的都挺好。', '短评打分': 3}
{'短评内容': '我在摩登入住了,环境不错,地理位置优越,房间确实迷你,略微有点闷,但卫生间够大,干净舒适,满意。', '短评打分': 3}
{'短评内容': '第一次住,感觉服务蛮不错 环境很不错,离火车站也很近', '短评打分': 5}
{'短评内容': '交通方便···设施齐全····················', '短评打分': 5}
