{'短评内容': '不是我住的，据说还可以，毕竟便宜。', '短评打分': 4}
{'短评内容': '还可以，情侣去的挺多', '短评打分': 5}
{'短评内容': '房间设施差，只能说可以睡觉，谈不上什么档次，建议携程网还是推荐一些好一点的酒店，不要坏了自己的声誉。', '短评打分': 2}
{'短评内容': '真的是低配啊，电视还有雪花点，也是醉了', '短评打分': 2}
{'短评内容': '酒店位置还不错，很好找，就是设备稍显落后，想洗手发现水龙头没有凉水都是很烫的热水没法洗，别的都还好毕竟这个价位，总体来说给好评', '短评打分': 4}
{'短评内容': '洗个澡连个毛巾都没有 房间里还有烟头', '短评打分': 2}
{'短评内容': '11月末的武汉，初冬时节无热水', '短评打分': 1}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '环境太一般了……', '短评打分': 2}
{'短评内容': '相当一般般，说好的预留房间，去了还涨价', '短评打分': 3}
{'短评内容': '卫生干净，环境好，无线网信号好，免费停车，不过记得出门时向宾馆要停车卡，一天只有一张。就在华科东小门对面。值得推荐。', '短评打分': 3}
{'短评内容': '位置比较好找，房间还不错。。。。。。', '短评打分': 4}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '还可以，还可以，还可以，还可以。', '短评打分': 3}
{'短评内容': '没有窗户 环境一般 服务态度不好', '短评打分': 3}
