{'短评内容': '很不错啊！！！', '短评打分': 5}
{'短评内容': '价廉物美，距景点200米，很方便啊。房间很大，空调制热很好，很暖和。房间里的家居有点破旧，该换换和维修了。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '好，不错，好', '短评打分': 5}
{'短评内容': '服务员态度差，房间内有霉味，到处都是台阶，天花板老鼠大闹天空，室外车辆穿梭吵杂。对面伊龙宾馆标房才150左右，如此客栈绝不会有回头客。', '短评打分': 2}
{'短评内容': '房间还不错，挺干净的', '短评打分': 5}
{'短评内容': '性价比可以 ', '短评打分': 4}
{'短评内容': '离民窑800m ，走过去就可以', '短评打分': 5}
{'短评内容': '不错！下次还来', '短评打分': 5}
{'短评内容': '气死了总之！前台真奇葩', '短评打分': 3}
{'短评内容': '把我气的，出发之前已经通过艺龙网预订了酒店，到酒店居然说没有接受到预定，我都把成功预订信息给前台看了还说没有，结果查了半天才确认有，真牛B，办了入住开卡进房间，准备休息，结果房卡怎么都刷不了，还说我刷错了，弄了2次还是不行，气呼呼我跑到前台重新开卡，居然好了，前台我真佩服你！卫生间好臭，总之给60分！大家酌情，总之下次我不会入住了', '短评打分': 3}
{'短评内容': '酒店环境不错?，卫生还好，下次还住', '短评打分': 4}
{'短评内容': '带妻儿去景德镇游玩，没有找到三人间，只能找两间房间了。酒店位置很好，离古窑很近且去市中心的公交站也很近，总体感觉不错。', '短评打分': 3}
{'短评内容': '很不错的酒店哦，推荐咯', '短评打分': 3}
