{'短评内容': '挺一般的。', '短评打分': 3}
{'短评内容': '还是不错的，在青岛大学正门的门口，打算以后都住在这里，毕竟离学校比较近，楼下就有吃饭的地方，也是比较方便，', '短评打分': 4}
{'短评内容': '无早餐，离青大很近，可以去青岛大学吃饭。房子很新，但入住的当天网络没法用，屋子很干净，我住的当天洗澡水不热，温度差不多体温的温度，也可以洗澡，但不是热水', '短评打分': 5}
{'短评内容': '前台服务差，打电话确认过说是所有的豪华大床房都有窗，结果入住无窗，郁闷，影响出游心情，酒店老旧，卫生差，不建议入住。', '短评打分': 3}
{'短评内容': '酒店的某房间门太紧了，厕所有一个天花板瓷砖快掉了，楼梯扶手上有一个钉子划破了手，卫生和其他设施还可以', '短评打分': 5}
{'短评内容': '环境挺好的交通方便。', '短评打分': 5}
{'短评内容': '价格还是比较实惠的，卫生和连锁差不多，订的130的特价，也不错', '短评打分': 5}
{'短评内容': 'just ok.. everything looks a little old and scratched', '短评打分': 2}
{'短评内容': '缺点：入住时前台俩大姐态度太差，早餐俩鸡蛋俩馒头15元，洗澡水热水只有十分钟……优点：空调给力，距离学校近，门口有停车场', '短评打分': 5}
{'短评内容': '价格很公道，位置很方便。卫生很好，被子较干净。床铺睡上去挺舒服。早点比较丰富，总体来说性价比很不错的！', '短评打分': 5}
{'短评内容': '酒店不错，值得入住', '短评打分': 3}
{'短评内容': '房间都挺好的 没有电梯   还好楼层不高 就天气不好太冷了  空调不是特别的好用希望更换新机啊', '短评打分': 5}
{'短评内容': '去青大考试，很方便，就是价格略贵啊，附近想吃东西什么的不大方便，可能是我自己没找到地方吧，也没看到超市什么的', '短评打分': 5}
{'短评内容': '给老婆出差青岛大学预定的。就在青岛大学大门口，很近很方便。房间很宽敞，比较满意，性价比很高。', '短评打分': 5}
{'短评内容': '感觉一般', '短评打分': 4}
{'短评内容': '离青岛大学很近，旁边吃饭的地儿不多。', '短评打分': 5}
{'短评内容': '还不错，之前热水器有问题反映到前台后很快解决，还赠送了果盘。赞?', '短评打分': 5}
{'短评内容': '再次如住感觉仍然好', '短评打分': 3}
{'短评内容': '房间不错，感觉还行', '短评打分': 3}
{'短评内容': '环境不错，很卫生。就是吊顶有点低，特别是洗手间。总体还可以', '短评打分': 5}
