{'descr': '很好。性价比高。值得推荐。', 'star': 5}
{'descr': '一般', 'star': 1}
{'descr': '住过好几次，现在高架通车了很方便，下高架转个弯就到了。', 'star': 4}
{'descr': '多次入住，但这次感觉不太好。以前没住过1楼的房间。开出来一股味道，1楼房间应该重新搞一下了。', 'star': 5}
{'descr': '很好很满意', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '卫生可以，总体还好！', 'star': 5}
{'descr': '一直以来都住在这里', 'star': 4}
{'descr': '周边晚上吃的很多', 'star': 5}
{'descr': '非常好，很舒适', 'star': 5}
{'descr': '对于出差来说还可以', 'star': 3}
{'descr': '环行吧', 'star': 5}
{'descr': '比较干净整洁', 'star': 5}
{'descr': '设施齐备，条件不错。', 'star': 4}
{'descr': '设施比较齐整，条件不错。', 'star': 4}
{'descr': '一般般，早餐不正规', 'star': 5}
{'descr': '酒店还可以，性价比还算高，就是早餐八点就没有了，感觉不正规', 'star': 5}
{'descr': '在网上预订的是149元一晚，登记的时候说周五周六涨10元，网上信息不全面，我无语，早餐加10元吃的时候还要左转右转的，住房中途还有人敲门说换卡，其实就是拉皮条的往里面塞联络卡片，里面连一次性拖鞋都没有，下次再也不去了，还不如去如家。', 'star': 1}
{'descr': '环境不错，设施很新，不远有麦当劳和吃饭的夜市，服务不错网速也很快，可惜不能拉卡。这点不大好', 'star': 5}
