{'短评内容': '押金好几天都不退', '短评打分': 2}
{'短评内容': '好，性价比不错！', '短评打分': 5}
{'短评内容': '早餐不错，住的俄罗斯人多，离大东海很近！', '短评打分': 5}
{'短评内容': '很好的一次入住', '短评打分': 5}
{'短评内容': '位置不错，离市区近，吃饭方便', '短评打分': 4}
{'短评内容': '各种好评，，交通方便，附近吃的多，，酒店设施好，，服务员热情', '短评打分': 5}
{'短评内容': '很舒服的地方!', '短评打分': 5}
{'短评内容': '东西不错', '短评打分': 5}
{'短评内容': '京东定酒店不错，方便快捷，秒确认，比携程强多了', '短评打分': 5}
{'短评内容': '还是不错的快到钻石了', '短评打分': 5}
{'短评内容': '大东海性价比非常高的酒店', '短评打分': 5}
{'短评内容': '价格优惠，还有接机服务！！！', '短评打分': 5}
{'短评内容': '小，旧，夜里很吵。不过有沙滩椅。有游泳池。', '短评打分': 5}
{'短评内容': '价格便宜，客房设施太陈旧，中午退房时间排8.9个人，也只有一个工作人员办手续。服务太差！', '短评打分': 3}
{'短评内容': '京东订酒店好便宜，以后就用京东了', '短评打分': 5}
{'短评内容': '酒店地理位置很好，步行到大东海10分钟。早餐也不错，就是房间有点小，虽然有窗但是还是很暗的感觉', '短评打分': 5}
{'短评内容': '第一次在京东下单定酒店，挺方便。', '短评打分': 5}
{'短评内容': '超级划算 双早加接机 希望到时能如所愿', '短评打分': 5}
{'短评内容': '没什么可说的，就是有霉味', '短评打分': 4}
{'短评内容': '服务特别好 有5星的样子 之前住的酒店比较吵各种睡不好觉 跟前台说了之后特意安排楼层高背靠街道的房间 以后再去三亚还住这！', '短评打分': 5}
{'短评内容': '还不错，性价比高！！', '短评打分': 4}
{'短评内容': '位置不错。其他一般', '短评打分': 4}
{'短评内容': '设施确实有点旧，但整体还是不错的，就是用冰箱什么的还需要和服务台联系不太方便，周边吃的也很多，但下面自助就行，三亚的海鲜不太好吃，可以点鱼', '短评打分': 5}
{'短评内容': '下面98元的自助负责吃饱，但不吃好，汤不错可以尝尝，有钢琴伴奏', '短评打分': 5}
{'短评内容': '服务不错，卫生也还可以，早餐不是特别丰盛但也足够，主楼房间略小，主要是位置好去哪里都方便，酒店有游泳池，水比较干净，性价比较高。', '短评打分': 5}
{'短评内容': '入住的主楼，设备有点老，其他都ok', '短评打分': 5}
{'短评内容': '酒店有电瓶车去沙滩，半小时一次，很方便，酒店环境也不错', '短评打分': 5}
{'短评内容': '老牌酒店，卫生不错，设施稍旧。位置在大东海广场边上，去海边、吃饭都很方便', '短评打分': 5}
{'短评内容': '游泳池较小，房间小周边环境一般，胜在便宜', '短评打分': 3}
{'短评内容': '服务态度很好！', '短评打分': 4}
{'短评内容': '比较老的酒店，洗澡也是站在浴缸里的那种，但是位置在大东海，闹中取静，出门不远就是海滩，还有海鲜大排挡，适合度假。', '短评打分': 4}
{'短评内容': '一点都不物有所值 不推荐！酒店临街 很嘈杂 基本矮的楼层看不到海景 另外厕所下水堵了 2880一晚的房价 基本能算黑店了', '短评打分': 1}
{'短评内容': '很好，交通比较方便，环境也不错，适合家庭入驻\n', '短评打分': 5}
{'短评内容': '此次我是住的该酒店主楼特价大床房，该酒店地理位置不错，离海边、免税店、商场很近，周边吃饭、坐车也很方便。酒店房间设施也很全、床上用品舒适，卫生间毛巾、浴巾较新，是值得推荐的一个度假酒店，只是特价大床房稍小，房价稍高。', '短评打分': 5}
{'短评内容': '先说不足离海边有几步距离但饭店有专人开电瓶小车接来送往很是方便；早餐尚可，变化不大，住上半个月，会倒胃口；价格适中。', '短评打分': 5}
{'短评内容': ':宝宏总体说不错，从设施到服务都挺oK的，就是离马路太近汽车燥音大，有些影响休息。不过我很喜欢它的私家沙滩非常满意。', '短评打分': 3}
{'短评内容': '1-订的是主楼，入住却只能在副楼，当时没有反应过来。隔了一条马路\n2-房间有点局促，设施还好\n3-早餐好差，质次价高（增订儿童60+9）\n4-离沙滩不远，也有电瓶车到，自己走去倒也方便，沙滩一般。只是三亚的车速度好快啊，过马路好辛苦\n综上，下次绝不再选大东海住', '短评打分': 1}
{'短评内容': '貌似不值。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '海滩不错，交通方便，家庭房房间不错，家庭套餐挺实惠的。总体还是很满意的', '短评打分': 5}
