{'短评内容': '不错的选择，性价比很高', '短评打分': 5}
{'短评内容': '住的很舒服！', '短评打分': 5}
{'短评内容': '很干净 还赠送水果  很好！', '短评打分': 5}
{'短评内容': '房间不大，还算干净，周围吃的东西很多。', '短评打分': 4}
{'短评内容': '坏境很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '环境还可以 有停车场挺方便的。下次还会入住', '短评打分': 5}
{'短评内容': '房间还行，就是房间里味道比较重。服务一般。其他还好', '短评打分': 5}
{'短评内容': '设备特别一般', '短评打分': 4}
{'短评内容': '看演唱会才订的这家，很近很近啊，很方便！周边吃的也多，酒店服务很好，有要求都尽量满足，早餐一般，简单的酒店就不要要求太高了，够一顿就好', '短评打分': 5}
{'短评内容': '看演唱会才订的这家，很近很近啊，很方便！周边吃的也多，酒店服务很好，有要求都尽量满足，早餐一般，简单的酒店就不要要求太高了，够一顿就好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '经济型连锁，对设备有要求就会有点失落，地点和位置好，安静。前台女服务员的态度很不错，赞，5分评价。另外的男同胞业务还要多练习，暂扣一分。', '短评打分': 3}
{'短评内容': '经济型连锁，对设备有要求就会有点失落，地点和位置好，安静。前台女服务员的态度很不错，赞。另外的男同胞业务还要多联系。', '短评打分': 3}
{'短评内容': '经济型连锁，对设备有要求就会有点失落，地点和位置好，安静。前台女服务员的态度很不错，赞。另外的男同胞业务还要多联系。', '短评打分': 4}
{'短评内容': '经济型连锁，对设备有要求就会有点失落，地点和位置好，安静。前台女服务员的态度很不错，赞。另外的男同胞业务还要多联系。', '短评打分': 3}
{'短评内容': '不错喔，我带家人住这，大家都很开心，喜欢厦门的服酒店，服务也很好哟，赞', '短评打分': 5}
{'短评内容': '房间舒适，干净整洁，交通方、停车免费，价格便宜很满意、下次再来', '短评打分': 5}
{'短评内容': 'wifi信号实在太差了，形同虚设！', '短评打分': 3}
{'短评内容': '各方面都还可以，就是隔音效果不是很好！！', '短评打分': 5}
{'短评内容': '环境优雅！', '短评打分': 5}
{'短评内容': '酒店房间很大，也蛮干净的关键价格很便宜', '短评打分': 5}
{'短评内容': '算是ok 干净 舒服 也便宜  ！！！！！', '短评打分': 5}
{'短评内容': '朋友推荐的酒店，蛮不错的，交通方便，干净而且价格很便宜', '短评打分': 5}
{'短评内容': '非常干净，安静，旁边就是大润发，周边很多车站很便利', '短评打分': 5}
{'短评内容': '酒店还可以，位置较好', '短评打分': 3}
{'短评内容': '做得很用心的一家酒店。离厦门的中心地段有点远，除此之外，非常推荐。', '短评打分': 5}
{'短评内容': '房间很干净，洗手间内有专门隔开的洗澡的地方，有飘柔，强生婴儿沐浴露（和一般酒店不一样），有赠饮的康师傅矿物质水两瓶，还有茶具茶杯挺方便的。', '短评打分': 5}
{'短评内容': '酒店服务很好，房间也很有特色，干净整洁。附近有大润发等', '短评打分': 5}
{'短评内容': '服务和安全都不错，只是国庆节的时候住感觉太贵了……房间卫生还可以，不过比起星级酒店还是有差距哈。', '短评打分': 5}
{'短评内容': '停车超级方便，会员价更实惠。', '短评打分': 3}
{'短评内容': '房间挺好的，就是有点贵。', '短评打分': 3}
{'短评内容': '態度很不錯 房間乾淨 又很大 各項配套都很齊全 洗髮水是飄柔 沐浴乳是強生的 離公車站也很近 下次還會再來的', '短评打分': 5}
{'短评内容': '干净整洁，叫外卖找针线等小服务都能很好提供，离火车站很近，总体比较推荐', '短评打分': 3}
{'短评内容': '地理位置靠近松柏汽车站，人不是太多，这点很好。我入住的大床房，感觉真的很不错。设施比较全，对得起217一晚的价格，还很干净。总之值得推荐', '短评打分': 5}
{'短评内容': '電梯不方便  要刷卡  客人來訪不便  裝修蠻舊了  地毯不干淨', '短评打分': 1}
{'短评内容': '性价比还可以，前台态度蛮好的！值得一住！！！！', '短评打分': 5}
