{'descr': '位置挺好的 就是房间有点小，无线网络经常上不去。', 'star': 5}
{'descr': '环境不错已经是第二次住了', 'star': 5}
{'descr': '房间太小，设备差', 'star': 3}
{'descr': '设施一般，但是客房服务不错，被子床铺干净，么有梳子', 'star': 4}
{'descr': '性价比挺高的吧，订的携程特价酒店，房间温度可以，不过空调比较旧，总是没有一次性梳子，电话机线是断的，不过客房服务态度挺好，被子和床也干净。', 'star': 4}
{'descr': '挺好的，京东项目开展的越来越多～', 'star': 5}
{'descr': '前台服务员很热情服务很好，房间很干净，离中央大街很近，希望改善下网络，下次还会过来入住', 'star': 5}
{'descr': '这个就不咋地了，客户和酒店都搞不明白订单。。。。。', 'star': 5}
{'descr': '酒店位置不错，但是环境一般', 'star': 5}
{'descr': '地段很不错，交通便利&hellip;只是，老楼房装修下就算连锁酒店？房间小暖气还超热特别干燥，心想地段好也行续住吧，到前台人家说续住必须网上预定才行，155订的现在要290+，果断退房，店大欺客人家可不怕没人住，这个季节游客真心多&hellip;以后不会再来了?', 'star': 5}
{'descr': '屋里的温度不错 卫生也可以 但服务偶尔很差的 我要指出来 也是为了此店生意以后会好起来 我要一瓶水 始终没有送来 没办法 烧水喝了 出行方便', 'star': 4}
{'descr': '酒店的好评不知道哪来的，除了位置不错外其余真不咋滴，房间特别小，热水小的根本没办法洗漱，我担心大床房小就特意要了个高级大床，谁知道进来后放了一个箱子后就没办法走人了，第二个箱子都放不进去，我还特意问了前台，他们说这是他们家最大的房间了。', 'star': 3}
{'descr': '地理位置很好，到机场大巴车站很近，去哪都很方便，公交，打车都可以', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '很好！方便！快捷', 'star': 5}
{'descr': '还不错，位置特别方便，只是不方便打车，房间很暖和，有暖气', 'star': 4}
{'descr': '床很大很爽', 'star': 4}
{'descr': '出行很方便，环境不错，服务员很热情', 'star': 5}
{'descr': '还不错，去中央大街很方便', 'star': 5}
{'descr': '安排朋友入住，还算可以吧！有点贵', 'star': 5}
{'descr': '酒店位置很好，距离中央大街南口1分钟，客房很干净、整洁，热水充足，洗具齐备。满意！', 'star': 5}
{'descr': '按哈尔滨的观点，或许不错了，但装备不如南方住过的汉庭；餐厅在地下室，品种比较简易；离中央大街和大教堂比较近，走路几分钟可以抵达；早上出门发现，隔壁就是日本人当年的监狱旧址。。。不禁感慨万千。。。', 'star': 5}
{'descr': ' 很好很干净', 'star': 3}
{'descr': ' 很好的地段', 'star': 3}
{'descr': '好，方便去中央大街。省去打车的费用了，强烈推荐。', 'star': 5}
{'descr': '酒店一般，地理位置好，谁让咱图便宜了。交通不是很便利，打车有点困难。到火车站比较近。', 'star': 1}
{'descr': '干净，舒适\n地理位置也不错！！！！！！！！！！！', 'star': 5}
{'descr': '地理位置还行，服务也比较不错，就是浴巾什么的也太旧了吧', 'star': 5}
{'descr': '不错,离中央大街也很近,设施也还可以,也挺干净的,就是行李寄放只能12个小时,不然要收费...', 'star': 5}
{'descr': '房间干净，距中央大街很近，预订也很顺利，总体还不错。', 'star': 3}
{'descr': '房间太小，但设施可以，地理位置不错', 'star': 3}
{'descr': '酒店就在中央大街一端的入口处，很方便自由行的人，可以自己到处逛。其他也都不错。', 'star': 5}
{'descr': '住宿条件还不错，到市中心也比较方便，推荐大家。', 'star': 5}
{'descr': '地理位置优越，比较方便，前台驴脸服务，客房服务还好。总之，相当一般！', 'star': 1}
{'descr': '位置很好，离市中心很近，索菲亚教堂令人失望，内部被改造得面目全非', 'star': 5}
{'descr': '还可以，位置很好，但是房间有点小，暖气不是很热，哈尔滨还是很冷的', 'star': 5}
{'descr': '酒店服务态度很差，说话很不客气，以后不回再来住，今晚都会住得不舒服！', 'star': 3}
{'descr': '住过很多次了，方便快捷。离中央大街很近~~~', 'star': 5}
{'descr': '地理位置还可以，房间有点小，一般吧!', 'star': 3}
{'descr': '近中央大街十分便利機能性佳', 'star': 3}
{'descr': '＋交通便利离中央大街很近，房间环境舒适早餐也很好。只是暖气不太热，总体还是值得推荐的', 'star': 3}
{'descr': '交通方便，很好。', 'star': 3}
{'descr': '地理位置很好，离中央大街入口步行2分钟。可我订的大床房实在是个鸽子笼，一张大床占去一大半，剩下只有走道，进屋后除了床上无处可待，挂衣服都还得占屋内通道。老实说这个屋子做99块的特价那种还可以，2百多就尼玛太坑爹了。房间里的浴巾有酸味；热水也不够热，都明显低于体温了，洗澡被凉得很不舒服。待了一晚马上就逃了。', 'star': 2}
