{'descr': '位置还行，早饭一般', 'star': 4}
{'descr': '服务真的太差了，出门玩不是来生气的，以后再也不带亲朋好友来了，不建议入住', 'star': 2}
{'descr': '好好好', 'star': 5}
{'descr': '本来定的无锡酒店，涵田半山温泉泡的有点晚了，就附近随便找了个酒店，凑合住一晚', 'star': 4}
{'descr': '环境太差', 'star': 2}
{'descr': '还可以吧，价格实惠，房间也干净，就是早餐差了点', 'star': 4}
{'descr': '设备陈旧，没有宽带，携程说有宽带，事实是没有，谎报信息，服务态度较差，没有亮点，纯槽点。', 'star': 1}
{'descr': '进入酒店大厅还不错，房间设施很老旧，卫生异味很重，十一期间卖了高价房，感觉很不值！还有前台服务也不咱的，很生硬的感觉！', 'star': 3}
{'descr': '还好吧。。。。。。。。。。。。。。呵呵呵。。。。。。。。。。。。。。。。。。。。。。？？？？？？？？。', 'star': 5}
{'descr': '还可以吧，节假日不能要求太高', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '个人觉得还是蛮好的～房间很干净～服务不错～早餐也还可以～如果是玩天目湖山水园～交通很方便～可以步行到达～如果是御水温泉和南山竹海就相对较远了～', 'star': 5}
{'descr': '蛮好，位置好，价格不高，服务还行，也不旧，挺好的', 'star': 5}
{'descr': '蛮好，交通方便，价格公道，服务还行，性价比不错', 'star': 5}
{'descr': '环境还可以服务态度好房间大，不错环境蛮好交通也方便房间也满舒服', 'star': 5}
{'descr': '炎炎夏日，走进酒店凉风阵阵，一家性价比很高的酒店，之前也是听朋友的介绍，说酒店怎么怎么的好，就过来试一试了，果然很好，房间的装潢很温馨，', 'star': 5}
{'descr': '非常非常垃圾的酒店，建议取消预定，严重影响京东的声誉！ 1.前台就是骗子，一会说无法刷卡，一会说刷卡机没纸。2.房间严重的油漆味道，毫不夸张的说眼睛都睁不开。3. 白天竟然没有空调和热水，要七点以后才有，迫使你出去！还四星级，比如家差远了。4. 早饭太垃圾了，难吃不说了，粥像喂猪一样扔到桌子上，回收的用餐垃圾桶就放在餐厅门口！。         以后一辈子也不会住了，这种酒店早点倒闭！', 'star': 1}
{'descr': '天刚从这家酒店回来,感觉很不满意,主要以下几点:\n1.贵宾房间很一般,而且有点异样味道,窗户竟然连扣也坏了,晚上住得很心慌,房间没有明亮的灯光;\n2.像餐巾纸/吹风机等最基本的东西都没有;\n3.早餐时间是7:00到9:00,但是我们八点一刻下去连粥都没了，基本上除了两种馒头,其他连喝的都没有,品种也极少,就六七种吃的,这个价可以\n\n住两个晚上的快捷酒店都要强点，这天住的客户，大家可以评价一下的;\n', 'star': 1}
