{'短评内容': '住的还行 环境一般说实话。反正和价格比起来 有点不对称啊', '短评打分': 4}
{'短评内容': ' 环境不错', '短评打分': 3}
{'短评内容': '里面的设施已经有点陈旧了，是否考虑换一下呢？', '短评打分': 5}
{'短评内容': '已入住，不错，环境挺好，满意。', '短评打分': 3}
{'短评内容': '环境不错，地理位置好方便。服务也不错。下次还来住。', '短评打分': 5}
{'短评内容': '中规中矩吧。没有什么大的优点，也没有明显缺点。中庸。设备也不新了。', '短评打分': 5}
{'短评内容': '酒店设施老旧，隔音差，房间内菜单价格没更新，和实际收费有出入。不推荐。', '短评打分': 1}
{'短评内容': '四星级的酒店，地理位置不错，周边有超市银行及多家酒店。行政房间不算很大也不算跌份。', '短评打分': 5}
{'短评内容': '就是传统的星级酒店，设施比较旧，但也说得过去，旺季价格稍高', '短评打分': 1}
{'短评内容': '出差住还不错，会继续支持！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '<武汉葛洲坝大酒店>房间干净但较小，标间358元每晚（不含早餐）偏贵，如用早餐40元每位，该早餐品种少太贵不值。', '短评打分': 5}
{'短评内容': '很好  真很好 很干净。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，住过几次了，物美价廉，比较习惯住这里了，推荐给大家！ \n', '短评打分': 5}
{'短评内容': '宾馆不错，还去住。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '宾馆不错，安排客户住的，里面怎么样，不是很清楚，可是反应很好', '短评打分': 5}
{'短评内容': '服务很好，房间宽敞明亮，交通便利；但早餐一般，房间内硬件一般，一次性洗漱用具一般。', '短评打分': 5}
{'短评内容': '酒店交通方便，房间安排得比较安静，酒店前台客服态度非常好，有温馨如家的感觉。', '短评打分': 5}
{'短评内容': '.不错的，似曾相识，因为是第二次入住，以后还会来。', '短评打分': 3}
{'短评内容': '服务好，在商业区比较便利购物，只是房间小了一点。', '短评打分': 5}
{'短评内容': '条件还可以，性价比基本适当。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '设施虽然比较陈旧，服务态度还不错，周边出行比较方便', '短评打分': 5}
{'短评内容': '市区中心地带很好，条件一般，停车辆困难！', '短评打分': 5}
{'短评内容': '酒店环境很好，服务态度很好，房间和床小了一点哦！', '短评打分': 5}
{'短评内容': '公司客户一般都安排住在这里，其实有更多更好的选择', '短评打分': 5}
{'短评内容': '位置还不错 环境还可以 不错的地方 去周围逛街很方便 超市也很方便', '短评打分': 5}
{'短评内容': '酒店房间比较小，空调噪音大，床也很硬，完全达不到四星级的要求~', '短评打分': 1}
{'短评内容': '卫生还可以有网线安静价格不高，交通方便，每次来都住这', '短评打分': 5}
{'短评内容': '不太像四星的标准！！我是不会推荐给我的朋友的！酒店太老！房间一般！', '短评打分': 5}
{'短评内容': '这是一家很不错的酒店，值得推荐。\n当初我在网上找了好久，其它好多酒店都是不带早餐的。最后找到了葛洲坝大酒店，带双早餐。', '短评打分': 5}
{'短评内容': '给朋友定的，说是一般，不太符合4星的标准，所以不做推荐了', '短评打分': 1}
{'短评内容': '房间面积大,干净,宽带也可以,性价比还可以,出租难搭', '短评打分': 5}
{'短评内容': '不是自己住的，同事去的，好像还好吧，位置不错~', '短评打分': 5}
{'短评内容': '酒店地理位置很方便，其他方面一般，床还行，附近建筑工地施工噪音较大，装修较旧，窗户隔音不行。', '短评打分': 5}
{'短评内容': '房间有点旧，空间不大，有浴缸，空调声音比较大，早餐也没有什么特别的', '短评打分': 3}
{'短评内容': '环境不错 价格还行 晚上很安静 服务态度 不是很好 需再提高', '短评打分': 5}
{'短评内容': '还不错，就是早餐差了些，没有啥吃的,希望下次改进', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '感覺環境有點旧了,价格还可以.4星级的酒店没达到一样', '短评打分': 5}
{'短评内容': '不错，还算可以，比较安静，只是年份稍久一点。挺方便的。', '短评打分': 5}
{'短评内容': '分老楼新楼，还可以。交通方便，不过最近旁边在建房子，偶尔会有点吵', '短评打分': 5}
{'短评内容': '条件挺好，就是酒店有点旧。早餐和酒店的饭菜还可以。', '短评打分': 5}
{'短评内容': '酒店地段好、服务也不错，就是硬件条件相对陈旧了一些，与4星的标准有些不匹配。\n\n缺点：\n入住前2晚由于房间空调有问题，太热导致根本没法好好休息。第3晚客人强烈要求下才更换房间，酒店应该在客人入住前就检查房间的硬件是否有故障，减少客人的不佳体验。', '短评打分': 5}
{'短评内容': '我订的是套房。房间相当不错，服务员服务态度就好。', '短评打分': 5}
{'短评内容': '位置不错，但是一家老酒店，卫生条件不错，停车场保安也挺负责。', '短评打分': 5}
{'短评内容': '酒店配套很好。交通好方便。附近有好多好吃的地方。', '短评打分': 5}
{'短评内容': '硬件需要更新', '短评打分': 3}
{'短评内容': '早餐丰富可口、酒店大堂经理办事效率真的非常高、而且很负责任！此次入住十分愉快！推荐喜欢交通便利的商务人士首选！\n但是如果床再稍微软一些，可能会更好哦！继续努力！', '短评打分': 5}
{'短评内容': '标间房间太小，地理位置还不错，早餐还行，如果按38／人就不划算', '短评打分': 3}
{'短评内容': '很好不错 还行 下次继续住 附近很热闹 有很多小吃味道不错 旁边饭店也很方便的', '短评打分': 5}
{'短评内容': '位置好,早餐丰富,服务一般,酒店设施陈旧,无浴缸.', '短评打分': 5}
{'短评内容': '酒店环境不错，交通很方便。设施也较完善，礼宾部服务非常周到。', '短评打分': 5}
{'短评内容': '交通很便利，服务好，房间内环境还不错，房间不是很大。', '短评打分': 5}
{'短评内容': '酒店可以,有可能向朋友推薦,..........', '短评打分': 5}
{'短评内容': '房间隔音不太好，地理位置不错，出行购物吃饭很方便，旁边就是美食一条街。', '短评打分': 3}
{'短评内容': '房间设施老旧，只能算得上准三星级，达不到四星 ,交通方便,早餐还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': ' 酒店不错', '短评打分': 3}
{'短评内容': '客房一般。太老的装修了，不推荐该酒店。', '短评打分': 3}
{'短评内容': '价格还可以，服务也听不错，蛮好的,我都连续住好多天了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很陈旧,床也不舒服,枕头也不舒服,晚上没睡好,空调噪音很大,不如住新开业的经济酒店,', '短评打分': 1}
{'短评内容': '十1207房', '短评打分': 3}
{'短评内容': '房间设施很老，服务态度还行，硬件条件太差了', '短评打分': 5}
{'短评内容': '酒店还行', '短评打分': 3}
{'短评内容': '住了两次非常不错的一家酒店````````````````````````', '短评打分': 5}
{'短评内容': '华中科大同济医学院旁边。老四星了，附近正在搞建设，灰很重，环境不大好。', '短评打分': 5}
{'短评内容': '房间设施老旧，只能算得上准三星级，达不到四星', '短评打分': 1}
{'短评内容': '价格还行 周围环境 还好 早餐没有咖啡希望改善一下呵呵 ', '短评打分': 5}
{'短评内容': '价格环境 还行 旁边的饭店 价格太贵 没啥好吃的', '短评打分': 5}
{'短评内容': '不错价格 环境 还行 吃饭不方便 旁边的餐厅价格太贵了 呵呵 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '遇到了武汉难得一见的“房荒”，香格里拉、新华诺富特、晴川假日都满房才挪到这里。首房无法上网、换房后服务员不敲门“如入无人”进出数次、一层纸的隔音效果……\r\n和标称的星级差得似乎太远。', '短评打分': 1}
{'短评内容': '房间不错，服务很好，早餐不错，如果有电吹风机最好，', '短评打分': 5}
{'短评内容': '出行方便，车辆过多。房间陈旧，早餐一般。价格稍高，', '短评打分': 5}
{'短评内容': '房间里面的设施有点老，性价比不是很高，房间里面很多消费品都没有标注价钱', '短评打分': 1}
{'短评内容': '嗯是一家很不错的酒店，下次还考虑入住..', '短评打分': 5}
{'短评内容': '花钱买罪受坑你没商量空调不给开盖因室外凉饮料贵三倍看书付银洋甭信广告语是你没眼光', '短评打分': 1}
{'短评内容': '房间挺舒适！', '短评打分': 5}
{'短评内容': '房内色彩暗淡了些，但很安静，蛮好的，可以睡个好觉了', '短评打分': 5}
{'短评内容': '酒店卫生情况一般，没有早餐赠送有点遗憾，价格偏贵一些', '短评打分': 3}
{'短评内容': '太陈旧，不值！', '短评打分': 5}
{'短评内容': '＋如果有别的选择不会住在这里，房间设施比较陈旧，地理位置还行。', '短评打分': 3}
{'短评内容': '酒店安全环境卫生较好，如能赠送早餐就比较好了，周围吃早餐的地方不是太多', '短评打分': 5}
{'短评内容': '挂名四星，其实也就二星水平。\r\n房间里竟然没有拖鞋，床小，隔音不好，前台接待就更差了。\r\n尤其是早上结帐，工作一团麻，太乱了。没见过这么差的酒店。永远不想再来住了。', '短评打分': 1}
{'短评内容': '客房设备旧了些,毛巾发黄!注意,您是挂牌四星呀!', '短评打分': 5}
{'短评内容': '卫生条件好，性价比高，值得再次入住，希望提供早餐', '短评打分': 3}
{'短评内容': '卫生条件好，性价比高，值得再次入住，希望提供早餐', '短评打分': 3}
{'短评内容': '卫生条件好，性价比高，值得再次入住，希望提供早餐', '短评打分': 5}
{'短评内容': '因为订不到酒店，如果有别的酒店选择，我不会选择住这里。', '短评打分': 1}
{'短评内容': '条件可以，价格有点偏高，在武汉来说四星级能到这个价格相对不错了', '短评打分': 5}
{'短评内容': '地毪太旧了，看着不舒服，其它都还可以，交通也方便', '短评打分': 5}
{'短评内容': '+出门交通可以', '短评打分': 5}
{'短评内容': '进入酒店大堂印象不错，但房间设施陈旧，有些失望。酒店位置不错，尤其是晚上吃宵夜很方便。', '短评打分': 5}
{'短评内容': ' 真拉机', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便，美中不足：设施旧点。', '短评打分': 5}
{'短评内容': '地理位置不错，就餐方便。房间设施有些陈旧，电视偏小。不过，价格不错。', '短评打分': 5}
{'短评内容': '房间内部有点儿老旧，有点儿不符合四星的标准', '短评打分': 1}
{'短评内容': '酒店太破了！！！', '短评打分': 5}
{'短评内容': '服务不错，地毯有点脏，升级到豪华房后，送了个早餐，味道还不错。另外，2楼的餐厅味道很好，尤其是服务员很能侃，服务不错。', '短评打分': 5}
{'短评内容': '送的自助早餐不错，酒店比较陈旧了。', '短评打分': 1}
{'短评内容': '很不错的酒店。交通、吃饭都很方便。', '短评打分': 5}
{'短评内容': '一家不错的酒店，下次还去', '短评打分': 5}
{'短评内容': '一般，性价比不高，338的如果在260左右比较合适目前的条件', '短评打分': 5}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '总体应该可以,服务细节需要提高。', '短评打分': 5}
{'短评内容': '不好不推荐', '短评打分': 1}
{'短评内容': '总体来说性价比一般，服务不错，位置也不错，离新华路客运站很近，坐机场大巴很方便。自助价格有点高', '短评打分': 5}
{'短评内容': '很好的酒店。下次来武汉还住这。', '短评打分': 5}
{'短评内容': '除了位置尚可，无性价比', '短评打分': 3}
{'短评内容': '服务差，空调噪音大，要求换房还不情愿', '短评打分': 3}
{'短评内容': '设施要换，霉味重', '短评打分': 1}
{'短评内容': '设施陈旧', '短评打分': 5}
{'短评内容': '不错酒店 价格不错 位置不错 服务不错 呵呵', '短评打分': 5}
{'短评内容': '很好，就是希望以后房间能够大一些', '短评打分': 3}
{'短评内容': '酒店位置不错，桥口路吃饭比较方便，但酒店设施比较陈旧，舒适度一般288元价格与同档次比较明显偏高', '短评打分': 1}
{'短评内容': '酒店的環境非常好，房間設施也很不错，交通便利。服务也好', '短评打分': 5}
{'短评内容': '住宿条件一般，房间有点小但交通便利，员工服务态度还可以。', '短评打分': 5}
{'短评内容': '条件还可以', '短评打分': 5}
{'短评内容': '房间太旧了，其他还行', '短评打分': 3}
{'短评内容': '酒店环境还可以，就是不算太新了\r\n', '短评打分': 3}
{'短评内容': '地点和性价比不错', '短评打分': 5}
{'短评内容': '房间比较旧，不会再推荐', '短评打分': 1}
{'短评内容': '酒店有点旧，位置不错，交通方便。', '短评打分': 5}
{'短评内容': '地理位置很好，逛街很方便', '短评打分': 3}
{'短评内容': '感觉一般，地理位置也不是很方便。', '短评打分': 1}
{'短评内容': '这酒店不错，只是时间太匆忙，要不可以多享受一下。房间很大', '短评打分': 5}
{'短评内容': '还行 ', '短评打分': 5}
{'短评内容': '不错  每次来武汉  一般住这家酒店  ', '短评打分': 3}
{'短评内容': '该酒店就是位置还不错， 但是酒店内部比较老了， 很多设备都比较久了，而且由于太陈旧了，有味道。  我是在2010-4-24入住该酒店的， 该酒店的早餐在8：30左右就开始撤了，导致很多顾客都有意见。 但是， 服务相对还不错， 餐厅经理，后来又加了一些水果。但是菜还是没法满足， 估计是准备不足。', '短评打分': 1}
{'短评内容': '这酒店还不错!', '短评打分': 3}
{'短评内容': '这家酒店还是不错的！', '短评打分': 5}
{'短评内容': '每次去武汉  一般住这家  性价比高  ', '短评打分': 5}
{'短评内容': '四星酒店实在不应该是这个样子的,很老很旧,不推荐', '短评打分': 1}
{'短评内容': '酒店总体来说还不错。就是大家要注意那个水吧，非常黑！一壶茶150，加一个杯子要50！！！而且事先不告诉你。结帐的时候吓死你。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '基本满意,就是下午时间热水可能太慢,感觉水温不热,洗20分钟的澡水温可能还只有20度左右.晚上水温还行.', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次到武汉一般会住这家  经济实惠   当天订  竟然没有房间 ', '短评打分': 5}
{'短评内容': '设施还行 早餐还行 服务还行 位置还行 总体还行 下次继续住 呵呵', '短评打分': 5}
{'短评内容': '感觉不错！价格合理！', '短评打分': 5}
{'短评内容': '所处位置很好，房间设施需要更新', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住的是288的房间，设施比较旧了，房间不含早餐，如果要用早餐需要到前台购买早餐券，每位38元，性价比较低。', '短评打分': 5}
{'短评内容': '硬件方面需要加强。', '短评打分': 5}
{'短评内容': '房间的设施很陈旧了地毯也很脏装修的也不是太新,服务态度还行,位置还可以,性价比是很一般的,酒店就感觉好久都没有装修过了里面的真的很糟糕我想要是以后附近会有一些好的酒店我会选择的.', '短评打分': 3}
{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '地理位置很好，出行及吃都很方便，设施旧点，特别是床，翻身都会吱吱叫。', '短评打分': 5}
{'短评内容': '设施稍陈旧', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '我已经住过三次这家酒店，不错，真的可以推荐入住。', '短评打分': 3}
{'短评内容': '如果入住A楼普通房就不值这个钱了，而且288没有早餐', '短评打分': 1}
{'短评内容': '该酒店地理位置不错，但A楼普通客房太久，地毯有点脏，卫生间太久，老四星不如新二星啊！', '短评打分': 1}
{'短评内容': '酒店的设施条件是比较不错的，服务态度也很到位，价格适中，位置条件也比较合适，挺不错的。', '短评打分': 3}
{'短评内容': '这个酒店不错，服务好，设施有点旧，但很整洁，我出差武汉常住这里，交通太方便了，晚上周围吃饭很方便，去机场也方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，周围吃饭更方便，来武汉出差，我会先择这里，推荐入住。\r\n\r\n', '短评打分': 5}
{'短评内容': '优点：酒店位置不错，打车方便；自助早餐与四星匹配。\r\n不足：房间地毯较脏（A楼），不舒服；隔音太差，隔壁住客早上6:30把电视机打开，声音超响，无法睡觉；前台服务意识较差，入住第二天的早餐券在办入住手续时承诺送至房间，结果第二天让我到前台去拿，晕！', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '地理位置好，设施有些陈旧，服务不错，最近在装修。值得入住。', '短评打分': 5}
{'短评内容': '对于第一次来武汉的人入住这里真是很好，旁边就有武汉的美食街，酒店的卫生很好，前台服务态度不错，最好的还是酒店的自助餐，价格品种都适中，交通方便，门口有多条公交线路，去机场很方便，我住的是豪华大床间，房间总体感觉很好，推荐入住。', '短评打分': 5}
{'短评内容': '下次还会住这里，交通太方便了，酒店门口有多条公交线路，在美食街口，有各式武汉风咮，旁边还有24小时饭店，酒店对面就有大超市，可以购买到武汉的特产，前台结帐快，自助餐也很好的，房间宽敞，推荐入住。', '短评打分': 5}
{'短评内容': '自助餐还可以', '短评打分': 3}
{'短评内容': '入住新房间总体可以', '短评打分': 3}
{'短评内容': '总体性价较好', '短评打分': 5}
{'短评内容': '酒店虽说是四星级,但与四星有很大差距,地毯很脏,开始安排的A座16楼边角的房间,窗户很小,调换房间才好些,卫生间水流较小,酒店进行回访,说B座的房间会好些,建议下次入住B座的房间.', '短评打分': 1}
{'短评内容': '酒店的硬件设施很不错，环境服务还算是可以，位置挺好的，整体的性价比算是不错的。', '短评打分': 3}
{'短评内容': '挺干净，但设施有点旧了。', '短评打分': 5}
{'短评内容': '还好还好，属于可以住的标准！', '短评打分': 5}
{'短评内容': '整体还不错,价格也合适,就是前台服务有问题,没有什么服务意识,当时可能正赶上她们交接班,竟顾做自己的事,问她们问题,也不搭理,站在那等了很长时间,本来就比较累了,很不满意.', '短评打分': 5}
{'短评内容': '酒店位置离当时办事地点比较近,房间里面也很整洁,舒适,价格也合适.', '短评打分': 5}
{'短评内容': '酒店卫生条件不错，地理位置也挺好的，交通比较方便，服务也蛮热情的', '短评打分': 5}
{'短评内容': '酒店太老了,没有说的那么好,设施也很陈旧;不过位置还是不错的;', '短评打分': 5}
{'短评内容': '我入住的时候酒店楼上在装修,经过协商给我调换了房间,酒店的位置和环境都还不错.我入住的房间硬件有些旧.', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '感觉一般。交通方便，硬件一般。服务也一般。', '短评打分': 3}
{'短评内容': '一定要住新楼或老楼新装修的楼层，条件比原来好太多了，楼下就是桥口路美事街。如果价格在300以内就好啦。', '短评打分': 3}
{'短评内容': '环境和服务都很满意，但是早餐太差了。', '短评打分': 3}
{'短评内容': '我在那住了6天，房间很旧，床，卫生间，电视都是很旧，说是4星级的，还不如3星级的，要不是我要在那附近办点事方便一点，我一定不会入住', '短评打分': 3}
{'短评内容': '我在酒店住了一晚，普标。前台小姐的办理入住手续服务快捷，态度不温不火。楼下那位所说的房间的异味，主要是他们的窗户是封闭的，说是为了安全原因不能打开。这点我也不喜欢。房间设施一般，相对满意。浴缸的下水很不顺畅，洗完后还要单独洗脚，因为积水已经快到小腿肚子了：（，我没用房间提供的热水壶烧水，在外面买的瓶装水：因为3次看到有爬虫，两次是在地毯上，一次是在放有热水壶的圆桌上。但是床铺很干净，没什么异味，2', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;先订的普标，有股味道，要求换高级房，结果在那有霉味的普标等了三个小时才换，晚上又无数次被服务员吵醒，问是不是要了方便面，真晕，建议大家要订他的房前考虑下自己有没有这个心理承受能力，总之，硬件一般，服务太差&amp;lt;/P&amp;gt;', '短评打分': 1}
