{'短评内容': '酒店服务非常好，无线网络速度快，安静，但早餐一般', '短评打分': 5}
{'短评内容': '住了很多地方的和颐，不得不说这是最差的一次体验，选择的是闪住，到前台的时候却收了100元押金，且要我刷卡付房费，由于高反很难受，我没有过多辩解，按照要求交押金付房费，但是店家要求的错误结算方式，导致我离店后第二天，闪住订单又多刷了一天的房费，又联系携程退款，店家说会计休假了，三天后才退成功，希望提高一下业务能力。其次是房间问题，入住后首先发现没有门内锁，然后经过询问才得知氧气机只是摆设，都收拾完毕', '短评打分': 2}
{'短评内容': '早餐总的来说蛮不错的，因为是去拜佛很喜欢清淡的，而且地理位置不错很方便，如果出现高原反应酒店工作人员会拿来制氧机，会提醒你注意事项，房间里还有加湿器很细心', '短评打分': 5}
{'短评内容': '有点冷，其他不错', '短评打分': 5}
{'短评内容': '有点冷，其他不错', '短评打分': 5}
{'短评内容': '价格有点小贵，在太阳岛上，附近吃的比较多，11月份居然房间不给供氧设备！', '短评打分': 4}
{'短评内容': '房间白天中央空调没暖风，只有15℃，晚上开暖风后没有加湿器，各种干～～～赠送的水有一瓶被打开了～～～说是入住必须12点以后，因为没空房，10点多过去一直等到11点40多，最后还是没房，由普通套间升级为豪华套件，算是补偿', '短评打分': 4}
{'短评内容': '不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！', '短评打分': 5}
{'短评内容': '硬件觉得星级', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，常住地方', '短评打分': 5}
{'短评内容': '还可以，旁边的陕西面馆挺好吃的', '短评打分': 3}
{'短评内容': '你的幸福，不在别人眼里，而在自己心里[愉快][愉快]！提前祝你七夕快乐[玫瑰][玫瑰][玫瑰]', '短评打分': 4}
{'短评内容': '装修乡土气息浓郁，房间灯用的瓦数偏小冷光的节能灯，光线暗暗的，晚上有氧气比较好，早餐简单，楼下是美食一条街，吃饭方便', '短评打分': 3}
{'短评内容': '挺好的，住了五天了，比较干净，服务态度好', '短评打分': 4}
