{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '没有热水  ', '短评打分': 1}
{'短评内容': '没有早餐，没有服务，已经不是以前的丽晶了', '短评打分': 2}
{'短评内容': '酒店位置挺好，安静', '短评打分': 4}
{'短评内容': '现在感觉成了快捷酒店了，现在早餐也撤了，真的是很难接受，不过，周边的交通还是很便利的，饮食很方便，附近有好多餐馆酒店。要是办事方便还是会选择这里住的。', '短评打分': 4}
{'短评内容': '11111223', '短评打分': 5}
{'短评内容': '111111111111111', '短评打分': 5}
{'短评内容': '日用品不全。房间宽敞！房间种类不明确。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店太老旧了，墙纸都掉了，希望适当装修更新下', '短评打分': 3}
{'短评内容': '挺好的可以', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '服务不错。', '短评打分': 4}
{'短评内容': '位置很好，除了设施旧一点，其他方面都不错', '短评打分': 5}
{'短评内容': '和哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '设备有点老旧，位置还不错价格贵了', '短评打分': 5}
{'短评内容': '环境很差', '短评打分': 2}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店周边有商场超市，有烧烤街，有24小时面馆。很方便。', '短评打分': 5}
{'短评内容': '周边有商场超市，附近有街边烧烤点，50米内有家24小时面馆，方便！', '短评打分': 3}
{'短评内容': '酒店四星，达标。', '短评打分': 3}
{'短评内容': '相当不错的酒店.....各方面都很好......', '短评打分': 5}
{'短评内容': ' 酒店很干净，位置很不错，但是前台有时人员太少，结账有些慢！早餐一般，没有海德好', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '新装修好。还有味道', '短评打分': 3}
{'短评内容': '同事出差每次都住这个酒店，商旅入住还是不错的，价格合适，档次也不算低，设施也还算好，去见客户什么的都很方便，~', '短评打分': 5}
{'短评内容': '不错的酒店，很安静，顶层旋转餐厅很有特色，啤酒免费，还会去', '短评打分': 5}
{'短评内容': '酒店干净整齐，早餐不错，服务态度好，下次还住，价格贵点', '短评打分': 5}
{'短评内容': '房间设施陈旧，大床也很小，收费有些高！服务员态度很好。', '短评打分': 1}
{'短评内容': '房间不大，但是很舒适。地段也不错。早餐也过得去。', '短评打分': 5}
{'短评内容': '酒店附近吃东西比较方便，对门就是西贝和小尾羊。房间还算舒服，就是太冷了。', '短评打分': 5}
{'短评内容': '房间太小，床也不舒服。价格还挺贵，服务一般。', '短评打分': 1}
{'短评内容': '酒店挺新，在青山区，离二电厂，一机，二机厂比较近，去这几个地方办事来这住还是蛮方便的。\r\n礼宾做的挺周到，前台check效率高。\r\n房间设备也挺全乎，东西比较新，原来的洗浴中心也改成客房了，面积比相同价格的要大，有一个桑拿间。但是我放弃了，呵呵，原因是不喜欢里面的风尘气。。\r\n其他的都不错，服务员看到你都挺开心的看起来。\r\n早餐价格不高，东西样式自然少了，不过吃个营养的早餐是没有问题的。', '短评打分': 5}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '环境不错，很安静，服务卫生也很到位，设施完善，出行也方便，住的很满意。', '短评打分': 5}
{'短评内容': '酒店挺不错，感觉挺新，服务很周到，房间干净整洁，设施也齐全，住的很舒适。', '短评打分': 5}
{'短评内容': '住得很舒服， 不错的地方', '短评打分': 5}
{'短评内容': '住着还算舒服', '短评打分': 5}
{'短评内容': '比我预期中的要差一些', '短评打分': 1}
{'短评内容': '相对四星还是有点简陋，但价格也比四星便宜很多，所以总体性价比还是不错的。', '短评打分': 5}
{'短评内容': '性价比还行，就是早餐的厨师态度好差哟，免费的早餐又不是我欠你的，粉不高兴', '短评打分': 1}
{'短评内容': '危险！经常查房！', '短评打分': 1}
{'短评内容': '刚刚开业在试营业，很多配套设施还没有跟上。前台的结算系统比较一般，不应敢跟二楼的酒楼合为一体。', '短评打分': 5}
