{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '位置很好，买东西方便，房间宽敞干净，服务很规范。有自己的旅社出游也很方便。住了几天体验很好。', '短评打分': 5}
{'短评内容': '酒店不开空调，又不取消订单，态度及其恶劣，差评', '短评打分': 1}
{'短评内容': '房间挺大的，离大昭寺不远。', '短评打分': 4}
{'短评内容': '都适合', '短评打分': 5}
{'短评内容': '性价比很高，房间温暖干净，地理位置优越，繁华。在拉萨住这里很方便。早餐比想象中好。服务热情，让游客感受良好', '短评打分': 5}
{'短评内容': '太冷', '短评打分': 5}
{'短评内容': '一般般……', '短评打分': 4}
{'短评内容': '环境服务都不错', '短评打分': 5}
{'短评内容': '酒店一如既往 就像家一样温暖。第五年来拉萨 每年都在这里长住 谢谢赛康', '短评打分': 5}
{'短评内容': '整体不俗', '短评打分': 4}
{'短评内容': '各方面都还行，性价比可以', '短评打分': 5}
{'短评内容': '不知道为什么 晚上空调声音很大 前一天还没有的', '短评打分': 5}
{'短评内容': '早餐挺丰盛的 主要是交通方便 靠近布达拉', '短评打分': 5}
{'短评内容': '感觉不错 交通很方便', '短评打分': 5}
{'短评内容': '还不错，7月底去的拉萨，总共住了4个晚上，各方面都还比较满意！', '短评打分': 5}
{'短评内容': '还不错，7月底去的，住了4个晚上，各方面都还比较满意！', '短评打分': 5}
{'短评内容': '赛康的位置不错，特别是对于打车难、高原反应厉害的我们，交通方便很重要。特别告诉大家一个电话13889005721洛桑，这个出租师傅很好，想包车的可以试试。呵呵加油！', '短评打分': 3}
{'短评内容': '挺好的,环境和服务都挺好,直得入住.', '短评打分': 3}
{'短评内容': '离布达拉宫很近，房间硬件设施不错，服务也不错，推荐入住', '短评打分': 5}
{'短评内容': '酒店位置不错，离布达拉宫和大昭寺都不远，房间暖气很足，但就是酒店的餐饮比较贵，性价比不高，住进当日的房间网络是坏的只好换一个房间，换了一个房间住了一个晚上空调又坏了，', '短评打分': 5}
{'短评内容': '在这家宾馆入住很愉快，服务人员态度很好，前台的小伙子都特别帅，有一个尤其帅，离布达拉宫和大昭寺都很近，房间有中央空调，很暖和，个人觉得冬天来西藏吧，还是多花点钱住好点的酒店，会舒适很多，而且冬日执行淡季特价，真的很实惠哦', '短评打分': 5}
{'短评内容': '地理位置十分不错 酒店的环境也十分好 唯一不足就是早餐时间八点半才开始', '短评打分': 5}
{'短评内容': '挺适合刚到拉萨调整的，白天阳光充足，晚上也不凉。', '短评打分': 5}
{'短评内容': '前台服务员还是那么热情。早餐是提前打包的，没有到餐厅用餐，不知道改进没有。宽带好像比以前快些了。', '短评打分': 5}
{'短评内容': '出入真的很方便。就是楼层有点高，我有点高原反应，可是实在没有房间给我换。\n现在去的时候还是挺合算的，房价比较适中', '短评打分': 5}
{'短评内容': '交通极方便，门口有公交车，打出租车和三轮车也很方便。更方便的是左边步行几分钟到大昭寺和小昭寺路口，右边步行几分钟到布达拉宫，公交车有到色拉寺和哲蚌寺的。房间里中央空调很暖和，客房服务人员很好。最惬意的是酒店里的茶园，阳光、绿树、安谧，几天下午逛街回来都是在茶园度过的，除了喝茶还能吃简餐，无线上网速度也不慢。来拉萨三次了，住了几个酒店，感觉赛康大酒店性价比还是比较高的。', '短评打分': 5}
{'短评内容': ' 酒店位置很好，服务不错，热情及时到位。早餐品种不少，整体装修略显陈旧。', '短评打分': 3}
{'短评内容': '很舒适的一个酒店，服务也很好，能提供加湿器等很多有用的小东西。冬天去很暖和，但是如果刚入住，建议不要开空调，太热，太闷了。\n不好的就是晚上有点点吵，早餐绝对只有三星标准，离4星差远了', '短评打分': 5}
{'短评内容': '酒店很不错~落地式中庭很有特色，还有个露台可以晒太阳和喝茶，但拉萨的太阳太烈没有谁那么不怕晒的；酒店服务也不错；唯一缺点就是早餐不够丰富。', '短评打分': 5}
{'短评内容': '总的来说还是不错，希望早餐和网络有所改善。', '短评打分': 5}
{'短评内容': '多次入住此酒店，感觉还是不错，只是早餐一般，网络比较慢。', '短评打分': 5}
{'短评内容': '房间不错，关键是离八廓街很近，非常方便。', '短评打分': 5}
{'短评内容': '交通方便.服务态度好.硬件设施好.住的舒适', '短评打分': 5}
{'短评内容': '不错的酒店.正好处于布达拉宫以及大昭寺的中间，房间设施也不错，值得推荐', '短评打分': 5}
{'短评内容': '回拉萨第二次入住，酒店服务人员态度很不错，还赶上优惠促销，感觉不错', '短评打分': 5}
{'短评内容': '第一次去拉萨，酒店位置很好，去哪儿都方便，房间不错', '短评打分': 5}
{'短评内容': '酒店总的说来还可以，房间卫生好，位置比较好，但高原反应太重，吸酒店的氧气没多少用，建议到附近的医院用面罩吸氧。', '短评打分': 5}
{'短评内容': '这次是第三次入住了。酒店位于拉萨最繁华的北京东路，位置好，离布达拉宫和大昭寺都只有10分钟的路程。离民航大巴下车点很近。酒店呢，装修还算不错，基本可以接受。早餐一般化，不算好也不算差。服务员很热情，但房价稍高，网速较慢，有无线网，不过还是比较慢，不知是不是电脑有高原反应的缘故。 \n', '短评打分': 5}
{'短评内容': '酒店位于拉萨最繁华的北京东路，位置好，离布达拉宫和大昭寺都只有10分钟的路程。离民航大巴下车点很近。酒店呢，装修还算不错，基本可以接受。早餐一般化，不算好也不算差。服务员很热情，但房价稍高，网速较慢。 \n', '短评打分': 5}
{'短评内容': '酒店位于拉萨最繁华的北京东路，位置好，离布达拉宫和大昭寺都只有10分钟的路程。离民航大巴下车点很近。酒店呢，装修还算不错，基本可以接受。早餐一般化，不算好也不算差。服务员很热情，但房价稍高，网速较慢。', '短评打分': 5}
{'短评内容': '就在北京路上，可以走路到大昭寺和布达拉宫~这个位置最好的酒店，价格小高~~', '短评打分': 5}
{'短评内容': '价格稍微有点高~在当地算是不错的酒店~位置很好，距离大昭寺和布达拉宫基本等距~如果没有高原反应，步行很轻松！', '短评打分': 5}
{'短评内容': '价格稍微有点高~位置很好，距离大昭寺和布达拉宫基本等距~', '短评打分': 5}
{'短评内容': '位置很好，服务也比较用心，唯一的缺点是临街的房间晚上会有点吵，总的来说不错。', '短评打分': 5}
{'短评内容': '方便、整洁，比较适合商旅，周边商业配套比较齐全。', '短评打分': 5}
{'短评内容': '该酒店地理位置十分优越，距离布达拉宫步行15分钟，距离大昭寺15分钟，这是在有高原反应的情况下计算，因此非常方便。酒店还配置了吸氧机，当然要额外付费。', '短评打分': 5}
{'短评内容': '不错,在拉萨算比较不错的酒店,价格有点高!!!', '短评打分': 5}
{'短评内容': '拉萨市比较好的酒店，服务不错，房间可以提供氧气。', '短评打分': 5}
{'短评内容': '外表看一般，但进去住还是不错，在拉萨就算很不错的酒店了，而且位置很好，而且有供氧机，我就缺氧，当时买了卡用他们的供氧机吸氧很方便', '短评打分': 5}
{'短评内容': '房间装修环境还不错，酒店的位置还是挺好找的，价格和服务都还是可以接受。', '短评打分': 5}
{'短评内容': '第二次回来，酒店再次安排同样面向院子的标房，感谢。大致上，服务很好，位置很理想。以后还回来。', '短评打分': 5}
{'短评内容': '入住当晚给了一间朝向北京东路的标房。晚上马路因有块铁板而造成干扰，再加上隔音微薄，因此不能入睡。三四点还有不速之客来叫门。第二天马上反应，换了另一间朝向院子的标房才能安宁的休息。感谢酒店尽快地反应！', '短评打分': 5}
{'短评内容': ' 地段优，功能全，新装修，整洁干净，服务好；不足之处只是房间内还是摆脱不了拉萨90%以上的酒店同样的问题，有点酥油味道；但是不太影响！\n', '短评打分': 5}
{'短评内容': '很好的装修，很温暖的酒店，值得入住，阳光房，暖洋洋的，很温馨', '短评打分': 5}
{'短评内容': '價錢不值,第一個房入住窗壞,換房當晚沒熱水,投訴說是全酒店都沒,第一天到高原,免再外出找酒店,算吧!!\n', '短评打分': 1}
{'短评内容': '每天送二瓶矿泉水,中央空调,服务不错,屋子很干净,下回再去仍在这里住.', '短评打分': 5}
{'短评内容': '酒店挺好找出行也很方便，里面环境也很好房间装修的也挺不错，服务态度也很好，在那个地方能住到这样的酒店已经是很好了，价格也不高。下次过去肯定是我的首选。', '短评打分': 5}
{'短评内容': '很好，高级住处，价格也合理,对于经济上不是问题的入藏第一站，住好是关键，只是，要有富裕的银子。', '短评打分': 5}
