{'短评内容': '设施比较老比较旧 感觉不值这个价格', '短评打分': 3}
{'短评内容': '酒店位置在城北，离市区边上靠近世博园，靠近路边的房间很吵，早餐一般。只有鹌鹑蛋，没有鸡蛋。酒店门口可以停车。', '短评打分': 3}
{'短评内容': '还可以，不算是特别好，设施有点一般', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '性价比高，不错', '短评打分': 5}
{'短评内容': '离昆曲入口进 早上不堵车直接就上高速 比住市中心方便', '短评打分': 5}
{'短评内容': '酒店还可以 免费项目比较多 不错', '短评打分': 5}
{'短评内容': '不错，很好的', '短评打分': 5}
{'短评内容': '离公司最近的星级酒店，一直住，除了距离市区太远，其他都挺好', '短评打分': 4}
{'短评内容': '离公司最近的星级酒店，一直住，除了距离市区太远，其他都挺好', '短评打分': 4}
{'短评内容': '还不错，军号嘹亮，安全卫生', '短评打分': 3}
{'短评内容': '干净卫生，推荐，好评', '短评打分': 3}
{'短评内容': '洗手间漏水，设施有点简陋。', '短评打分': 5}
{'短评内容': '住在世博金殿风景区，心情自然很好，出行也很方便。', '短评打分': 4}
{'短评内容': '整体还可以，比较宽敞。感觉酒店设施还是旧了点。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '价格贵，位置偏，靠近公路的房间很吵，是旧房子改的宾馆。', '短评打分': 1}
{'短评内容': '因工作关系，只好让朋友又去住了．朋友说：卫生间味道重，9:03去用早餐，居然说已停止用餐，住过那么多酒店，还没度过这样，９点就停止早餐服务了．服务有待提高．', '短评打分': 1}
{'短评内容': '酒店服务差，如果不是因工作需要决不会选择住该酒店。本人那天在房间发高烧一天，上吐下拉，动不了，打电话到客房服务台寻求帮助，借用体温计，他们回答没此服务，后来，又打电话请求送2只矿泉水，也不予理睬。第2天退房，在楼道叫服务员5分钟也没人理，到了前台办理退房，居然等了将近20分钟，才说检查房间没问题给退押金。因身体不适又要赶飞机，问了前台小姐，你们这是什么服务啊，立马给予臭脸。说实话，我经常住酒店，还', '短评打分': 1}
