{'短评内容': '提交了订单半天没给客户答复有没有房间，一直显示处理中，打电话确认还说没收到订单，什么JB平台&hellip;&hellip;', '短评打分': 1}
{'短评内容': '酒店不错，性价比可以，商务出行', '短评打分': 5}
{'短评内容': '不错。都是我喜欢的，服务态度好，环境很美，房间风格也还不错。', '短评打分': 5}
{'短评内容': '宽敞明亮', '短评打分': 4}
{'短评内容': '各种方便，没吃都住这里', '短评打分': 5}
{'短评内容': '爸爸妈妈每次过来都住这里，很好', '短评打分': 5}
{'短评内容': '先住了一晚，性价比高，又预订了两晚', '短评打分': 5}
{'短评内容': '其他都没有什么，只是洗手间有一股发霉的味道，处理一下就更好了', '短评打分': 5}
{'短评内容': '总体还算不错，地段非常好，周边的环境非常的热闹。', '短评打分': 5}
{'短评内容': '环境不错，整体舒适感和同等位价格酒店比起来那是没得说，挺好的！', '短评打分': 5}
{'短评内容': '住体验总体来说还是不错的。下面我就这次的入住体验分享给大家。希望能给大家的出行和酒店服务水平的提升提供一些地理位置优越，发展前景很好。酒店距离火车高铁站程十分钟，交通很是便利，是商务人士出行的不错选择。周边配套服务设施齐全，购物饮食都很方便。 房间配套设施:酒店内部装修不错，大部分都是软包的。整个房间的灯光布局略显昏暗，希望可以做些改善。浴室和洗手间的灯光还是蛮好的。浴巾、毛巾、一次性的刷牙用具/剃须刀/马桶坐垫、洗发膏、沐浴乳、电热吹风、酒店专属饮用纯净水、中央空调还有一系列其它用品一应俱全。唯一遇到的问题是淋雨的喷头严重漏水，希望酒店方面可以排查下客房配套的用品。 舒适度还是蛮好的，安全性方面自然也是不用担心。客房的床褥给人感觉很舒适，休息待客用的沙发、大气优雅的全窗设计、光洁温馨的浴缸给人以家的温馨舒适感。安全性方面也是很有保障的，客房的门是自动关门的，不用担心出去忘记关门而丢失物品。', '短评打分': 5}
{'短评内容': '服务态度非常好 环境也不算很好 卫生间厕所非常暗', '短评打分': 5}
{'短评内容': '酒店好，能洗衣，还有客厅，楼下休闲喝茶方便', '短评打分': 5}
{'短评内容': '还不错 很干净', '短评打分': 4}
{'短评内容': '很不错，休闲，度假都可以住。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错住了很多次了', '短评打分': 5}
{'短评内容': '鹭岛精装', '短评打分': 5}
{'短评内容': '一直很好！就是设施有点久。', '短评打分': 5}
{'短评内容': '不错。。。。。', '短评打分': 5}
{'短评内容': '还是不错的，就是门有点不好开', '短评打分': 4}
{'短评内容': '环境优雅，卫生干净整洁', '短评打分': 5}
{'短评内容': '周边夜生活环境不错，餐饮店众多。', '短评打分': 5}
{'短评内容': '除了空调略热 被子面料不舒服其他一切都很好', '短评打分': 5}
