{'短评内容': '房间很干净，办理入住手续很便捷，很好。', '短评打分': 5}
{'短评内容': '酒店看起来比较老，六楼有一半也在装修，基本的都还能够满足。算是很基础款的酒店，整体来说跟价格，还可以。尤其是在考试高峰期，也并未涨价。', '短评打分': 4}
{'短评内容': '服务太差，前台服务员说话不理不睬。', '短评打分': 3}
{'短评内容': '第二次入住了，离出差办事的地方比较近，价格还算合适，需要改进的是住的大床房房间光线暗、wifi信号弱', '短评打分': 4}
{'短评内容': '住宿环境一般', '短评打分': 3}
{'短评内容': '总体还不错啊，这的不错淡淡的淡淡的淡淡的 得到的分数；守空房；老师傅；了；三里；啊打了发；了卡片【方；看；看酸辣粉；拉萨亏大发了；卡；老大说了的嘛；老大；离开；动梁；啊；', '短评打分': 5}
{'短评内容': '优点:来中医院看病推荐住这里，很近很方便。缺点:入驻的房间不是朝阳的，房间灯光光线有点暗，枕头该换了有很大的头油味！没有专用停车场，但是开车的话可以停在外面路边车位或者附近停车场。总体来说如果把卫生再提高一下就满意了！', '短评打分': 3}
{'短评内容': '还好吧，设施一般', '短评打分': 4}
{'短评内容': '还可以收拾房间的阿姨很好就是前台接待态度不是很好', '短评打分': 5}
{'短评内容': '环境还可以不错！价位可以！', '短评打分': 4}
{'短评内容': '地理位置比较好，环境安静，热水充足，早餐有点简单。', '短评打分': 3}
{'短评内容': '没吹风机。隔音不好。其他还可以', '短评打分': 3}
{'短评内容': '隔音不太好，外边噪音大呼呼一夜不知是什么，没有吹风机其他还可以。', '短评打分': 3}
{'短评内容': '环境不错，离郑州轻工业大学很近，对于雅思考生来说很方便！但是有一点需要改进，宾馆前台竟然没有pos机！！！不能刷卡结账！出门在外，谁会随身带那么多现金！希望改善一下！', '短评打分': 5}
{'短评内容': ' 已经入住，条件还可以吧，一般情况，不过来考试，已经很好了，近，方便。周围小宾馆很多，很吵条件很差。相比很值了！', '短评打分': 3}
{'短评内容': '挺不错的，还行吧，买东西都很方便，服务也可以，早餐也不错。', '短评打分': 5}
{'短评内容': '酒店的北侧有个工地，每天晚10点挖掘机开始工作至第二天6点，一夜无法安睡，我是去考试的，入住的时候还给前台客服说给安排个清静的房间！结果给安排个离工地最近的房间！郁闷！走的时候要发票也没仔细看发票章，给我的发票就不是龙泉快捷酒店的，给了一张什么“酒店管理信息咨询公司”的发票！假发票！让我怎么报账！还好我考试两门都过了！', '短评打分': 1}
{'短评内容': '这个酒店还不错，服务比较好，也比较干净，适合考雅思的同学居住，离轻工业学校很近。', '短评打分': 5}
