{'短评内容': '挺好，住了好几次了', '短评打分': 5}
{'短评内容': '常住', '短评打分': 5}
{'短评内容': '很不错的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '我很喜欢这种简单的', '短评打分': 5}
{'短评内容': '挺好的，床还是比较舒服', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '我们是洋蓝酒店的忠实粉丝，各方面都很满意，还有免费矿泉水。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '经常入位这个酒店，处于城中心，吃喝住行都非常方便，在京东订酒店就是好，方便实惠。', '短评打分': 5}
{'短评内容': '酒店在郫都区城中心，房间简洁舒适，洗澡水给力，楼下是夜市，唯一不足就是wiFi大多时候没信号，望改进。', '短评打分': 5}
{'短评内容': '京东的服务非常好，以后订房还来京东，赞！', '短评打分': 5}
{'短评内容': '干净卫生，性价比高，前台服务妹妹热情', '短评打分': 5}
{'短评内容': '服务很好，环境也不错，价格比美团 支的包便宜得多', '短评打分': 5}
{'短评内容': '超级清新的哦', '短评打分': 5}
{'短评内容': '还行，挺好的', '短评打分': 5}
{'短评内容': '为什么非要十个字啊？好烦啊', '短评打分': 5}
{'短评内容': '换过一次房，还是差点感冒，空调可以说基本没什么用。', '短评打分': 2}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '酒店位于夜市商业街，晚上很热闹，吃饭不用担心，有点不好一点，靠近夜市所以晚上有点吵，酒店设施比较老旧。价格比还可以。', '短评打分': 3}
{'短评内容': '住过几次了，感觉还不错的，', '短评打分': 4}
{'短评内容': '房间干净整洁，被子松软暖和，很舒适。性价比很高。', '短评打分': 5}
{'短评内容': '价格合适，环境很好，满安全的', '短评打分': 5}
{'短评内容': '这个价格在这个酒店还是很值得入住的', '短评打分': 5}
{'短评内容': '好着呢', '短评打分': 5}
{'短评内容': '还行吧，感觉一般。床太硬了。', '短评打分': 3}
{'短评内容': '位置在县中心，出行方便，酒店条件较好。推荐', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '好好好。。。。。。。。。。', '短评打分': 3}
{'短评内容': '环境还是可以，都带电脑的，下面就是郫县的夜市，很热闹的。不过唯一就是感觉偏贵哈。三星的标准也不到200哦。', '短评打分': 5}
{'短评内容': '条件不错！算是在郫县的市中心吧，晚上楼下夜市也不错。唯一缺点就是两面临街！', '短评打分': 5}
{'短评内容': '住的房间邻近夜市这边，现在感觉还有点吵。', '短评打分': 3}
{'短评内容': '地理位置在市中心，很方便。不过酒店装修过，有点点刺鼻味道。隔音不是太好，外面说话听的清清楚楚的。前台态度不错，值得肯定', '短评打分': 5}
{'短评内容': '房間整洁，干凈', '短评打分': 3}
{'短评内容': '第二次入住，比第一次好很多了第二次入住，比第一次好很多了第二次入住，比第一次好很多了第二次入住，比第一次好很多了', '短评打分': 5}
{'短评内容': '108价格非常实惠，下一来，也选这里108价格非常实惠，下一来，也选这里108价格非常实惠，下一来，也选这里108价格非常实惠，下一来，也选这里', '短评打分': 5}
{'短评内容': '早餐难吃，住的地方还可以，周围也没有合适的地方可以住', '短评打分': 5}
{'短评内容': '房间还可以就是早餐不太好，周围也没有什么好吃的东西', '短评打分': 5}
{'短评内容': ' 住了一个房间，房间装修很差，卫生间洗澡水流到客房里，总之差劲！！！', '短评打分': 3}
{'短评内容': '环境不错，就是正在装修太脏乱', '短评打分': 3}
{'短评内容': '前台态度很好，就是卫生环境一般，浴室居然还有一大把头发。。。。早餐不好，说的7点半开始，服务员却迟到。就是地理位置佳，在市中心。性价比一般', '短评打分': 1}
{'短评内容': '房间大，隔音效果不好。', '短评打分': 3}
{'短评内容': '环境还不错，周围也不错', '短评打分': 3}
{'短评内容': '豪华单间的房间大，里面的设施设备还是较齐全的，住着也方便，比我们预计的要好很多，挺满意的。下次有机会的话还是会考虑住进这儿的。', '短评打分': 5}
{'短评内容': '\u3000整体环境还可以，就是标间有点小。', '短评打分': 3}
