{'短评内容': '评价后卸载携程，携程坑人还虐待儿童', '短评打分': 3}
{'短评内容': '位置还可以', '短评打分': 5}
{'短评内容': '环境不错，位置好', '短评打分': 5}
{'短评内容': '有待提高～～', '短评打分': 3}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '整体感觉还行，关键是离第二天办公事的地方超近', '短评打分': 5}
{'短评内容': '这个价位，地理位置在北京已经很不错了，下次还会选择入住', '短评打分': 5}
{'短评内容': '很好！！~~？？？？？！！！？？', '短评打分': 5}
{'短评内容': '很一般，中介管理', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '交通方便，放假宽敞，适合亲子出游', '短评打分': 4}
{'短评内容': '还不错 就是冰箱厨具是摆设', '短评打分': 4}
{'短评内容': '国庆带宝宝来北京玩入住的，房间洗衣机什么的家电配套很齐全，而且都是品牌的哦！空间很大，住进去很舒服，离地铁口稍微远了一点，不过也还能接受', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '位置方便', '短评打分': 4}
{'短评内容': ' 条件不错，新装修，设施不全，初次体会到公寓与宾馆的差别.', '短评打分': 3}
