{'短评内容': '棒棒哒！150', '短评打分': 5}
{'短评内容': '早餐很好，床很舒服', '短评打分': 5}
{'短评内容': '服务员态度很好工牌号150099', '短评打分': 4}
{'短评内容': '床很硬。 花洒水很小', '短评打分': 4}
{'短评内容': '酒店很大，环真的很不错，总台的服务也很棒，堪称五星服务，非常感谢前台妹妹提供的完美接待特别是282', '短评打分': 5}
{'短评内容': '房间挺好的，服务也很好027 150服务不错环境也很好值得推荐下次还会选择入住', '短评打分': 5}
{'短评内容': '房间很棒，离温泉很近，早餐也很好，好评！', '短评打分': 5}
{'短评内容': '早餐温泉不错 环境不错150 618前台员服务不错', '短评打分': 5}
{'短评内容': '环境优美，舒适', '短评打分': 5}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '选在这里住，就是这个酒店靠近旅游区的车站，到峨眉山上玩了下来，在这里泡泡温泉，全身放松，爬山的疲惫都泡到了温泉池里面。而且酒店的温泉还准备了浴袍和毛巾，直接就到温泉换就可以了，早餐品种丰富。', '短评打分': 5}
{'短评内容': '酒店设施一般，和四星的定义差别很大，浴巾真的不敢恭维。温泉应该只能叫澡堂子。池子太小，而且消毒水味道太重了。', '短评打分': 4}
{'短评内容': '忘记点评了…很好的体验～性价比高，环境也好～', '短评打分': 5}
{'短评内容': '房间装修不错，温泉也很好', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '还不错哈，下次还会订', '短评打分': 5}
{'短评内容': '酒店各方面都挺好，就想吐槽温泉……池子很少，只有两个大的高温池下饺子，很浓的消毒水气味……泡完温泉，看有服务员在发浴巾，去拿，她不给……看另外有妹纸也去拿，她公然说没有几张了……我倒是挺想问，你是要留着自己用吗？我想我再也不会去灵秀温泉了……之前去青城道温泉，浴巾都是随意取用……大冬天的，泡了温泉，身上浴袍都打湿了，不给干的浴巾，不冷死几个人吗？注重品质的人，都还是不要去这里了……', '短评打分': 4}
{'短评内容': '环境不错，人少，安静', '短评打分': 5}
{'短评内容': '很棒，温泉也很好，带孩子来的，孩子很开心', '短评打分': 5}
{'短评内容': '该温泉酒店3号楼的设施有点老化,酒店服务还是可以,距离温泉也较近,环境也好,地理位置里报国寺也较近.', '短评打分': 4}
{'短评内容': '酒店床旧了，环境非常好。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还是挺不错的 4+2+1玩的非常开心 就是灵秀温泉部分池子温度太低了', '短评打分': 5}
{'短评内容': '比较老的4星。一般', '短评打分': 4}
{'短评内容': '有的楼层太柴了', '短评打分': 4}
{'短评内容': '酒店位置绝佳，四星楼比较旧，五星楼就很不错了。推荐', '短评打分': 5}
{'短评内容': '不错的酒店，下次去峨眉山还会选择。酒店的设施还需要改善，位置和温泉还是不错的', '短评打分': 5}
{'短评内容': '入住1324房间。', '短评打分': 3}
