{'短评内容': '好位置，天津人开的，粗旷‘的味道', '短评打分': 5}
{'短评内容': '交通便利停车方便，老板很热情人超好，住宿环境具有独特的藏文化特色，还有一只狗狗叫二狗子很听话，安静干净卫生，强力推荐小伙伴入住。', '短评打分': 5}
{'短评内容': '就再古城里面，很方便', '短评打分': 5}
{'短评内容': '床很舒适，洗漱用品很有心', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '阳台房不错，嗮太阳喝茶巴适', '短评打分': 5}
{'短评内容': '老板很贴心，从凉的屋外回到大厅落座老板马上递上一杯自熬的姜汤水，围在炉旁喝下去暖暖哒', '短评打分': 4}
{'短评内容': '纯木质的酒店，很安静～离月光广场和龟山都很近，早上起早还能听到诵经撞钟的声音，很轻松自在的感觉。ps:因为建筑材料缘故，隔音稍差，注意不要大吵大闹。', '短评打分': 5}
{'短评内容': '我们住了五人房，非常大，但是对面的酒吧晚上唱歌唱到很晚。', '短评打分': 5}
{'短评内容': '客栈的位置不错，虽然对面是酒吧，但是没什么生意，所以很安静。 老板人超好，做的菜看上去很好吃。 酒店在很多小细节上都很用心。卫生间蓬头有活性炭去污，住3天之间还有room service。床上1层被子1层毛毯，实在冷还有电热毯。床头有个小隔间可以放小行李。酒店基本都是原木，走廊里铺一层地毯，还有藏香的味道。 推荐推荐！！', '短评打分': 5}
{'短评内容': '老板娘很好 最喜欢降火的苦荞茶 还有大厅的沙发', '短评打分': 5}
{'短评内容': '特别小清新，很舒服的体验', '短评打分': 5}
{'短评内容': '天津的老板人很好，很热情。旅店很温馨。下次来还住这里。', '短评打分': 4}
{'短评内容': '酒店老板人不错，比较好停车，给个赞~', '短评打分': 5}
{'短评内容': '蛮好的，就是价格贵了点', '短评打分': 4}
