{'短评内容': '价格实惠，服务还行，就是早餐差了点。', '短评打分': 4}
{'短评内容': '在同档次的酒店里价格很合适，干净，舒适，卫生间很好，房间也不错', '短评打分': 5}
{'短评内容': '干净！很喜欢那的卫生间，早餐不咋的;)', '短评打分': 3}
{'短评内容': '干净便宜，性价比可以', '短评打分': 3}
{'短评内容': '虽然周围是工地正在建房，但是隔音效果还可以，房间也还可以', '短评打分': 5}
{'短评内容': '房间不错。', '短评打分': 3}
{'短评内容': '服务质量好,周围没有很大的噪音，隔音效果很不错的', '短评打分': 5}
{'短评内容': '房间墙壁发霉，前台人员服务态度差！', '短评打分': 3}
{'短评内容': '经济开发区内的酒店,非常靠近客户群.周边也有餐饮娱乐的地方.非常方便.酒店大堂的小酒吧不错.', '短评打分': 5}
{'短评内容': '位置还行 房间比较温馨虽然卫生间很小 但是一个人够用 早餐不给力品种越来越少 晚餐能点的也只有4种。离市中心区域有点距离', '短评打分': 5}
{'短评内容': '被子、浴巾有点脏，没有吹风机，不过价格算是挺低的，交通也方便', '短评打分': 5}
{'短评内容': '环境好，价格实惠（性价比比号称最低价的布丁高），前台态度好（卡忘记单位了直接给我了张，说下次来还就行了）', '短评打分': 5}
{'短评内容': '住的很舒服', '短评打分': 3}
{'短评内容': '性价比很高', '短评打分': 3}
{'短评内容': '挺干净的，房间有点小，但还蛮舒服，就是电视机不是壁挂的，网速也还可以', '短评打分': 5}
{'短评内容': '服务态度很好~房间很干净，隔音也好，不靠近马路也不吵，总之住得很舒服~', '短评打分': 5}
{'短评内容': '服务员态度很好，大床房房间比较宽敞，很干净，很温馨，不过卫生间小了一点也没有排气扇。。总体来说是很愉快的一次入住经历，会再来的~', '短评打分': 5}
{'短评内容': '还不错，住的蛮舒服的。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '前台人员很热情，虽然房间没有一次性拖鞋，但是一个电话很快就送来了...卫生环境还可以....', '短评打分': 5}
{'短评内容': '该酒店 交通方便，安静安全，经济实惠，下次继续合作！', '短评打分': 5}
{'短评内容': '还可以吧   感觉住的挺舒服的  服务很好', '短评打分': 5}
{'短评内容': '很干净 整洁 灯光看去舒服 值得推荐  要是有无线网络就更好了\n', '短评打分': 5}
{'短评内容': '位置比较方便，距离物美走路五分钟就够了。房间空间设计合理，干净卫生。', '短评打分': 5}
{'短评内容': '酒店的房间布局比较合理，看上去比较舒服，麻雀虽小五脏俱全。被子比较硬，不是很舒服。位于6号大街，过往车辆很多，临街的房间比较吵。', '短评打分': 5}
{'短评内容': '环境不错，服务也不错，就是电梯，根本不需要用刷卡进去的么', '短评打分': 5}
{'短评内容': '最近白天是比较吵，晚上还是不错的。服务态度不错的呢', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是在马路边上，早上一大早就有车，挺吵的，进房间开空调，不能开以为空调坏，去前台一问，是酒店没开，热了一天，郁闷，，，，', '短评打分': 5}
{'短评内容': '位置还好，离物美购物商场挺近，酒店条件也不错，就是房间有点小，总体不错，推荐', '短评打分': 5}
{'短评内容': '挺好的，干净清爽', '短评打分': 3}
{'短评内容': '很棒的感觉啊！', '短评打分': 3}
{'短评内容': '卫生条件不错 特别是厕所很干净 房间也处处体现出人性化的一面', '短评打分': 5}
{'短评内容': '一直都选择宜必思，交道便利，环境也还不错', '短评打分': 3}
{'短评内容': '装修很温馨，不错！就是不知道怎么开冷风', '短评打分': 3}
{'短评内容': '环境不错、而且服务态度好，赞一个', '短评打分': 3}
{'短评内容': '好啊啊啊afg爱疯噶梵蒂冈afgafgafg爱疯gafgaf个噶', '短评打分': 5}
{'短评内容': '环境：酒店大堂有免费电脑使用，无限wifi接入点。记住上楼电梯要刷卡！干净整洁，备用枕头贴心地用塑料防尘套包起来，但作为双人间房间内枕头只有3个（含备用枕头）。酒店有自制的二合一洗浴产品，味道挺不错。\n服务：酒店的服务员热情，除某一貌似老店员态度一边。酒店的叫醒服务比实际预订时间晚了7分钟。\n交通：交通便利离B1城市快速公交仅隔一个路口，步行5分钟到达物美超市对面可有多路公交可选，相当便捷。\n周边', '短评打分': 5}
{'短评内容': '还不错，酒店的服务及周围的环境都还好，而且附近有大型超市和小吃。', '短评打分': 5}
