{'descr': '早餐相对还是很不错的', 'star': 5}
{'descr': '有洗衣机，可以洗衣服', 'star': 5}
{'descr': '已经住过很多次了 好', 'star': 5}
{'descr': '不错的，一直住', 'star': 5}
{'descr': '这几天是家里来亲戚，待定的，还不错，各方面的条件都不错，环境好，卫生也不错，房间的打扫也很干净，有这个体验是不错的', 'star': 5}
{'descr': '家里来亲戚，待定的，还不错，各方面的条件都不错，环境好，卫生也不错，房间的打扫也很干净，有这个体验是不错的', 'star': 5}
{'descr': '性价比不错 其他一般 不过姜堰也就这水平乐', 'star': 3}
{'descr': '不错', 'star': 4}
{'descr': '这是我近年来每次到姜堰都会入住的一家酒店，经过市区的统一改造，酒店门前的交通更顺畅了，酒店内管理水平也明显上升了一个台阶，希望酒店能借助好的内外环境，争取做到好上加好！', 'star': 5}
{'descr': '总体还行吧，毕竟价格在这。', 'star': 4}
{'descr': '不错，如家标准配置，很干净，很舒服，枕头很舒服，特别是洗澡水很好，非常满意，已经住了两次了。', 'star': 5}
{'descr': '味道太大', 'star': 5}
{'descr': '周边环境很好，卫生很好，服务很好。', 'star': 5}
{'descr': '干净', 'star': 5}
{'descr': '一直信赖如家的  但是房间特别小.但是距离超市挺近', 'star': 5}
{'descr': '总体还不错，就是没有午饭和晚饭比较不方便，出门只能打车，而且姜堰的出租车从来不打表，乱要价，给人没留下好映像。', 'star': 5}
{'descr': '总体还不错，就是没有午饭和晚饭比较不方便，出门只能打车，而且姜堰的出租车从来不打表，乱要价，给人没留下好映像。', 'star': 5}
{'descr': '位置不是非常好 其他都是很好的  。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '位置不是非常好 其他都是很好的  。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '出现质量门了，我去入住，就坐在房间看她打扫，就换了个被套什么，没见他有任何消毒', 'star': 1}
{'descr': '出现质量门了，我去入住，就坐在房间看她打扫，就换了个被套什么，没见他有任何消毒', 'star': 1}
{'descr': '房间还算干净，但是隔音效果真的很差，还有让我很郁闷的事，早上退房，是个保安上楼查房，说床上有很大一个地方脏的，很难洗，我真回想不到我做什么东西了，前台要收10清洗费。本想看看到底怎么回事，因为赶时间就算了！！！！！', 'star': 1}
{'descr': '房间还算干净，但是隔音效果真的很差，还有让我很郁闷的事，早上退房，是个保安上楼查房，说床上有很大一个地方脏的，很难洗，我真回想不到我做什么东西了，前台要收10清洗费。本想看看到底怎么回事，因为赶时间就算了！！！！！', 'star': 1}
{'descr': '订的大床房4间，床的规格明明是150cm*200cm，居然到店说只有2间，还有两间是135cm的！135也叫大床？？前台说这是他们酒店自己规定的。。。只能再换两间商务大床房。。。房间还算新，干净整洁，就是房间靠近路边很吵，一直听到车子开来开去的声音，快捷酒店要求不能太高，但是那个135的大床真的不好想', 'star': 5}
{'descr': '订的大床房4间，床的规格明明是150cm*200cm，居然到店说只有2间，还有两间是135cm的！135也叫大床？？前台说这是他们酒店自己规定的。。。只能再换两间商务大床房。。。房间还算新，干净整洁，就是房间靠近路边很吵，一直听到车子开来开去的声音，快捷酒店要求不能太高，但是那个135的大床真的不好想', 'star': 5}
{'descr': '干净舒服，前台服务很热情，房价在这个县城稍有偏高，周围交通不太方便，对面馄炖挺好', 'star': 3}
{'descr': '干净舒服，前台服务很热情，房价在这个县城稍有偏高，周围交通不太方便，对面馄炖挺好', 'star': 3}
{'descr': '酒店各方面都还可以，就是感觉周边不如描述中繁华。', 'star': 5}
{'descr': '酒店各方面都还可以，就是感觉周边不如描述中繁华。', 'star': 5}
{'descr': '前台妞漂亮，很有亲和力，很冲动想亲一口，环境干净，安全，就是晚上隔壁房叫床很大厦声，让人受不了，下次还会住的', 'star': 5}
{'descr': '前台妞漂亮，很有亲和力，很冲动想亲一口，环境干净，安全，就是晚上隔壁房叫床很大厦声，让人受不了，下次还会住的', 'star': 5}
{'descr': '环境还可以，就是地方小了点，没有想象的大。隔音效果也不太好，能听到房门外吵。和格林豪泰的特价房比还差那么点。', 'star': 5}
{'descr': '环境还可以，就是地方小了点，没有想象的大。隔音效果也不太好，能听到房门外吵。和格林豪泰的特价房比还差那么点。', 'star': 5}
{'descr': '新开的，房间还有装修味道。而且上网不知道为什么上不了，并且不能刷卡结帐。不过挺干净的。', 'star': 5}
{'descr': '新开的，房间还有装修味道。而且上网不知道为什么上不了，并且不能刷卡结帐。不过挺干净的。', 'star': 5}
{'descr': 'gjin...................................', 'star': 5}
{'descr': 'gjin...................................', 'star': 5}
{'descr': '不错的,房间和环境都挺好,可以推荐.但让我有疑问的是,问过总台服务生早餐小朋友要不要收费(12元\\位),回答是不需要收费.但3楼餐厅却算了我们小朋友的钱,小朋友还没过1米2.问题不在于12元,在于对客人的口径应该是一致的,如要收费,也应该是合理的.这方面需要加强管理.其他服务态度都不错.', 'star': 5}
{'descr': '不错的,房间和环境都挺好,可以推荐.但让我有疑问的是,问过总台服务生早餐小朋友要不要收费(12元\\位),回答是不需要收费.但3楼餐厅却算了我们小朋友的钱,小朋友还没过1米2.问题不在于12元,在于对客人的口径应该是一致的,如要收费,也应该是合理的.这方面需要加强管理.其他服务态度都不错.', 'star': 5}
{'descr': '酒店不错,新,房间挺好', 'star': 3}
{'descr': '酒店不错,新,房间挺好', 'star': 3}
