{'短评内容': '很好干净方便', '短评打分': 5}
{'短评内容': '干净简洁的快捷酒店，住宿条件一般，地处位置的确很方便，出门上哪都可以方便的乘坐交通工具，离机场大巴乘坐点也很近', '短评打分': 4}
{'短评内容': '简洁干净整洁有序，适合商务出行，周围地铁公交都方便，吃饭也有很多餐馆，酒店早餐也很实惠，油条豆浆稀饭糊辣汤炒菜', '短评打分': 5}
{'短评内容': '早餐吃的东西都很实用，豆浆油条炒菜还有粥等，酒店的所处的位置很好很方便出行，周围吃饭也很方便，离地铁站也近', '短评打分': 4}
{'短评内容': '早餐还可以，豆浆油条糊辣汤粥都有，还有点心，热炒菜等，周围出行也很方便，有地铁机场大巴等，性价比很高', '短评打分': 5}
{'短评内容': '这家店还好吧。来买过几次了，服务老客户非常周到，以后还常来！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，交通方便，环境又好，干净，值得', '短评打分': 4}
{'短评内容': '经常住了，主要是考虑位置和价格！', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '一般 停车还收费胡整', '短评打分': 4}
{'短评内容': '酒店性价比很好。。。。。。。。。', '短评打分': 4}
{'短评内容': '非常不错，很不错，我们喜欢，好的很！！！！', '短评打分': 5}
{'短评内容': '不错。服务很好，早歺不错。下次还来，', '短评打分': 3}
{'短评内容': '总体来说还不错', '短评打分': 4}
{'短评内容': '便宜，还可以吧！！', '短评打分': 5}
