{'短评内容': '各种不爽', '短评打分': 2}
{'短评内容': ' 【沙特一架直升机坠毁 王子等8名高级官员全部遇难】据沙特当地媒体报道，一架载有8名沙特高级官员的直升机在沙特城市艾卜哈附近坠毁，机上官员包括王子Mansour Bin Muqrin。机上人员确认全部遇难。', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '很一般，有点旧', '短评打分': 3}
{'短评内容': '一般  设施设备老旧', '短评打分': 3}
{'短评内容': '1.冲凉发现没有沐浴露了，晕\n2.没有暖气，天气转冷，手足无措，', '短评打分': 3}
{'短评内容': '好评！', '短评打分': 5}
{'短评内容': '一般般吧，不过这个价格比较实惠！', '短评打分': 5}
{'短评内容': '帮朋友定的，朋友非常满意，很赞?！', '短评打分': 5}
{'短评内容': '总统很好', '短评打分': 5}
{'短评内容': '还算可以', '短评打分': 5}
{'短评内容': '酒店很不错，服务挺好，设施一般，环境干净，方便，舒心', '短评打分': 4}
{'短评内容': '房间看起来比较旧，空调不行，半夜热醒了，蚊子多', '短评打分': 3}
{'短评内容': '还行吧，习惯了', '短评打分': 5}
{'短评内容': '设施太旧了，一般般吧', '短评打分': 3}
{'短评内容': '感觉还可以、以后还会再来', '短评打分': 4}
{'短评内容': '感觉还可以、以后还会再来', '短评打分': 4}
{'短评内容': '感觉还可以、以后还会再来', '短评打分': 4}
{'短评内容': '感觉还可以、以后还会再来', '短评打分': 4}
