{'短评内容': '交通方便，设施齐全', '短评打分': 5}
{'短评内容': '在装修，最近没早餐，停车还可以！', '短评打分': 5}
{'短评内容': '酒店设施比较差，拖鞋跟纸做的一样，一碰就碎了，洗簌用品质量也很差，建议自己带，服务人员态度一般，之前地理位置还可以，', '短评打分': 3}
{'短评内容': '酒店位于兰州大学对面，地理位置不错，离火车站也近，但是酒店餐厅装修，最近不提供早餐，不方便，附近有路边摊和德克士可以吃早餐', '短评打分': 3}
{'短评内容': '不错交通方便适合商旅酒店 离兰大很近 出差来住的很舒服不错交通方便适合商旅酒店不错交通方便适合商旅', '短评打分': 5}
{'短评内容': '环境很好～工作人员也很热心，就是挨着马路车流声音太大', '短评打分': 5}
{'短评内容': '酒店位置超级便利，下了机场大巴后步行两三分钟就到了，前台的经理人超级nice. 免费赠送我晚一小时退房时间！', '短评打分': 5}
{'短评内容': '汉庭快捷酒店是不错的，价格适中，住着舒适，是出差旅游的不二选择。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，卫生干净，早餐很丰盛', '短评打分': 5}
{'短评内容': '酒店一般，价格还那么贵。', '短评打分': 5}
{'短评内容': '有点小贵，但房子还是很干净的', '短评打分': 5}
{'短评内容': '还好吧，整体', '短评打分': 5}
{'短评内容': '493795991', '短评打分': 5}
{'短评内容': '房间干净，安静舒适，不错的体验', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间太小，胖一点的人用那个卫生间有点困难 。卫生及服务也都很一般，太不值那个价了！', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境好，地理位置出行方便。', '短评打分': 4}
{'短评内容': '非常划算。 边上就是兰大，餐饮，超市，特别方便。', '短评打分': 5}
{'短评内容': '服务态度一般吧，设施中规中矩，兰大对面很方便....', '短评打分': 4}
{'短评内容': '订的特惠家庭房，很宽很舒适呀，说真的比很多地方的七天和如家宽多了，离火车站很近，坐机场大巴也方便', '短评打分': 5}
