{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 5}
{'短评内容': '比较安静，设施较差，老化严重', '短评打分': 4}
{'短评内容': '综合性价比还可以吧', '短评打分': 3}
{'短评内容': '不错的，就算房子小，还是挺干净。', '短评打分': 5}
{'短评内容': '虽然价格确实摆在这，但是不推荐不推荐不推荐', '短评打分': 5}
{'短评内容': '很烂！！！！', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '屋子不是很舒适', '短评打分': 1}
{'短评内容': '不错，很好，可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店卫生干净，设施较差，前台没有存包服务。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '床是塌的，可能学生比较多的原因吧。走道味儿有点大', '短评打分': 4}
{'短评内容': '交通方便，价格优惠，房间一般。', '短评打分': 4}
{'短评内容': '酒店不错。位置也很好找。也很安静。总体来说很不错', '短评打分': 5}
{'短评内容': '将就……将就吧', '短评打分': 2}
{'短评内容': '房间和价格还行，就是地方比较难找，另外服务也有待提高', '短评打分': 5}
{'短评内容': '房间挺好的，下次还住这家酒店，交通也非常方便。', '短评打分': 5}
{'短评内容': '挺好的，房间好像都装修了，比以前好多了。', '短评打分': 5}
{'短评内容': '房间不错，交通方便，距魏公村4号地铁站100米，下次还住这家酒店。', '短评打分': 5}
{'短评内容': '非常安静的地方，虽然设施比较简单，但总体还不错.', '短评打分': 5}
{'短评内容': '房间各方面挺好，下次还住此酒店，服务、卫生都挺好的。', '短评打分': 5}
{'短评内容': '没有诚信，没有发票，公共卫生间极差！！！', '短评打分': 1}
{'短评内容': '在北京，有个地方住就很不错了。挺干净，有空调。', '短评打分': 5}
{'短评内容': '房间有点小，没有独立卫生间和浴室，不太方便', '短评打分': 3}
{'短评内容': '酒店的设施还不错，就是性价比相对高了一点点。。。', '短评打分': 5}
{'短评内容': '我只能说房间太小了，公共浴室卫生间，其他还过得去，不过这个价位我觉得有点不值了。', '短评打分': 1}
{'短评内容': '空调给力，地处繁华。好。', '短评打分': 3}
