{'descr': '酒店不错，很好的体验，第一次在京东预定酒店，好评', 'star': 5}
{'descr': '早餐挺好的', 'star': 5}
{'descr': '服务好，干净卫生', 'star': 5}
{'descr': '酒店安静，早餐丰富', 'star': 5}
{'descr': '早餐丰富，在市区公园边上', 'star': 5}
{'descr': '除了停车场小点，其它都还好，还可以接受。', 'star': 4}
{'descr': '酒店很好找吃饭方便。房间内干净卫生没异味。', 'star': 5}
{'descr': '各方面还可以吧，暂住歇脚还行', 'star': 4}
{'descr': '不错，老来', 'star': 5}
{'descr': '还行老去', 'star': 5}
{'descr': '还行，每次都住', 'star': 5}
{'descr': '还可以吧，房间比较整洁，不过没有刮胡刀', 'star': 4}
{'descr': '地理位置方便易找，对面就是百盛购物广场', 'star': 4}
{'descr': '相当好！不错', 'star': 5}
{'descr': '条件还不错，很舒适。', 'star': 5}
{'descr': '周边购物相当方便，价格合理', 'star': 5}
{'descr': '酒店房间太小！', 'star': 3}
{'descr': '一如既往的选择锦江之星，服务很好，主要是自助早餐很棒', 'star': 5}
{'descr': '价格实惠…作为经济型酒店来说，性价比还行', 'star': 5}
{'descr': '住了好几家，比起来好多了，还是有些不足', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '锦江之星的一系列都非常规范，外部环境虽然有些吵闹，但出行十分方便，购物很轻松，非常不错的酒店。', 'star': 5}
{'descr': '和公园一点都不搭边儿。买东西出门就是大商店和超市。小马路对面卖家的喇叭很大很单调。酒店提供三餐，环境很“锦江”。那么多优点，也就一个不可抗力的缺点也就这样了。', 'star': 5}
{'descr': '物有所值，环境不错，出行方便，购物方便，干净卫生，安静。', 'star': 5}
{'descr': '相当不错，就是无线网不稳定。', 'star': 3}
{'descr': '干净，通风，设施完善，吃饭购物出行都很方便', 'star': 5}
{'descr': '交通还算方便，周围超市，购物，吃饭，水果店俱全，就是停车位不多', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '卫生、干净，地处市中心，离中心公园很近。', 'star': 5}
{'descr': '交通方便，临近公园，傍晚散散步，很惬意~', 'star': 3}
{'descr': '很干净，服务很热情', 'star': 3}
{'descr': '该酒店不错，门口买东西比较方便，就是门口施工有点吵。', 'star': 5}
{'descr': '酒店干净、卫生、安全舒适，入住很舒服。美中不足的是卫生间特别是淋浴的地方太小，不过总的来说还是好评。', 'star': 5}
{'descr': '环境和设施还是很不错的，出差很喜欢住这种快捷酒店。就是店门前挺乱的。', 'star': 5}
