{'短评内容': '感觉一般，地暖太热不睡觉', '短评打分': 3}
{'短评内容': '服务好，大堂装修很温馨，有停车场很方便，有早餐很丰富，有保安有门禁感觉很安全，房间很大，网络很好，淋浴水温很舒服，房间卫生很好，真的是一家很人性化的酒店，酒店位置很好，有免费停车位，房间封包浴巾干净卫生，设施齐全，淋浴喷头水流大！房间也很好，酒店还有新设的空气净化器房间酒店位置很好，房间设施齐全，周围吃饭也很方便，服务态度也很好，价位超级合算，房间很干净没有异味，通风很好，浴巾都是独立包装的，很干', '短评打分': 5}
{'短评内容': '酒店位置很好，有免费停车位，房间封包浴巾干净卫生，设施齐全，淋浴喷头水流大！房间也很好，酒店还有新设的空气净化器房间酒店位置很好，房间设施齐全，离九华挺近，周围吃饭也很方便，房间隔音效果也很好，服务态度也很好，价位超级合算房间很干净没有异味，通风很好，浴巾都是独立包装的，很干净，酒店免查房退房很快节省了很多时间，很方便，还有免费停车位，安全门禁也很好，感觉很踏实很安全，房间都配有一次性牙膏牙刷很方', '短评打分': 5}
{'短评内容': '没免费早餐，房间有厕所味道', '短评打分': 3}
{'短评内容': '酒店很棒，前台有个女孩子服务很好，说话很好听，床单是我最喜欢的白色的，很干净，wifi速度也很快，在九华开会真的是很方便，貌似是离九华最近的一个酒店了，房间应该是刚刚换的地板，颜色很棒，价格也值。房间很干净，前台服务很好，有需要的都会满足，网络很棒，热水和床都很好，下面也有吃饭的餐馆，房间里的基本生活设施一应俱全，浴巾是消过毒的很干净，周边配套的设备很齐全，值得推荐！', '短评打分': 5}
{'短评内容': '可以的，毕竟那边会议期间房价太贵', '短评打分': 5}
{'短评内容': '离九华山庄培训基地确实方便，下次再定！', '短评打分': 5}
{'短评内容': '有点脏，没有以前的感觉了', '短评打分': 5}
{'短评内容': '还可以吧，挺方便的，交了一百的现金押金', '短评打分': 4}
{'短评内容': '卫生一般般，比别的七天差远了', '短评打分': 3}
{'短评内容': '不错?有些东西真的改变了', '短评打分': 5}
{'短评内容': '每次都喜欢住这里，很好的', '短评打分': 5}
{'短评内容': '很不错，很好非常不错的宾馆，推荐大家入住这家，方便快捷干净卫生，大小得体温馨如家，适合出游办公休息的好地方！', '短评打分': 5}
{'短评内容': '很不错，很好非常不错的宾馆，推荐大家入住这家，方便快捷干净卫生，大小得体温馨如家，适合出游办公休息的好地方！', '短评打分': 5}
{'短评内容': '房间很大，还是外窗的，服务态度也不错，还提示我领牛奶，wifi速度也很好，电视可能是新换的比较大，床单是白色的，不是别的品牌彩色的，很喜欢。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '房间很大，还是外窗的，服务态度也不错，还提示我领牛奶，wifi速度也很好，电视可能是新换的比较大，床单是白色的，不是别的品牌彩色的，很喜欢。', '短评打分': 5}
{'短评内容': '还可以、就是离超市近、晚上超市进货有点吵', '短评打分': 4}
{'短评内容': '住了一晚上很好，第二天退房后发现手表落在酒店了，就赶紧给前台打电话，前台非常热心的积极帮我寻找，还热心的帮我收好等我去拿，非常感谢，以后还要去住', '短评打分': 5}
{'短评内容': '很不错，方便', '短评打分': 5}
{'短评内容': '替别人定的', '短评打分': 4}
{'短评内容': '价格可以，但是环境一般，卫生也一般，', '短评打分': 2}
