{'短评内容': '还可以，较好', '短评打分': 5}
{'短评内容': '离科大眼科医院大约5分钟路程，房间布局合理，24小时热水供应非常到位，饮水有净水机。服务热情，下午两点退房。因为零散东西较多，服务员送的两个袋子，真的非常贴心！', '短评打分': 5}
{'短评内容': '没早餐，房间非常小，灯光也不好，服务员现给换的灯泡。完全不像连锁大品牌的酒店，下次不会来了', '短评打分': 1}
{'短评内容': '环境很安静，卫生很干净', '短评打分': 5}
{'短评内容': '不错，离学校近。', '短评打分': 5}
{'短评内容': '靠近科大眼科，位置环境都很好，前台服务超赞，房间也很干净，其他无瑕疵！', '短评打分': 5}
{'短评内容': '硬件设施不怎么好。这是第二次住了。不过前台的服务还是不错的。前台的小姑娘非常可爱。', '短评打分': 5}
{'短评内容': '在京东上订酒店往往都挺便宜的。这家酒店硬件设施一般，但是服务还可以。离中科大的东区很近。', '短评打分': 5}
{'短评内容': '不是图片上的', '短评打分': 3}
{'短评内容': '还不错，可以', '短评打分': 5}
{'短评内容': '酒店不错，干净整洁，就是靠着高架桥，略略有点吵闹。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '房间小。正常如家水平吧', '短评打分': 5}
{'短评内容': '环境恶劣', '短评打分': 1}
{'短评内容': '很好看，住得也很舒适', '短评打分': 5}
{'短评内容': '没有以前的如家好，但是卫生干净～价格也还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境很好，也不吵，棒棒哒', '短评打分': 4}
{'短评内容': '收费东西太多，而且没有免费一次性洗漱用品。', '短评打分': 5}
{'短评内容': '交通方便，房间有些小，房间内另收费的东西太多', '短评打分': 5}
{'短评内容': '住过两次总体还好，就是隔音太差，床的声音也大。', '短评打分': 5}
{'短评内容': '整体环境还行，价格也不高，交通便利。就是隔音窗关了以后，房间GPRS信号特别差，手机都上不了网。', '短评打分': 5}
{'短评内容': '整体感觉挺好的，房间虽小，但很温馨，美中不足的是，我在那住了两天，可是每次出门回来，都让我登记，出示身份证，有点郁闷。。。', '短评打分': 5}
{'短评内容': '总体还可以，整洁，简单。就是感觉小了点房间，呵呵', '短评打分': 5}
{'短评内容': '还好，隔音不是很好，早餐一般！对得起这个价格', '短评打分': 5}
{'短评内容': '装修色彩很好，红绿暖冷色调搭配，大床房面积不是很大', '短评打分': 5}
{'短评内容': '第一次去合肥，在网上订了就店，进住后感觉房间不错，服务很好！性价比高！ 值得推荐给朋友！', '短评打分': 5}
{'短评内容': '这个无窗房，真的是差极了。 1、不隔音 2、卫生间好小，而且真的很烂 3、贵的要死，这么个破房间，居然还要近130，人家天庭商务酒店的科大店，最差的房子也比你这好的多，还便宜近20块钱呢', '短评打分': 1}
{'短评内容': '不错的酒店，值得一去。讲信用。。。。。。', '短评打分': 5}
{'短评内容': '不是太好，不隔音', '短评打分': 3}
{'短评内容': '白天有点吵 晚上很安静 房子有点小 装修还好 总体来说 价格一般 条件一般', '短评打分': 5}
{'短评内容': '十环境很好卫生干净，不足隔音不好由其卫生间隔音不好，住宿压金过高对旅客信任度底。？', '短评打分': 3}
{'短评内容': '空间小，收费的东西多，还算比较干净，网速还可以啊', '短评打分': 5}
{'短评内容': '环境脏、吵、闹。', '短评打分': 3}
{'短评内容': '这个饭店比我想象中差，房间不是很好，房间的裂缝比较多', '短评打分': 1}
{'短评内容': '与价位还比较相符，经济实惠，适合个人出行！', '短评打分': 3}
{'短评内容': '服务员态度不错，条件一般，但比较适合个人出游，经济实惠的选择！', '短评打分': 3}
{'短评内容': '\ue667经济实惠，服务也不错', '短评打分': 5}
{'短评内容': '位置不错挺方便的.就是硬件和软件条件一般了些.住起来不是很舒服.', '短评打分': 1}
{'短评内容': '一般的快捷酒店。感觉比7天还要差点。', '短评打分': 1}
{'短评内容': '房间颜色、搭配很好，就是隔音效果有点差，', '短评打分': 5}
{'短评内容': '还可以吧，住着很舒服，服务员也很不错。如果我经济支持我觉得以后出去玩住这样的最舒服', '短评打分': 5}
{'短评内容': '建议服务员的业务知识更专业一点，连信用卡冻结了也不知道怎么划钱，另外早餐太差，吃的种类应该更多一点。。。。。', '短评打分': 1}
{'短评内容': '就是房间有点小，但是这不影响其他的方面，房间的设计很是简洁也很方便，价格也不贵，很便宜', '短评打分': 5}
{'短评内容': '就感觉他们的服务很是突出，办事效率很高，很好，也很热情，总是面带微笑，和善感觉很是温馨', '短评打分': 5}
{'短评内容': '住在这很是便利。周围就有许多的饭店，做的饭菜也很好出，很是方便很不错的地方', '短评打分': 5}
{'短评内容': '很干净，就是消毒液的味道很到，可能是刚消毒完吧，但是可以看出，对于消毒这方面做得还是很积极的么', '短评打分': 5}
{'短评内容': '最突出的我认为还是他的性价比，价格便宜住宿的条件也很好，而且卫生方面做的也不错，隔音效果也是很好吗的休息的时候很是安静，没有噪音', '短评打分': 5}
