{'descr': '比较不错，性价比较高', 'star': 5}
{'descr': '每周都会来，锦江之星同品牌的快捷宾馆应该是最好的了。', 'star': 5}
{'descr': '酒店真的很不错。', 'star': 5}
{'descr': '除了前台天天拉张脸，别的还不错。', 'star': 4}
{'descr': '客流量大，房间很好。', 'star': 5}
{'descr': '住过那么多酒店和快捷酒店，没见过一家服务员服务态度如此一样差的，所有接待人员没有一句敬语，丧么搭眼，说话跟吃了枪药似的，睡个觉跟它们施舍的似的，太恶心了！', 'star': 3}
{'descr': '交通便利 附近就有地铁站 周围商户也很多 很方便', 'star': 4}
{'descr': '不错，经常入住！交通方便，吃的地方也多', 'star': 5}
{'descr': '位置不错，价格公道', 'star': 5}
{'descr': '地點很好，出門沒幾步路就是地鐵站，安全性也夠，上樓需要刷卡。', 'star': 4}
{'descr': '环境干净，交通方便，周围小吃也挺多的。总体还不错！', 'star': 5}
{'descr': '还好了！还好啦！还好啦，！', 'star': 5}
{'descr': '挺好的店！我推荐！来开会或者出差居住都是不错的选择。加油吧。', 'star': 5}
{'descr': '挺好的店！我推荐！来开会或者出差居住都是不错的选择。', 'star': 5}
{'descr': '住的挺高兴的！', 'star': 5}
{'descr': '还不错，地点方便，服务态度一般。', 'star': 5}
{'descr': '京东确认酒店速度太慢，耽误事了！', 'star': 4}
{'descr': '房间很小，毛巾浴巾等看着不那么舒服\n地理位置较好，附近吃饭方便\n总体感觉不如同价位其他快捷酒店', 'star': 3}
{'descr': '地理位置很好，赶上假日期间都会爆满，毛巾也很干净，每周入住一天，算是常户了', 'star': 5}
{'descr': '地理位置很好，赶上假日期间都会爆满，毛巾也很干净，每周入住一天，算是常户了', 'star': 5}
{'descr': '地理位置很好，赶上假日期间都会爆满，毛巾也很干净，每周入住一天，算是常户了', 'star': 5}
{'descr': '地理位置很好，赶上假日期间都会爆满，毛巾也很干净，每周入住一天，算是常户了', 'star': 5}
{'descr': '地理位置很好，赶上假日期间都会爆满，毛巾也很干净，每周入住一天，算是常户了', 'star': 5}
{'descr': '好的需资料税办税包是', 'star': 5}
{'descr': '基桑加尼少年自卖自夸死了算了', 'star': 5}
{'descr': '好的话题了吗？', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '酒店环境好，服务佳，经常出差，做为会员住这里，感觉不错，前台及卫生保洁做的服务细致，安排叫醒及时周到。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '不算太干净，房间过小', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好，很不错！', 'star': 5}
{'descr': '很不错，交通挺方便！下次来还可以在住这！', 'star': 5}
{'descr': '具体地铁站很近赶飞机火车都很方便', 'star': 5}
{'descr': '早餐一般般，其他还好，商品比其他店铺贵', 'star': 4}
{'descr': '公司出差安排了几次住这家店，考查市场挺方便的，周边很多便利店，离地铁也近。', 'star': 5}
{'descr': '不错，就是隔音有点不好，很干净，就是毛巾有点旧了', 'star': 5}
{'descr': '环境不错，前台服务有待提高，房间设施，卫生都ok。\n', 'star': 5}
{'descr': '酒店环境，房间设施都不错，但是前台服务员的业务能力不高，办个入住用了20分钟。\n\n', 'star': 5}
{'descr': '房间很大，枕头床单该换了，都起毛了', 'star': 3}
{'descr': '酒店位置和楼下的烤串都不错，下次去还会住', 'star': 5}
{'descr': '我非常喜欢这家酒店，地理位置很好，生日当天还有很大的优惠，我忘记是免费还是半价了，下次再来天津还去这家锦江', 'star': 5}
{'descr': '酒店还是锦江之星，但服务差的太远，态度难以接受。被套枕套很脏，很难与其他的锦江之星相提并论。', 'star': 1}
{'descr': '房间干净整洁，就是太小了，房间小，卫生间也小。', 'star': 5}
{'descr': '附近交通很方便，晚上周围还有烧烤什么的，宾馆内无线网络全覆盖的~', 'star': 5}
{'descr': '床挺舒服的，房间有点小。。。。。。。。。。。。', 'star': 5}
{'descr': '很一般般的酒店，性价比不是很高。房间很小很局促，电脑桌前椅子都没法放，墙壁也比较脏，卫生间的毛巾浴巾、床上用品都很旧，快糟了，原本是白色的，现在都已经变成黑黄色。一般般的早餐，居然18元一份。', 'star': 5}
{'descr': '位置好，比较干净，适合出差人员或家庭旅游居住。位置好，比较干净，适合出差人员或家庭旅游居住。\n\n', 'star': 5}
{'descr': '地理位置挺好的··但是房间和卫生间都特别小~~~', 'star': 5}
{'descr': '位置不错，酒店外面吃饭的地方很多，不远处就是天津几个值得一去的景点，很方便。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '在天津这个一出街道就可以到繁华的闹市区。街道里面买东西也很方便。和大多数锦江之星一样，很符合我心意。只是结账的服务员估计是今天新来的，做事还不利索，以后应该会有改观的。', 'star': 5}
{'descr': '位置好，比较干净，适合出差人员或家庭旅游居住。', 'star': 5}
{'descr': '标准房宽敞，干净，地理位置很好，交通方便。', 'star': 3}
{'descr': '交通什么的挺方便的  订的单人间但是可以住两个人  就是毛巾建议酒店该换换了\n', 'star': 5}
{'descr': '服务还行 就是那个毛巾是不是该换了 呵呵  不敢用', 'star': 5}
{'descr': '这家酒店挺不错的，卫生环境都很好，交通也算方便，周边购物、吃饭都很不错，想去天津旅游出差的朋友可以考虑', 'star': 5}
{'descr': '酒店周围采购很方便', 'star': 3}
{'descr': '旅店服务不错，房间内部也比较干净整洁，整体感觉不错~', 'star': 5}
{'descr': '环境很好，也很干净，服务态度也很好，天津劝业场西南角店就在对面，离大悦城和南市食品街也很近。周围吃的挺多的。不过，就是隔音效果不太好，早上会被楼道里的声音吵醒。', 'star': 5}
{'descr': '每次来天津出差都会住这里，环境和位置都能接受，价格也可以', 'star': 5}
{'descr': '酒店服务好，干净，安静， 位置不错，不错的选择', 'star': 5}
{'descr': '安静，卫生，购物方便，非常好，第一次入住锦江，以后就选他了', 'star': 5}
{'descr': '进门房间很大，但卫生间真的很小。毛巾很陈旧，希望能及时更换。交通还算便利，离我们办事的地方不远。以后还会考虑入住。', 'star': 5}
{'descr': ' 非常烂的酒店，服务也烂，马桶座厕都已经裂缝，非常危险，希望大家小心座厕，观察到里面有裂缝就告诉酒店换房或换马桶！小心小心', 'star': 3}
{'descr': '靠地铁不算太远还行吧。周围吃饭超级方便。大排档到处都是。。南城的特色。在北城根本看不到的。。就是白天在装修。。比较吵。。。', 'star': 3}
{'descr': '内部环境非常干净，被子非常好，空间也大。就是杯子是一次性纸杯子，喝茶的时候要小心。', 'star': 5}
{'descr': '酒店的位置挺好的~晚上也比较安静~周围公交地铁线路多出行方便~房间卫生条件不错~~', 'star': 5}
{'descr': '    环境不错    服务也可以', 'star': 3}
{'descr': '在快捷酒店里面算条件很好的，喜欢锦江之星，干净，床舒服~~这个鼓楼店地点不错，很安静，楼下有个饭店里面的饺子很好吃~馅儿里面有麻酱~~~', 'star': 5}
{'descr': '交通便利，出门就是劝业场西南角店，服务态度也不错，值得推荐的好地方~', 'star': 5}
{'descr': '酒店很新，很漂亮，房间也很大，靠近市区。以后还会入住。', 'star': 5}
{'descr': '房间很满意～前台工作人员服务态度很好～说要推迟到～立马给我留房', 'star': 3}
{'descr': '很好，干净卫生，而且很方便', 'star': 3}
{'descr': '交通便例，离劝业场、南市都很近，酒店环境很好，隔音效果显著，服务人员的太度亲切友好', 'star': 5}
{'descr': '蛮好的酒店，价格适中，地理位置优越，安静，关键隔音效果还可以，酒店周围很多小饭店，蛮好的。。。', 'star': 5}
{'descr': '交通便捷 配套设施齐全 临近市中心 环境舒适', 'star': 5}
{'descr': '地点不错，周围热闹，生活方便。就是酒店有些旧了', 'star': 5}
{'descr': '距市中心较近 交通便利 周围的配套设施齐全 性价比高 ', 'star': 5}
{'descr': '不会说了，每次都过来住，已经把它当成在天津的落脚点了，很舒服，很温馨。', 'star': 5}
{'descr': '蛮好的酒店，价格适中，地理位置优越，安静，关键隔音效果还可以，几乎没听到叫床的声音，酒店周围很多小饭店，蛮好的。。。重点推荐，酒店对面就屈臣氏，屈臣氏里面有冈本0.03的雨伞。。。很棒。。。哈哈，你懂的。洗浴水很小。。。有点改善。。。', 'star': 5}
{'descr': '房间不是太大，在经济型酒店中只算中等水平', 'star': 3}
{'descr': '酒店设施都挺新的，也比较安静，睡眠很好。周边吃饭什么的很方便，离大悦城 很近。', 'star': 5}
{'descr': '挺舒服的 下次继续入住 2222222222222222222222222222222222222222', 'star': 5}
{'descr': '酒店设施都比较新，周边吃饭买东西都很方便，距离大悦城也比较近，逛街比较方便。', 'star': 5}
{'descr': '位置不错，门口没有停车位，停车需交费，不适合自驾。', 'star': 5}
{'descr': '整体环境还不错，主要有一点不足就是卫生间光线不好，而且那个花洒水很小，下水道下水还很慢半天下不去！其他的都还可以！', 'star': 5}
{'descr': '非常不错的酒店，附近的交通比较发达，就是在最初找的时候不太好找呢', 'star': 5}
{'descr': '大半夜，工作人员乱闹.大半夜，工作人员乱闹.大半夜，工作人员乱闹.大半夜，工作人员乱闹.大半夜，工作人员乱闹.大半夜，工作人员乱闹.', 'star': 1}
{'descr': '连锁酒店，也就这样吧，只能评价一般，谈不上很好或怎么样，但早餐18元还算可以的', 'star': 5}
{'descr': '房间不错 还是那么舒服 以后还会去得~~~', 'star': 5}
{'descr': '酒店房间不大，卫生倒是还算干净，前台的服务比较好，也算安静，离南开中学不是很远。', 'star': 5}
{'descr': '还可以，房间蛮大，推荐吧！还可以，房间蛮大，推荐吧！还可以，房间蛮大，推荐吧！还可以，房间蛮大，推荐吧！', 'star': 5}
{'descr': '感觉很舒适', 'star': 3}
{'descr': '确实不错，位置离地铁挺近的、非常不错。1122', 'star': 5}
{'descr': '晚10点入住，很顺利，早7点离店，结账很快。设施简洁，干净。淋浴间太小。服务尚可。', 'star': 5}
{'descr': '干净。是锦江之星的一贯水准。交通便捷，距离地铁站不远。附近就有一个屈臣氏，买东西也方便。路口对面有好几家商务快餐店，便宜且美味。', 'star': 5}
{'descr': '说是鼓楼店离开鼓楼还远着呢可别在鼓楼下车！', 'star': 5}
{'descr': '屋内布置是我最喜欢的一个，有桌子有窗户不错。但是楼下就是饭店老往上窜油烟子 很呛人！住的第二晚上还有人往里塞小广告：又寂寞少妇又学生妹又按摩啥的！能管管这个不，这个给我的感觉特别不好！', 'star': 5}
{'descr': '很不错的酒店，我基本都住这家的连锁酒店，很温馨，很不错，早餐也很不错。', 'star': 5}
{'descr': '非常好,环境不错,非常干净,地点也很不错.', 'star': 5}
{'descr': '还不错，床头的灯不符合锦江的标准，很多城市不一样', 'star': 5}
{'descr': '酒店非常干净，位置也不错，出门有个商场，去天津站也很方便，性价比很高', 'star': 5}
{'descr': '怎么说呢，\n这家酒店真的很不错，也很时尚，地理位置也很好。\n环境更是不用说，而且酒店的服务态度都很好。\n说句实在的，这个酒店性价比很高，。', 'star': 5}
{'descr': '床很舒适，房间宽敞，交通也算便利，位置稍稍有点偏', 'star': 5}
{'descr': '非常好 环境不错 非常干净 地点也很不错', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '房间很干净，服务比较到位，价格还算合理，比较适合出差和短期出游的朋友。周边交通比较便利，离景点也比较近 推荐哦', 'star': 5}
{'descr': '地理位置非常好。毗邻西南角地铁站，出行很方便。旁边是劝业场商场，对面是服装街。房间还算整洁，就是毛巾有点发黄，床单也是。', 'star': 5}
{'descr': '服务很好', 'star': 3}
{'descr': '地点不错，环境也很好！\n下次还会入住！\n就是网速有点慢！', 'star': 5}
{'descr': '房间还是比较舒适的~干净~布置的不错~服务态度好~办理入住退房等很快捷~就是隔音不是很好~离景区稍微有一点远，不过门口交通方便，基本都能坐公交直达~', 'star': 5}
{'descr': '房间很干净，也安静。位置比较好，到各景点都比较近。', 'star': 3}
{'descr': '房间很干净;就是隔音差点.', 'star': 3}
{'descr': '总体感觉一般,服务态度也是不冷不热', 'star': 3}
{'descr': '入住', 'star': 3}
{'descr': '交通不错，位置不太好，住得时候在外面在挖水管，很吵', 'star': 5}
{'descr': '可', 'star': 3}
{'descr': '酒店位置很好，周边交通很方便，价格也便宜。不错！', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '睡觉前竟然在枕头上发现未知的若干头发，不过我很理解在天津这种现象的存在是合情合理滴', 'star': 1}
{'descr': '环境好，网速快。推荐一个！', 'star': 3}
{'descr': '很好很方便，下次还会去，推荐很好很方便，下次还会去，推荐！！！！！！！！！！！！很好很方便，下次还会去，推荐！！！！！！！！！！！！很好很方便，下次还会去，推荐！！！！！！！！！！！！！！！！！！！！！！！！@@@@@2@@@@@@@@@@@@@@@@@', 'star': 5}
{'descr': '环境和服务态度较好。交通较方便。周围在修路，有些吵。周围高档的餐厅较少。早饭有些贵，建议便宜些。总之与同价位相比，整体还是不错。宽带速度很快。', 'star': 5}
{'descr': '房间很干净，地理位置也好，服务态度也不错，强烈推荐！', 'star': 3}
{'descr': '环境和服务态度较好。交通较方便。周围在修路，有些吵。周围高档的餐厅较少。早饭有些贵，建议便宜些。总之与同价位相比，整体还是不错。', 'star': 5}
