{'短评内容': '还好吧，设备陈旧', '短评打分': 4}
{'短评内容': '这是住过的最差的格林豪泰酒店！酒店在酒吧楼上，晚上非常吵！房间地板都没打扫干净，有垃圾！房门关起来比较难关上，而且感觉不牢固，一用力推就能开门！淋浴的出水量和小便差不多大，而且温温的，一点也不热！', '短评打分': 1}
{'短评内容': '目前为止住过最差的酒店，没有之一！难以相信这是格林豪泰！房间卫生不好，设施成旧我就忍了，但凌晨两点门口走廊就一直有人在打电话，大声喧哗，还一会儿一会儿的关门，不能忍。从凌晨两点被吵醒一直到五点，外面都没停过，至于周边环境，呵呵，算了吧，别住了，不是ktv就是足浴中心，想也知道是什么情况了。我都不知道那些好评是怎么来的？就当我花钱买教训了。', '短评打分': 1}
{'短评内容': '床很大，环境不错，商务出行好选择！', '短评打分': 5}
{'短评内容': '还不错，可以居住', '短评打分': 5}
{'短评内容': '酒店停车场车位少，周边环境太吵', '短评打分': 3}
{'短评内容': '...........', '短评打分': 5}
{'短评内容': '旁边有酒吧 晚上挺吵的', '短评打分': 2}
{'短评内容': '装修陈旧，卫生较差，价格地道！', '短评打分': 3}
{'短评内容': '不好，各方面都觉得差', '短评打分': 2}
{'短评内容': '还行，位置不错！周边吃的多，公交车车多。办事很方便，另对面有一个大大的公园，可以去走走，会相当的惬意的！', '短评打分': 5}
{'短评内容': '还行，位置不错！周边吃的多，公交车车多。办事很方便，另对面有一个大大的公园，可以去走走，会相当的惬意的！', '短评打分': 5}
{'短评内容': '酒店大门面向不是马路，第一次走过了回头才找到。周边环境很好比较安静。提供的牙刷个人感觉刷毛软硬不错必须给个赞。另外能延迟退房也是棒棒哒！唯一不足的房间味道太重！味道太重！味道太重！', '短评打分': 5}
{'短评内容': '靠近酒吧街，喜欢蒲的人很合适。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '订了三间，其中1119号房间说有烟头扣了十块钱，朋友说没有在里面抽烟，要去找服务员理论，后来心想十块钱就算了', '短评打分': 5}
{'短评内容': '床太硬，旁边是酒吧，没吵死。。', '短评打分': 3}
