{'短评内容': '环境还可以，安静，就是房间设施有点旧了', '短评打分': 4}
{'短评内容': '不错，在西大东门附近', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '挺好的，睡一晚上，环境也不错，价格也实惠，值得推荐，就是地方有点偏僻不过还好，到了地方一看就看到了。', '短评打分': 5}
{'短评内容': '无早餐，不能加床，不适合带小孩住宿，酒店位置偏僻，是下单不注意看酒店名称才入住。这个酒店条件最多只能称为刚刚入流普通宾馆。电梯门都不爱开给你，房间卫生不搞，被子发黄，床下到处是烟头和避孕套。双床房就放一套洗涑用品，连拖鞋都没有。唉，还挺贵。发誓今后住街头也不住这家普通宾馆', '短评打分': 1}
{'短评内容': '还算干净，就是房间窗户开不了通风不是很好', '短评打分': 5}
{'短评内容': '怎么说呢，床铺中间是凹陷下去的，而且很硌脚，睡着浑身不舒服。夜晚声音很嘈杂，很吵，地板砖有几块是发霉坏了的，而且最主要的是开空调空调声音大，阳台地板很脏。总之就一个字，差', '短评打分': 1}
{'短评内容': '酒店本身位置不算难找，离公交车站不远。酒店开业已久，房间面积还算法，设备较陈旧，墙面有些斑驳了，床垫也很薄。幸亏有空调，不然真没办法住了', '短评打分': 3}
{'短评内容': '还行吧  服务态度不错  。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还好吧，中等设施，实惠经济。', '短评打分': 3}
{'短评内容': '这个价貌似不太值，周围类似的酒店挺多的', '短评打分': 4}
{'短评内容': '前台接待含糊不清，业务太不熟悉了', '短评打分': 3}
{'短评内容': '还可以，适合学生和个人入住。', '短评打分': 3}
{'短评内容': '酒店很新，达到四星级了，很好，满意', '短评打分': 5}
{'短评内容': '一般般，还行吧，叫了三天打扫卫生都没有打扫', '短评打分': 3}
{'短评内容': '@尾巴上的青春\u2005你就这样对我', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店还听舒适的，管理也行，卫生做得好，挺实惠的', '短评打分': 3}
{'短评内容': '干净卫生，性价比高，地处西大东门附近，吃喝玩乐都方便，环境也很安静，只是有点难找。', '短评打分': 5}
{'短评内容': '卫生，舒适，明亮宽敞，性价比高，只是有点难找。可到西大东门下车，往前走一百米左右向右拐进东五里巷子（就是有很多卖东西的），然后直走50米，向左第一条很深的小巷（桌球旁）。往前一直走两百米就到了。虽然有些难找，但是周围环境很安静，不吵，适宜休憩', '短评打分': 5}
{'短评内容': '饮食什么的比较方便，闹中取静，晚上也算是安静，就是附近装修，在外面闻着有股味道，犹豫了很久才入住。不过总体还可以。周末涨价了。。。。。', '短评打分': 5}
{'短评内容': '住起来不错,卫生好服务也好就是地方儿不太好找!总的来说不错推荐一下', '短评打分': 3}
{'短评内容': '环境还可以 就是有点不好找，挺干净的，周围也挺安静！', '短评打分': 5}
{'短评内容': '酒店位置还可以，吃饭，娱乐都很方便，后面还有篮球场，喜欢运动的朋友可以考虑下。', '短评打分': 5}
{'短评内容': ' 酒店服务一般，卫生很差劲。床单被套脏成这样也不换。无语', '短评打分': 3}
{'短评内容': '性价比还可以，只是我很怀疑，空调无法制热，是何缘故捏？？？唯一的遗憾啊！！！', '短评打分': 5}
{'短评内容': '去秀灵路那边都是住那的~很不错。。房间有小吃价钱也不贵~~', '短评打分': 5}
{'短评内容': '\n整体还行吧，房间干净简洁。但是朝街道这面还是有点吵。另外，不是中央空调，房间要过好久温度才上升到设置的温度', '短评打分': 3}
{'短评内容': '安静并比较干净，火车站出口走到马路坐一元钱的31路到西大东门哪个站前走一百米秀灵宾馆左边小巷就到了。', '短评打分': 3}
{'短评内容': '整体还好，价格也可以接受。空调只能制冷。', '短评打分': 5}
{'短评内容': '隔壁装修有点吵，暖气还不能用，总体来说还可以。', '短评打分': 3}
