{'短评内容': '价格方面和酒店房间性价比很高，楼层服务也很好，说点需要改进的吧，本人入住的是4002和七楼哪个房间（我同事订的，忘记了）房间卫生、环境等都很好，但是！WIFI信号很差，微信发个文字还成，图片打开都够呛，更不用说视频之类的了，前台开发票时间较慢。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '卫生间没有热水  这是最不好的', '短评打分': 4}
{'短评内容': '感觉一般般', '短评打分': 3}
{'短评内容': '很卫生，不错！', '短评打分': 5}
{'短评内容': '中等偏上', '短评打分': 4}
{'短评内容': '酒店环境不错 离火车站近  与价格相比是很不错的 就是隔音效果较差 房间比较小  卫生间不错 房间环境不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店比较陈旧，大屁股电视机，窗帘不遮光，卫生不好，睡过，背上起好多疹子', '短评打分': 2}
{'短评内容': '服务不错，24小时赞', '短评打分': 4}
{'短评内容': '不错 挺好 卫生干净', '短评打分': 3}
{'短评内容': '环境一般，交通便利，价格实惠！', '短评打分': 3}
{'短评内容': '不错，住过好多次了！', '短评打分': 5}
{'短评内容': '价格便宜，还算不错吧', '短评打分': 3}
{'短评内容': '價格合理，衛生不錯。還有離火車站近方便。', '短评打分': 5}
{'短评内容': '挺好的，环境，价格，服务，都还行,交通也很方便,就是吃饭的地方周围比较少,离井冈山大学很近的', '短评打分': 5}
{'短评内容': '酒店离火车站很近,位置不错.环境ok', '短评打分': 3}
{'短评内容': '服务人员态度很客气，办事也很周到，房间干净整洁，价格也挺合适。', '短评打分': 5}
{'短评内容': '房间装修的挺简洁，但是打扫的很干净，基本设施都有，价格也能接受。', '短评打分': 5}
{'短评内容': '服务上很周到，办事效率很快，这点可以赞一个。', '短评打分': 3}
{'短评内容': '我觉得酒店各方面都不错，性价比挺高的，值得推荐。', '短评打分': 5}
{'短评内容': '服务上响应及时，房间干净整洁，设施齐全，住的挺舒适。', '短评打分': 5}
