{'descr': '老宾馆，设施老旧，，，，，，', 'star': 3}
{'descr': '房环境还还，发现小强，需要改改', 'star': 3}
{'descr': '一般，热水器头不好使，电视', 'star': 3}
{'descr': '周围没有吃饭的地方，酒店比较旧，老板还是比较热情的，', 'star': 3}
{'descr': '周围没有吃饭的地方，酒店比较旧，老板还是比较热情的，', 'star': 3}
{'descr': '周围没有吃饭的地方，酒店比较旧，老板还是比较热情的，', 'star': 3}
{'descr': '设施陈旧，房间异味大，热水很久都出不来，位置那么偏，这个价格太贵了', 'star': 2}
{'descr': '环境真的不怎么样，主要也是价格还行', 'star': 2}
{'descr': '这样的价格，这样的环境和服务，差不多，还可以吧。', 'star': 5}
{'descr': '冬天有点冷 没有中央空调 就一个小空调 热水器的水不大 水不热', 'star': 5}
{'descr': ' 环境总体可以，东西比较旧，但还算干净，就这个价格而已这样的设施也差不多，毕竟东绛是个乡下地方', 'star': 3}
{'descr': '这家酒店还行吧，网络和电视效果都一般，服务一般。。。', 'star': 5}
{'descr': '去博览中心的话住在这里还好，比较方便！就性价比而言还是不错的选择。', 'star': 5}
{'descr': '环境一般', 'star': 3}
{'descr': '里面不正规，不专业，感觉像是个体开的旅店，闲散人等走来走去，旁边就是一家足浴城。', 'star': 1}
{'descr': '设施比较旧,服务太差。但总体价格还不算太高。最主要是服务要提高才行。态度是第一位的.', 'star': 1}
{'descr': '价格低，服务好，环境不错，交通也方便，值得推荐!', 'star': 5}
{'descr': '性价比不错的一家酒店，地点在新区，100多点的价格应该算是不错了吧', 'star': 5}
