{'短评内容': '半夜三更到的前台很好有耐心。  位置好赞', '短评打分': 5}
{'短评内容': '还可以吧吧吧', '短评打分': 3}
{'短评内容': '环境一般，也就离三丘田码头比较近，凑合住而已', '短评打分': 3}
{'短评内容': '酒店外围还是不错的，离三丘田码头挺近，往前走一些就是龙头路，庭院也很舒服。房间较小，前台服务一般，程序性的工作，问答也是很机械！', '短评打分': 4}
{'短评内容': '4月底去的，住的一楼，蚊子较多', '短评打分': 3}
{'短评内容': '太贵，床太小', '短评打分': 5}
{'短评内容': '離碼頭近，很好找，整潔！乾淨！因住的房間臨路，有點吵，整體上不錯！', '短评打分': 5}
{'短评内容': '还行，房间有点小', '短评打分': 4}
{'短评内容': '在这里离轮渡码头很近，离小吃街也很近，挺方便', '短评打分': 5}
{'短评内容': '前台的小哥人很好', '短评打分': 5}
{'短评内容': '很有味道的旅馆，民国时期的感觉，很喜欢', '短评打分': 4}
{'短评内容': '酒店的位置离码头很近，环境雅致，干净卫生！', '短评打分': 5}
{'短评内容': '位置非常好，离码头和美食街都很近，外观很漂亮，但设施较陈旧，床躺上去就响，地板破损，天花裂开，窗帘无法拉起要挂在窗上。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '家人说很好', '短评打分': 5}
{'短评内容': '此客栈造得不错，挺有情调，尤其是顶楼的秋千。地理位置也好，比较方便安静。住的是简约上下铺，倒是比较干净。不过270一晚的价格实在不值。房间比卫生间还小。卫生间窗户靠着后院，百叶窗不够隐蔽。老板人不错。总的来说，除非不在乎钱，不然不推荐。', '短评打分': 1}
{'短评内容': '前台小许很热情，距离码头很近但不吵杂，小院子很惬意。鼓浪屿上的特产蚊子太多。', '短评打分': 5}
{'短评内容': '价格350还是小贵的，貌似刚装修过，很干净、整洁，位置不错，离美食街近，但信号不好，性价比不高，含的双早应该算是岛上比较正宗的小吃了吧', '短评打分': 1}
