{'短评内容': '不太好也不太差，一般情况', '短评打分': 3}
{'短评内容': '不太好也不太差，一般情况', '短评打分': 3}
{'短评内容': '条件一般，还挺干净的。', '短评打分': 4}
{'短评内容': '房间较小', '短评打分': 4}
{'短评内容': '跑秦皇岛马拉松定的，离起终点比较近，是体育局的招待所，出门就是海，不足是房间小，用具脏', '短评打分': 5}
{'短评内容': '环境优良，靠海边！而且服务超级好，服务员都是美女！', '短评打分': 5}
{'短评内容': '没住上公寓，携程推荐了这家酒店，房间太小，卫生堪忧，将就住。', '短评打分': 3}
{'短评内容': '酒店的位置离海边很近，走路2分钟就到了，也非常安静。', '短评打分': 4}
{'短评内容': '房间不是很大，环境还可以，离海边步行10多分钟', '短评打分': 4}
{'短评内容': '好~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 3}
{'短评内容': '距离海边很近，宾光卫生环境很好，房间干净，热水很冲。旁边的海边也比北戴河干净很多。比较不错，价格也很合适，以后还打算去。', '短评打分': 5}
{'短评内容': '离海边很近，去海边很方便。干净环境不错，经济实惠。', '短评打分': 5}
{'短评内容': '套房很不错，很干净\n位置也不错，离海边很近\n\n唯一不足的就是木有早餐...', '短评打分': 5}
{'短评内容': '房间干净，设施比较新，枕头也很舒服。\n每天还送方便面和火腿肠。', '短评打分': 5}
{'短评内容': '非常好的酒店，服务员很热情，房间也非常干净，设施也全是新的，非常不错，以后再来就是这了，尤其是夜班服务员那真是非常不错的', '短评打分': 5}
{'短评内容': '离海边较近，房间设施还可以，购物不太方便。', '短评打分': 5}
