{'短评内容': '每次去都住，合适', '短评打分': 5}
{'短评内容': '就是很普通的经济型宾馆，早餐还不错，就是放假装潢看上去不是很时髦', '短评打分': 5}
{'短评内容': '热水要开半小时才有，比较焦人。 酒店服务很好。', '短评打分': 5}
{'短评内容': '因为无窗，房子进去就有味儿。被子潮，设备陈旧。一次性牙刷掉毛，卫生纸卡得不严，总是往下掉。烧水壶里面有剩水，貌似没有打扫卫生，只敢和衣睡。晚上抽水管的声音很响。早餐八点半去的，馒头和包子都凉了，只有粥还热点。比较奇葩的是，因为早餐能不能打包的问题，服务员和一位来吃早餐的客人吵起来了，没有服务意识。', '短评打分': 3}
{'短评内容': '來考試的。挺安靜的。整潔度一般可以接受。空調可用效果可以。選的無窗不通風有點味道。床一般較軟。廁所乾淨，熱水很足。中餐早餐不怎麼樣但能吃飽。離川外考試樓我女生一般步速要走20min左右上坡路，當熱身清醒。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，\n房间干净整洁，\n交通方便。', '短评打分': 5}
{'短评内容': '还好啊也就那样一般般吧很一般啊啊啊啊啊', '短评打分': 4}
{'短评内容': '第二次入住，干净方便', '短评打分': 5}
{'短评内容': '干净卫生，还不错', '短评打分': 5}
{'短评内容': '房间光线太暗，没有白灯，可能晒不到太阳，腐朽的味道。', '短评打分': 5}
{'短评内容': '挺好的。。。。。。。', '短评打分': 5}
{'短评内容': '来川外考试，附近只有这一家酒店正规一点。设施卫生什么的还不错。但是门不能上锁，总觉得没安全感。WiFi用着不方便。早餐马马虎虎，性价比一般。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '前两次还不错，本次住的有点差，188，的价位不符', '短评打分': 3}
{'短评内容': '比较方便比较方便……………', '短评打分': 3}
{'短评内容': '很不错的  周边吃饭购物很方便，酒店也很好。', '短评打分': 5}
{'短评内容': '这家还不错啦，离川外比想像近多了，交通便利。地毯不算很干净，总体很好', '短评打分': 3}
{'短评内容': '早餐简单。独立空调很好。去磁器口很近，步行就1公里。是磁器口附近不错的选择。', '短评打分': 5}
{'短评内容': '酒店的设置在改善了。。。\n   网速也开始给力了。。。\n好评。。。', '短评打分': 5}
{'短评内容': '地理位置交通方便。。。\n   旁边就是歌乐山公园。。。\n酒店设施还算可以把，不过隔音效果不是很好', '短评打分': 5}
{'短评内容': '环境很好…没事去红岩广场玩玩…', '短评打分': 3}
{'短评内容': '环境好。。。\n   下次还会去。。\n交通也不错、。。。', '短评打分': 5}
{'短评内容': '我是去参加川外里面的考试，离川外很近很方便。酒店的硬件很一般，晚上开空调睡的，噪音比较大', '短评打分': 5}
{'短评内容': '安静，但是装修一般，凑合住吧安静，但是装修一般，凑合住吧', '短评打分': 5}
{'短评内容': '环境还是不错，周围的环境也不错，有一个大超市，还有吃的地方，总体不错就是有点贵。', '短评打分': 3}
{'短评内容': '挺好的酒店，价格什么的也算公道，这次考试多亏了住了个方便的酒店，安静舒适的环境，建议去川外考试的同学们考虑。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '1.前台服务态度超级差，一副别人欠她500万的表情，问个问题也爱答不答，要不是为了考试方便，绝对不会再去受气。\n2.房间还是可以，因为价格高嘛，住的还算巴适。\n\n客观的说，酒店还行，但一个酒店的服务不好，那谁还会再去？？', '短评打分': 5}
{'短评内容': '   已入住', '短评打分': 3}
{'短评内容': '还可以，周围虽然没前一家酒店方便，但是环境好很多，酒店外观不错，大厅在一楼，还算容易找，住宿便宜，房间大，厕所也不错，还有衣柜，整个很满意。 \n', '短评打分': 5}
{'短评内容': '很满意！', '短评打分': 3}
{'短评内容': '。价位高，环境一般', '短评打分': 3}
{'短评内容': '环境卫生还可以，就是新装修的房间气味有点浓。', '短评打分': 5}
{'短评内容': '还可以，周围虽然没前一家酒店方便，但是环境好很多，酒店外观不错，大厅在一楼，还算容易找，住宿便宜，房间大，厕所也不错，还有衣柜，整个很满意。', '短评打分': 5}
{'短评内容': '很一般，外面小巷是商场的货物中转点，很吵。因是新装修，也不敢关窗。\n很一般，外面小巷是商场的货物中转点，很吵。因是新装修，也不敢关窗。\n很一般，外面小巷是商场的货物中转点，很吵。因是新装修，也不敢关窗。', '短评打分': 1}
{'短评内容': '酒店离川外，西南政法都挺近的。房间也很干净，设施还算不错，价格比较优惠。', '短评打分': 3}
{'短评内容': '酒店性价比较高,打扫卫生的阿姨人很好.', '短评打分': 3}
{'短评内容': '己住裴艳玲谢', '短评打分': 3}
{'短评内容': '条件较好,卫生也不错,态度好', '短评打分': 3}
{'短评内容': '周围虽然没前一家酒店方便，但是环境好很多，酒店外观不错，大厅在一楼，还算容易找，住宿便宜，房间大，厕所也不错，还有衣柜，整个很满意。', '短评打分': 5}
{'短评内容': '地点就在红岩魂广场旁边，酒店旁边有生活超市，对面有火锅店，小饭馆，住着算是方便。首先得说，前台和清洁阿姨的服务态度真的很好，里面的硬件设施也还算可以，但是，酒店还在装修中，房间味道非常大，我住了一晚上，第二天早上起来脸上就过敏，长了很多小红点点；另外，空调运行声音比较大，窗户隔音效果不算很好，我住五楼，晚上楼下有人大声讲话，我都可以听得很清楚。', '短评打分': 1}
{'短评内容': '8月初住的了，因为忙一直没时间上来点评。总体来说很不错，就是稍微地理位置不太好，住房条件对得起这个价格，推荐哦。', '短评打分': 5}
{'短评内容': '条件很好，值了。', '短评打分': 3}
{'短评内容': '房间内很干净，设施齐全，有数字电视。卫生间比较大。价格也低。决定了以后再来就住这了', '短评打分': 3}
{'短评内容': '服务态度极好，设备极新，很享受很满意，空调足花洒大，下次还要来。。只是离火车站有点远', '短评打分': 5}
{'短评内容': '酒店在红岩广场下，靠近永辉超市，到川外只需8分钟，坐公交车去沙坪坝解放碑都方便。酒店房间宽敞，布局挺好，卫生很干净，服务态度也挺好。\n\n坐公交车到袁家桥下车，对面就是台州大酒店了。如果在川外下车的话，一直往下走，走下红岩广场就到了。\n\n很喜欢大厅里的鱼缸，特别是里面一只歪嘴巴的白色大鱼很漂亮。\n\n但有一点，房间的门，隔音效果很不好，特别是夜里走廊里的人大声说话会很吵。白天，酒店旁边一直在修房子，也', '短评打分': 5}
{'短评内容': '房间隔音安静，设施比较新，环境干净整洁，床的软硬适中，窗外是绿色植物，非常不错，对得起158的价格。\n', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '到西政、川外、红岩魂广场都比较方便，整体还是不错。', '短评打分': 5}
{'短评内容': '还行，蛮干净的，住着也舒服。交通也还算方便，离四川外语学院和政法大学也就几分钟的路程。', '短评打分': 5}
{'短评内容': '住宿环境很好，服务也很好，总之很不错.......', '短评打分': 5}
{'短评内容': '这家台州大酒店不错，服务态度很好，应该是新开张的，地图上找不到，不过不难找，位置交通方便，里面设施很新，床超级舒服，给我的印象很好！', '短评打分': 5}
{'短评内容': '各方面还都算不错，主要是离办事的地点比较近。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '新酒店   房间装修的很好   不过房间里装修后的味道太大了   完全无法睡着\n去的时候让安排一个安静的房间    结果安排了一个很不安静的\n不过   这个价格   倒是很对得起房间的装修水准了', '短评打分': 1}
