{'descr': '值得', 'star': 5}
{'descr': '没吃', 'star': 5}
{'descr': '酒店位置方便，房间也还可以，就是我的两盒周黑鸭没有了，问服务员都说收拾房间没有看到，只好带着行李走了，火车上看见人家吃就觉得郁闷！难道我的周黑鸭长腿跑了^^', 'star': 5}
{'descr': '同时订了两间。价格一样。但是两间还是有一定差距。有一间面积要小许多。', 'star': 4}
{'descr': '房间宽敞，床大！', 'star': 5}
{'descr': '酒店还可以，干净清爽', 'star': 5}
{'descr': '酒店装修不是很新了，地毯看起来比较旧。服务还算可以。', 'star': 4}
{'descr': '周边有沃尔玛和餐馆，比较方便，也能停车。服务和卫生很差，附近还有其他宾馆，不过没房了。在这个价位只能说能住。', 'star': 3}
{'descr': '还不错，周边吃饭的地方很多，有一个沃尔玛超市，交通一般吧，有一个公交站，房间较为安静，适合商务出行吧。', 'star': 4}
{'descr': '很不错哈，以前就在这家住过，', 'star': 5}
{'descr': '有点偏僻', 'star': 4}
{'descr': '虽然旁边是菜市场，但并不算吵。98的房间面积够大，装修稍微老了些，但是绝对对得起这个价格。走几步旁边就有沃尔玛，很方便。', 'star': 3}
{'descr': '错', 'star': 3}
{'descr': '说实话，这是我在重庆遇到的服务最好的酒店！酒店的前台和保安师傅服务很好！没有任何怨言！非常感谢。', 'star': 5}
{'descr': '房间设施不行，一股味道，服务态度还可以', 'star': 2}
{'descr': '服务好。房间整洁、安静、舒适、干净。配套齐全。美中不足的是网络速度不稳定。总体评价是：好。值得。', 'star': 5}
{'descr': '入住条件一般，太不隔音', 'star': 3}
{'descr': '帮人预定的，没说哦，应该还不错', 'star': 3}
