{'短评内容': '干净卫生，各种设备齐全，大床太舒服', '短评打分': 5}
{'短评内容': '挺舒服的，阳光也很足', '短评打分': 5}
{'短评内容': '1.这个特价房，真的是无语到吓到我们了，房间里除了一张小双人床，根本下不去脚，空间太小。2.是用隔板隔出来的所谓的房间，隔音就不必指望了，听隔壁一对情侣吵了一晚上的架，幸亏不是，，3.空调陈旧，太吵，电视没能成功打开，没电梯，没窗户的，必须开着换气，不然会窒息而死。4.床单上有黑点，连表面也没清理干净5.10月份晚上6.7点天擦黑周边很多店已经关门了，别指望吃到什么好吃的，早上起床东边的那条街倒是', '短评打分': 3}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '个体户……卫生间很错…卫生条件太错、、被单及卫生消毒很错、…服务、', '短评打分': 1}
{'短评内容': '房间太小了，不过地段还不错干净卫生', '短评打分': 4}
{'短评内容': '首先门面很小，其次房间很小，房间墙上都是黑乎乎的东西，被罩没有换，拖鞋不是一次性的有种发臭的味道', '短评打分': 3}
{'短评内容': '性价比还行，毕竟价格优惠，也没有什么较高的要求了，就是房间有梅味道', '短评打分': 3}
{'短评内容': '泥土褐色借记卡理解你', '短评打分': 3}
{'短评内容': '还不错吧莫怕挨骂地牛兔', '短评打分': 3}
{'短评内容': '酒店老板不实在，团购之前打电话问了有房间，等我们去了后，就让我把团购退掉，要不就涨价，说没有房间，其实这个宾馆正在装修，跟本没有几个人住的，南方人太不实在了。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
