{'短评内容': '真的不错了', '短评打分': 5}
{'短评内容': '不想说啥了，不会再住了！', '短评打分': 3}
{'短评内容': '离出差位置较劲，但该酒店设施陈旧，房屋内空间小，卫生间小，毕竟该楼修建的时间很早。早餐一般，需要在酒店单独购买', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 4}
{'短评内容': '感觉不错！环境好，服务好，卫生比较干净，房间条件也不错，尤其是床铺和被褥。店环境不错，吃饭也方便。酒店房间很大，宽敞舒适。安静不吵，总体还是非常好滴。', '短评打分': 5}
{'短评内容': '还算一般的酒店，就是比较偏', '短评打分': 3}
{'短评内容': '有点偏，条件不算太好。', '短评打分': 3}
{'短评内容': '烂酒店，不值得住。', '短评打分': 2}
{'短评内容': '感觉还可以，关键离目的地近。', '短评打分': 4}
{'短评内容': '酒店是部队的招待所，设施不算新，尤其是电视太老了，信号也不好，仅几个台可看。环璄还算安静，离公交站挺近 交通还算便利，离地铁一站，倒也方便。周围吃饭也还可以，稍走段路有几家饭店都还不错。有地方停车，应该是免费。服务不好说，因为除了登记、退房，没啥事。', '短评打分': 4}
{'短评内容': '酒店设施陈旧，卫生环境较差，尤其卫生间是一体式的，有点像街头的那种临时卫生间。服务员素质不错，手表落在房间里，服务员能及时通知。', '短评打分': 4}
{'短评内容': '房间比较小', '短评打分': 3}
{'短评内容': '性价比不错，大北京二环啊', '短评打分': 3}
{'短评内容': '酒店位置好，离单位走路10分钟就到位于二环边，干净整洁，房间面积有点小，一个人住着很舒适。 房间里多备了一床棉被刚好用上了。', '短评打分': 3}
{'短评内容': '挺干净的，古色古香的感觉，很不错。', '短评打分': 5}
{'短评内容': '环境还可以，就是房间里面没有电，电视也看不了，房子有点小。', '短评打分': 1}
{'短评内容': '原来就是部队一招待所！汉庭没房了，走路过去的，感觉不是很好找！不过总的来说还可以吧！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '价钱跟环境，空间反差太大了…都不如街边大床旅馆', '短评打分': 3}
{'短评内容': '环境不错、服务还好、配置低点、入住那晚还发生停电现象。有待改进。其他还好', '短评打分': 5}
{'短评内容': '酒店在北京性价比不错，比较干净卫生，酒店附近在修路，出行不太方便', '短评打分': 5}
{'短评内容': '已入住。很好。非常满意', '短评打分': 3}
{'短评内容': '其实就是军区招待所，房间很一般般，满足居住需要而已，不过价钱在这个地段真是便宜。尤其是早餐，自助餐10元钱一位，还很丰盛，很难想象这样的实惠。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '一楼房间有点潮湿，早餐也一般，但离东直门地铁枢纽还算近，步行约30分钟。', '短评打分': 1}
{'短评内容': '服务不错，门童都会主动帮着拎行李的，蛮周到热情的', '短评打分': 5}
{'短评内容': '房间隔音效果还好，布置和装修的也行，性价比较高', '短评打分': 5}
{'短评内容': '酒店位置不错，交通还可以很方便，住宿环境也算不错的', '短评打分': 5}
{'短评内容': '如果不是在附近办事，我不会选择在这里，不方便。', '短评打分': 1}
{'短评内容': '一家招待所的样子', '短评打分': 1}
{'短评内容': '交通不是很方便，价格偏高', '短评打分': 5}
{'短评内容': '住了一夜马桶，不能冲水！凑合着憋着，拖鞋看样子用了很多年了~~看看还要怎么改进？', '短评打分': 1}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '除了位置较好之外其他的都很一般。', '短评打分': 3}
{'短评内容': '酒店的整体还可以的，酒店的服务卫生以及设施都很好的，位置还可以的，但是交通很不方便的。酒店的价格还可以的', '短评打分': 5}
{'短评内容': '酒店的位置不错，交通很方便，而且酒店也很干净，服务也不错', '短评打分': 5}
{'短评内容': '地理位置很好 无论是去市中心还是机场都很便利 客房干净配套设施齐全 三餐质量不错 美中不足标间面积偏小 床也有点小 总得来说还是不错的选择', '短评打分': 5}
