{'短评内容': '环境好，位置好，交通方便，房间大', '短评打分': 5}
{'短评内容': 'very good！', '短评打分': 5}
{'短评内容': '朋友们还满意！', '短评打分': 5}
{'短评内容': '环境很悠静，感觉很好！', '短评打分': 5}
{'短评内容': '地点安静，靠近二宫公园。周边地铁站地铁九号线。从天津站前广场打车16块，到机场45块左右。不足：周边饭店较贵。', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '挺好，今天还住哪。', '短评打分': 5}
{'短评内容': '一如既往地好。车位充足，环境清幽。一整天都很安静。房间大，设施齐全。卫生打扫的很及时，入住和退房都很快捷。', '短评打分': 5}
{'短评内容': '性价比高，安静。', '短评打分': 5}
{'短评内容': '还可以。挺干净。性价比高', '短评打分': 4}
{'短评内容': '早餐略简单，拖鞋质量与星级不符，浴巾毛巾时间略久，建议更换一批！总体感觉性价比很不错，值得推荐。吹毛求疵只是期许吧……', '短评打分': 5}
{'短评内容': '在携程订的房间，房间很宽敞舒适，交通还算方便，周边环境不错，有机会订房间还会考虑。希望能给大家帮助。', '短评打分': 4}
{'短评内容': '整体感觉还可以，给个好评', '短评打分': 5}
{'短评内容': '房间够大，效率太低，适合怀旧。', '短评打分': 3}
{'短评内容': '比较老的酒店 交通不便', '短评打分': 3}
{'短评内容': '比较老的酒店 交通不便', '短评打分': 3}
{'短评内容': '设施比较老的酒店 交通不便', '短评打分': 3}
{'短评内容': '附近交通便利，商业发达，但酒店很安静。', '短评打分': 5}
{'短评内容': '第一次住，感觉还可以', '短评打分': 4}
