{'短评内容': '环境很好，美滋滋', '短评打分': 5}
{'短评内容': '只有环境没有', '短评打分': 4}
{'短评内容': '有早餐，我定的单子没有早餐，店家也提醒我早餐时间了，跟人性的。我离店时，早餐阿姨还问不吃早餐吗？心里暖暖的。再说说这个店，无意中发现的，这次正好来，直接定了这里，太满意了，这种简单又不失小资的风格深入我心，一次来还会住这里', '短评打分': 5}
{'短评内容': '朋友推荐来的， 果然特别的好，老板很好的接待我们，提供各种旅游信息，而且都是免费的，非常划算，性价比高', '短评打分': 5}
{'短评内容': '一家很温馨的民宿，入住的时候正逢夜雨，前台美女撑伞在路口迎接，还免费给房间升级。酒店很舒适，早餐是套餐，周边也有不错的餐厅。', '短评打分': 5}
{'短评内容': '不错的民宿，离西湖风景区也满近滴！一次不错的体验。', '短评打分': 5}
{'短评内容': '软硬环境#，看遍了周边所有民宿，最终选定了3家，这家最高大上，应该也是附近一带规模最大最土豪，简约日式风格，布局合理，免费升级了观景房，赠送的西湖龙井茶叶不错，床铺非常舒适，没有听到隔壁房间声音。有儿童区域给小孩玩，房间地板非常干净，我儿子不穿鞋验证的。有靠山的房间，环境更私密更好，暖气舒适毫无干燥感，没有对比就没有伤害，我是南方人，对湿度要求很高，跟其他民宿比好太多了。服务#，咨询前台哪里买瓶装', '短评打分': 5}
{'短评内容': '同事推荐的酒店，果然没让我失望。环境很不错，房间和网上一样，我们定的是明石，卫生间很大而且带浴缸，是明石的特色。晚上泡个澡很舒服，有泡澡一次性袋子，很方便很卫生。有两张大床，最多可以四人入住。床很软，阳台有两张沙滩椅，坐着看看夕阳，泡杯茶，还是很有感觉的早餐很不错，中西结合，烤面包同时涂上黄油和蓝莓酱，简直完美到爆，哈哈～', '短评打分': 5}
{'短评内容': '有设计感的日系民宿，有服务生搬行李，预留了停车位，有欢迎水果。蛮有style的。步行可以去我定的桂语山房吃晚饭。就是房间的隔音很差，隔壁房间客人说话都能听见。楼道里走路声音半夜都很响，感觉很吵。早餐一碗白粥，一个鸡蛋，一杯奶粉味很重的牛奶，三个小馒头，一根肉肠，一小碟小菜和生菜色拉。没其他选择，虽然能填饱肚子，没惊喜。', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '隔音效果很差，服务员和餐饮服务有待提高', '短评打分': 4}
{'短评内容': '设施是不太时髦了也需要修缮了，没吃到传说中的pizza也有点遗憾！不过还是很干净，服务也很好，两位老板人不错！期待“野有蔓草”新装登场哦_', '短评打分': 5}
{'短评内容': '床上发现蜘蛛 地板上有小虫子 很让人崩溃 空调以及排气扇的噪音很大 空调开到最大 房间还是有点冷 感觉不值', '短评打分': 3}
{'短评内容': '环境很好，距离景点也不远。老板老板娘也很好。下次住店还去这家。', '短评打分': 5}
{'短评内容': '很不错，环境卫生交通都不错', '短评打分': 5}
{'短评内容': '被褥很大，两个人共用也不怕抢被子。房间大，比较干净。将洗手槽、马桶、淋浴各自分开倒是比较新颖。不过不是想象中的纯法式装修。    特别值得一提的是，服务非常好：从房间的朝向的选择，到每天闲坐在院子里的时候，总会给泡一杯茶，帮忙搬行李等等。这一点让人感觉很温馨。    总体还是值得推荐的。', '短评打分': 4}
