{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '古城内闹中取静的一瞥，在人来人往的喧哗中，体会丽江慵懒的阳光。庭院，狗，摇椅，已经成为标配。价格随淡旺季调整，适合追求性价比的各类人群。惊喜中，东北老板会邀你喝上杯茶，或小酌下。爽朗的声音会立即在小院内洋洋洒洒起来。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '大叔很健谈，智商很高', '短评打分': 5}
{'短评内容': '环境很好，房东人很好。', '短评打分': 5}
{'短评内容': '非常感谢老板 由于订房间时软件原因没定合适 但是老板还是给我们安排了房间 十分感谢 推荐给大家哦 希望小伙伴们来入住哦 ', '短评打分': 5}
{'短评内容': '酒店环境很园艺，好看！老板人好，房间住的都是爆满的，离主街，城口，四方街等比较近！', '短评打分': 5}
{'短评内容': '很舒适。很安静。客栈老板人很好。会告诉在丽江的注意事项。给满分', '短评打分': 5}
{'短评内容': '挺好，在古镇里面，我们早起赶车老板也早起帮忙退房，就是隔音不太好', '短评打分': 5}
{'短评内容': '不错，老板人也很好！', '短评打分': 5}
{'短评内容': '虽然只住了一天。老板娘很热情的把我的房间免费升级了！  环境十分安静，去四方街也很近！  楼上很漂亮。', '短评打分': 5}
{'短评内容': '客栈环境优美，地理位置优越，出行比较方便，这里离大石桥和四方街都很近，吃饭买东西都很近，老板非常热情，服务态度特别好，好评！强烈推荐大家入住！', '短评打分': 5}
{'短评内容': '房间干净！老板很热情！', '短评打分': 3}
{'短评内容': '可以！就是一楼有点闹！干净，老板很热情', '短评打分': 3}
{'短评内容': '听房间的名字就觉得好诗意又好浪漫，粉色的水晶帘非常漂亮，整个房间清新中透着可爱，喜欢的不得了！老板更是热情好客，帮助我们很多！住的和舒心！', '短评打分': 5}
{'短评内容': '非常好，老板人也好也很热情，房间干净舒服，而且离四方街也特别近，下次来还会选择这！', '短评打分': 3}
