{'短评内容': '房间很小而且感觉有点脏', '短评打分': 3}
{'短评内容': '很❌，一进房间味道极差，烟味太浓，和如家，七天连锁酒店这些比较，简直没法比，出门在外还是选择连锁的酒店，估计这家是私人的，开空调抽了一夜的味道。', '短评打分': 1}
{'短评内容': '太差了', '短评打分': 2}
{'短评内容': '床单太旧了，有个破洞，而且不太干净，马桶盖上都有毛，但不是头发……', '短评打分': 4}
{'短评内容': '设施较简单，但服务很好，卫生也行……', '短评打分': 5}
{'短评内容': '酒店卫生一般，周围环境一般', '短评打分': 2}
{'短评内容': '还可以，交通方便', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店太旧了，不卫生', '短评打分': 1}
{'短评内容': '交通较为便利，设施一般，服务还可以，就是房间略小。', '短评打分': 3}
{'短评内容': '还行还行还行还行还行还行', '短评打分': 3}
{'短评内容': '十月国庆节带全家出游，住这个酒店还说得过去，位置非常好，店老板很热情。下次还会考虑的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
