{'短评内容': '应该应该不错，不错不错应该应该不错，不错不错', '短评打分': 5}
{'短评内容': '不好', '短评打分': 5}
{'短评内容': '附近吃喝很方便', '短评打分': 5}
{'短评内容': '房间有点冷', '短评打分': 5}
{'短评内容': '酒店设施有点旧了不过还是很干净的，最重要的是周边挺繁华的，不担心偏僻，出游也很方便', '短评打分': 4}
{'短评内容': '挺好跟回家一样。可以做饭，洗衣服，还有冰箱', '短评打分': 5}
{'短评内容': '房价不是网上照片那样的，差距较大，不过床单被罩还挺干净。隔音效果也还行。网络信息也不错。如果把卫生间的玻璃门擦的干净些就更好了。第一次入住，把洗头膏和洗面奶忘记在房间里，后来还不错，打电话联系又还给我了，所以决定第二次入住。', '短评打分': 4}
{'短评内容': '不咋滴。就那样', '短评打分': 1}
{'短评内容': '一般吧！系统不稳定', '短评打分': 5}
{'短评内容': '普通房，够大', '短评打分': 4}
{'短评内容': '不太好找', '短评打分': 5}
{'短评内容': '非常好，有需要还会继续入住', '短评打分': 5}
{'短评内容': '住了好多次，环境设施都挺好，以后还会继续选择入住的。', '短评打分': 5}
{'短评内容': '交通方便，环境良好', '短评打分': 5}
{'短评内容': '交通很便利', '短评打分': 5}
{'短评内容': '房间很干净，设施齐全，推荐入住', '短评打分': 5}
{'短评内容': '不错，就是门脸小不好找', '短评打分': 5}
{'短评内容': '按性价比来说还不错，哈哈哈', '短评打分': 4}
{'短评内容': '不错，房间挺好的', '短评打分': 3}
{'短评内容': '地点离地铁站不远。房间在小区里，周围很热闹，就是家具太破了', '短评打分': 3}
{'短评内容': '经常住这，环境好，安静', '短评打分': 5}
