{'短评内容': '设施有点旧', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '位置可以，直接定的精致标间说没有广告牌，来了后有点变样。', '短评打分': 3}
{'短评内容': '地理位置很棒、交通便利。', '短评打分': 4}
{'短评内容': '挺好的，还穿哦', '短评打分': 5}
{'短评内容': '不错，价格实惠，环境优美！', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '朋友住的还行', '短评打分': 5}
{'短评内容': '还可以吧！就是停车地方小。', '短评打分': 5}
{'短评内容': '环境差的一逼', '短评打分': 1}
{'短评内容': '酒店有点老了 设施有点跟不上 原本以为有窗户 确实是有 但跟没有没什么区别 外面架了广告牌 没有一点阳光', '短评打分': 4}
{'短评内容': '还行吧。', '短评打分': 5}
{'短评内容': '服务太差，床单不干净，门也关不上，马桶盖都是坏的，入住最差的一次', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '价格合理 还可以', '短评打分': 5}
{'短评内容': '环境不错，闹中取静，服务态度好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '酒店大堂服务太慢，足足在大堂等了20分钟。', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '酒店环境卫生太差，住了一晚不知道什么虫子把孩子脸上咬了三个包，脸直接肿了好几天', '短评打分': 2}
{'短评内容': '房间里有蟑螂，不过前台很热情，还给我换了个房间，希望能有点改进，总体还是不错的', '短评打分': 5}
{'短评内容': '交通很方便，服务很好，设施还行，总体来说挺好，价格很便宜', '短评打分': 5}
{'短评内容': '交通方便！价格合适！服务态度也比较好！下次还会考虑！', '短评打分': 5}
{'短评内容': '位置方便，装修后房间很好，但是房间隔音效果太差，连楼下唱歌的声音都可以听见', '短评打分': 5}
{'短评内容': '酒店建在坡道上，到下面路面有十米落差。酒店内设施一般，房间内毛巾也是用过很长时间的。', '短评打分': 1}
{'短评内容': '房间吵闹', '短评打分': 3}
{'短评内容': '条件差很乱。', '短评打分': 3}
{'短评内容': ',环境还可以就是临街有点吵', '短评打分': 3}
{'短评内容': '位置还可以，环境和服务也还行。 \n卫生间有积水', '短评打分': 5}
{'短评内容': '不适合商务出差，打车还需下坡比较远的路程', '短评打分': 1}
{'短评内容': '地理位置不错，客房设施还可以，洗手间下水有待改进', '短评打分': 5}
{'短评内容': '酒店离路边太近，设施过旧，酒店二楼娱乐城半夜唱歌吵得人睡不着觉', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '.共住两晚,对酒店服务及设施均感满意.', '短评打分': 3}
{'短评内容': '比较旧，外面比较吵，装修比较差，硬件条件都比较差。', '短评打分': 1}
{'短评内容': '房间比较一般，没有热水，卫生间比较小，里面的物品质量比较差，毛巾都有破洞。', '短评打分': 1}
{'短评内容': '比较陈旧，另外临近闹市区。环境一般，价位稍高。', '短评打分': 1}
{'短评内容': '服务还行，就是房间里味道实在是让人受不了....', '短评打分': 1}
{'短评内容': '空调没有', '短评打分': 5}
{'短评内容': '房间里一股怪味道，住了一天赶紧走人\r\n阎良比这里贵不了多少，条件好的太多了', '短评打分': 1}
{'短评内容': '地理位置还不错，但太陈旧了，房间内的用品配备不全，且很差。但配送的早餐还行。', '短评打分': 1}
{'短评内容': '十堰车城明珠大酒店条件较差。', '短评打分': 5}
{'短评内容': '位置很好啊，交通便捷，总之各方面都很不错的啊', '短评打分': 5}
{'短评内容': '除了位置还可以，没别的可以推荐的，服务还过得去，但是硬件条件太差……', '短评打分': 1}
{'短评内容': '没住过这么差的酒店  室内设施陈旧不堪 脏乱差 让人恶心到了极点', '短评打分': 1}
{'短评内容': '太老了，位置还好，设施太旧，装修都脱落了', '短评打分': 3}
{'短评内容': '太老旧了，楼上装修吵死人了，第二天连热水都没有了，无语！！！', '短评打分': 1}
{'短评内容': '太老旧了~~~硬件太差，该重新装修了，位置还可以，', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的地理位置很不错，价格很合理，就是停车位太少（但是保安一定会帮你找一方便你第二天出行的车位的），设施也有些老旧了。', '短评打分': 1}
{'短评内容': '酒店唯一优势是地理位置好，其他的设备，卫生等等都一般，不知道是不是因为我这个是所谓的特价房，最开始给我的房间没有网线，然后换了个房间，折腾了一轮。之后准备睡觉了，却听到楼下（酒店自带的KTV）在吼歌。。。折腾半晚没睡好，严重影响了第2天的精神。设备比较老化，需要改进。', '短评打分': 1}
{'短评内容': '酒店卫生状况不好，卫生间有异味', '短评打分': 1}
{'短评内容': '很老的三星级酒店，整体一般！', '短评打分': 5}
{'短评内容': '服务还可以。', '短评打分': 5}
{'短评内容': '房间很大，很舒适，价格也便宜，很好的，', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错，离办事地点很近，性价比很高', '短评打分': 3}
{'短评内容': '装修设施太老了~东西倒挺齐全的', '短评打分': 1}
{'短评内容': '设施有点旧,价格还可以.卫生间排水不好,洗澡后地上积水很多.希望改进.', '短评打分': 5}
{'短评内容': '酒店服务和设施都不错，可以说是物有所值。但是，停车位太少，虽然酒店保安服务很好也很周到，但中没有一次停到位方便。感觉最不满意的是酒店的饭菜价格太贵，而且酒店中的菜单和客房中的不一致，叫人心里觉得怪怪的。总之，如果不在酒店用餐的话这里还是很值得推荐的。', '短评打分': 5}
{'短评内容': '服务态度非常好,位置在市中心因为是小城市又在闹市区所以不是太好找但是出行是很方便的,价格也是比较优惠的,挺不错的酒店', '短评打分': 3}
{'短评内容': '很好，每次我到十堰出差，肯定就是住这家酒店，非常不错', '短评打分': 5}
{'短评内容': '第一次来十堰，酒店的服务给我留下了很好的印象，希望在房间卫生方面在提高。', '短评打分': 5}
{'短评内容': '位置不错，没有电脑卫生间太小了，早餐服务还行', '短评打分': 5}
{'短评内容': '还好啦', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '位于商业中心人民北路，交通便利,酒店餐饮服务不错', '短评打分': 5}
{'短评内容': '位置还行，但是走道房间都有很重的味道，尤其是被子上，非常难受。设备也有些陈旧了。', '短评打分': 1}
{'短评内容': '位置好，价格适中，服务好。', '短评打分': 5}
{'短评内容': '早餐好，希望增加写字台。', '短评打分': 5}
{'短评内容': '当时住的房间的门有些问题,房卡不灵敏,洗手间里的下水道不是很通畅,房间是在一层所以采光不太好,不过卫生条件还可以,服务也不错,但感觉价格有点偏高.', '短评打分': 1}
{'短评内容': '位置 卫生 性价比好。房间偏小，大堂不对街道。', '短评打分': 5}
{'短评内容': '酒店的环境卫生都很好，就是预定的有点急房间有一间窗子关不上。其他的都很好，很干净，位置出行也非常方便，价格优惠。值得推荐的酒店类型。', '短评打分': 5}
{'短评内容': '位置不错`环境设施及服务一般。', '短评打分': 1}
