{'短评内容': '酒店离武汉火车站挺近的，几个站的距离。房间也挺整洁，不过隔音效果稍差一点点，总的来说性价比还是挺高的，推荐！', '短评打分': 4}
{'短评内容': '前往住宿酒店的时候比较多，这家呢，位置还算不错，离着武汉站三站，级别比较实惠，房间面积不算太小，比较不好的地方在于没有提供一次性拖鞋，房间里面有点味道。', '短评打分': 4}
{'短评内容': '   房间真的很不好 床上一点都不干净 ', '短评打分': 1}
{'短评内容': '店脏差还上霉了', '短评打分': 3}
{'短评内容': '房间还不错', '短评打分': 4}
{'短评内容': '位置比较好找，就是没有早餐。附近吃饭的少', '短评打分': 4}
{'短评内容': '地点交通方便，卫生和服务都不错。', '短评打分': 4}
{'短评内容': '地理位置好找，值得入住。', '短评打分': 5}
{'短评内容': '房间干净，卫生，前台服务好。', '短评打分': 5}
{'短评内容': '房间大，卫生干净，前台服务好，房间安静。', '短评打分': 3}
{'短评内容': '朋友推荐的，不错的酒店，前台服务好，房间干净整洁。', '短评打分': 5}
{'短评内容': '前几天刚住的，感觉不错，房间够大，安静，卫生条件好。', '短评打分': 5}
