{'短评内容': '这个价位哦可以吧', '短评打分': 4}
{'短评内容': '呼市订一个合适的好难啊，有点离目的地远，但是条件还不错，位置便捷，也挺干净。', '短评打分': 5}
{'短评内容': '条件一般。', '短评打分': 2}
{'短评内容': '位置还不错 帮别人定的 ', '短评打分': 4}
{'短评内容': '酒店的位置还是不错的，离机场很近。不过装修还是有待改善。服务个卫生还不错。总体满意吧，就是价格有的稍贵', '短评打分': 4}
{'短评内容': '条件不错物有所值，下次还会住。', '短评打分': 3}
{'短评内容': '房间暖气很给力，就是离我办事的单位比较远，晚上骚扰电话是有的，不过让他别打了，但还比较自觉，就没有再大，早餐很差劲。', '短评打分': 5}
{'短评内容': '住的房间不错，服务也不错，暖气供应的很别扭，大概是盖上被子热，不盖被子冷。。囧。', '短评打分': 5}
{'短评内容': '挺好的！整体感觉还不错，经济实惠，交通也比较方便！~', '短评打分': 5}
{'短评内容': '干净卫生。', '短评打分': 3}
{'短评内容': '服   务    热     情      haihao', '短评打分': 5}
{'短评内容': '一个字，好！下次还会入住！而且还会推荐朋友入住！', '短评打分': 5}
{'短评内容': '帮同事订的，回来后问了他的意见，觉得还挺不错的。干净安全，服务不错，位置也比较好，下次去呼和浩特的话还会再订这个酒店。', '短评打分': 5}
{'短评内容': '酒店都很好，很干净，很整洁，早餐有点寒碜！呵呵', '短评打分': 5}
{'短评内容': '酒店不错.好评', '短评打分': 5}
