{'短评内容': '干净，整洁，服务好实惠。', '短评打分': 4}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '干净卫生、经济实惠、服务周到、环境优雅。', '短评打分': 5}
{'短评内容': '不错经常住', '短评打分': 5}
{'短评内容': '在当地的快捷酒店中，此店应该是比较好的了，交通还算方便，但停车不太方便。', '短评打分': 4}
{'短评内容': '住的很舒适，睡觉很舒服', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': 'Wifi总联不上，不爽。', '短评打分': 4}
{'短评内容': '很好，服务好，购物，吃饭都很方便，', '短评打分': 5}
{'短评内容': '酒店房间还算满意，电视机是我见过较古老的，直接放弃。', '短评打分': 5}
{'短评内容': '可以！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错、唯一缺点就是锦江之星的毛巾什么的‘看起来都好陈旧、、设施很旧了、服务还不错、、、出行很方便', '短评打分': 5}
{'短评内容': '干净，较舒适。', '短评打分': 3}
{'短评内容': '帮同事订的，说还可以。就是要提前交订金不太好。麻烦呀。', '短评打分': 5}
{'短评内容': '性价比高，就是离地铁稍远了一点！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '本来以为车展期间，没有好的酒店可以住了，可是订到这家酒店后觉得物有所值！', '短评打分': 5}
{'短评内容': '性价比高，但就是离地铁稍远了一点 ！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还行吧,要二楼的房间，结果只给了一楼的，早餐要18元每位，将近七点才开餐，赶时间没吃，不知道怎样。', '短评打分': 5}
{'短评内容': '很干净，不错。', '短评打分': 3}
{'短评内容': '交通方便，房间大小看运气，吃饭什么的还可以', '短评打分': 5}
{'短评内容': '不错的选择，干净，说点问题就是房间的窗户缝太大，漏风，睡在床上，感到有凉风。', '短评打分': 5}
{'短评内容': ' 锦江之星还是一如既往的好，宾馆干净，服务态度好，早餐也不错。', '短评打分': 5}
{'短评内容': '服务很好，温暖卫生!', '短评打分': 3}
{'短评内容': '空调没暖风', '短评打分': 3}
{'短评内容': '干净便宜，周围吃饭地方多，交通方便，临街的房间有点吵。', '短评打分': 5}
{'短评内容': '位置比较方便，也有餐厅，就是房间太小了一点！！！', '短评打分': 5}
{'短评内容': '还可以吧！卫生、服务都中规中矩，锦江之星的风范。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '还可以\n于秀清', '短评打分': 3}
