{'短评内容': '老板很有意思～', '短评打分': 5}
{'短评内容': '老板很不错，客栈在小河边，比较安静，喝茶聊天很不错', '短评打分': 5}
{'短评内容': '临时改行程，只住了一晚，跟房东商量退一天款没得，古城里面客栈大把选择，看房的要注意看好了再下单，过来人不建议朋友们选择这个。', '短评打分': 4}
{'短评内容': '客栈国庆没涨价，老板人很好，很热情，请喝茶摆龙门阵，接人，提行李，四川人，客栈环境很好，靠河边，晚上也很安静，离四方街也很近，非常方便，客栈装修得古色古香，加个也是再这一带算便宜的，性价比很高的，值得来入住！', '短评打分': 5}
{'短评内容': '酒店位置很好，在古城里，靠近小溪流。房间也不错，老板人很好。来丽江一定要住在古城里，热闹。酒店闹中取静', '短评打分': 5}
{'短评内容': '房间特别小、没有暖气、没有空调、阳光也照不进去、晚上特别冷、住了5天都不免费送机就算了本来说好80结果下车的时候跟我们要100、真的很无语。。。', '短评打分': 3}
{'短评内容': '老板很热情，没找到客栈，下雨天还特意出来接我们，还介绍了当地好玩的地方', '短评打分': 5}
{'短评内容': '服务一般般', '短评打分': 3}
{'短评内容': '真诚体贴的服务，温暖如家的氛围，值得推荐！', '短评打分': 5}
{'短评内容': '位置相当好，在古城景区里，丽江古城确实很容易迷路，幸好自己方向感很好，加上这家客栈的位置很好找，自己就找到了，房间很漂亮，设备很全，舒服', '短评打分': 5}
{'短评内容': '客栈老板爱喝茶，爱拖着你一起喝茶。还会和你吹吹丽江，有助于你迅速了解这里', '短评打分': 5}
{'短评内容': '价格优惠，在古城里性价比好高啊！！极度推荐', '短评打分': 5}
{'短评内容': '客栈老板姐姐人不错', '短评打分': 5}
{'短评内容': '我们住的蜜月房，房间很温馨，掌柜的是个小宅男，说话很客气，人不错。总体感觉值得', '短评打分': 5}
{'短评内容': '院子很有家的感觉.很温馨。客栈的人员也都挺好的。两条小狗特别可爱。位置就在小河边上。有种小桥流水的感觉。房间卫生条件也OK.下次来还住这里。推荐的东西都特别不错。', '短评打分': 5}
