{'descr': '居住环境舒适，设施齐全完善，服务态度优秀!', 'star': 5}
{'descr': '环境优雅，舒适温馨，交通便利，京东服务周到!', 'star': 5}
{'descr': '还行吧', 'star': 3}
{'descr': '有停车场', 'star': 5}
{'descr': '整体方便宽敞，房间筒陋些。', 'star': 4}
{'descr': '房间wifi差，浴室无窗帘', 'star': 1}
{'descr': '入房一股浓重烟味，开窗通风，空调散味均无效。直至次日退房都不散。其它还可接受。，服务很好。', 'star': 3}
{'descr': '有史以来最烂的酒店，后悔死了', 'star': 1}
{'descr': '就是个棋牌室', 'star': 2}
{'descr': '还不错，只是赶上了装修.', 'star': 5}
{'descr': '隔音太不好啦，下水道的声音不断，现在是12:25我居然还没睡着，楼上刚住进来一对声音大的以为进我屋啦，我不知道为什么安排房间的给我安排这个房间客人是需要休息的，出门在外住店这么多次，这次让我对速8彻底失望！还有这旁边是电梯！139元的房间.很差的一次体验', 'star': 1}
{'descr': '太差了，环境不好，服务也差，最差的一次住宿', 'star': 1}
{'descr': '红红火火恍恍惚惚和红红火火', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '性价比很高。', 'star': 5}
{'descr': '热水要放好长时间才可以', 'star': 4}
{'descr': '不错', 'star': 2}
{'descr': '好大，', 'star': 5}
{'descr': '离办事的地方很近，干净，便宜', 'star': 5}
{'descr': '整体不错，卫生条件还好，房间蛮大，三楼餐厅饭也不错。\n只是不知道为什么睡了两晚都有蚊子', 'star': 5}
{'descr': '条件还不错，就是房间卫生有点瑕疵', 'star': 3}
{'descr': '住在不靠马路的屋，还比较安静。设施旧，还算干净，浴巾毛巾都比较旧，该换了。', 'star': 3}
{'descr': '在西塘，这家旅店算比较好的，位置佳，服务不错，遗憾的是洗澡时水温不是太烫就会很凉，大人可以凑合一下，小孩没办法洗哦！希望改进。', 'star': 5}
{'descr': '在西塘，这家旅店算比较好的，位置佳，服务不错，遗憾的是洗澡时水温不是太烫就会很凉，大人可以凑合一下，小孩没办法洗哦！希望改进。', 'star': 5}
{'descr': ' 环境不错 住着舒服', 'star': 3}
{'descr': ' 环境不错 住着舒服', 'star': 3}
{'descr': '曲径通幽，别有洞天。果然是秘密花园。还有个意外发现，开车从后院进来，竟然就不用买门票了，我买船票时说有门票能打折，我还在琢磨什么时候买门票', 'star': 5}
{'descr': '曲径通幽，别有洞天。果然是秘密花园。还有个意外发现，开车从后院进来，竟然就不用买门票了，我买船票时说有门票能打折，我还在琢磨什么时候买门票', 'star': 5}
{'descr': '酒店总体来说还是挺不错的，卫生好，地方幽静，老板态度也很热情，感觉比较好。我自驾游去的，一开始我没找到酒店的位置，就把车停在了景区的停车场，花了20块钱。后来打电话给店里，老板很仔细地指引我开到了他们家的停车场，还在房费里扣下了20块钱作为补偿，说是因为他们提供的信息不详细而导致了我多花了20块钱停车费，刚到那儿就感觉到一份温暖。后来走的时候走的太急，忘了退房费的100块钱押金，前台的服务人员也忘', 'star': 5}
{'descr': '酒店总体来说还是挺不错的，卫生好，地方幽静，老板态度也很热情，感觉比较好。我自驾游去的，一开始我没找到酒店的位置，就把车停在了景区的停车场，花了20块钱。后来打电话给店里，老板很仔细地指引我开到了他们家的停车场，还在房费里扣下了20块钱作为补偿，说是因为他们提供的信息不详细而导致了我多花了20块钱停车费，刚到那儿就感觉到一份温暖。后来走的时候走的太急，忘了退房费的100块钱押金，前台的服务人员也忘', 'star': 5}
{'descr': '酒店真的很秘密，环境也很幽静，不会被古镇的游人所打扰，房间也较整洁，比较适合情侣居住，整体感觉很不错，推荐大家去玩时可以挑这家', 'star': 3}
{'descr': '酒店真的很秘密，环境也很幽静，不会被古镇的游人所打扰，房间也较整洁，比较适合情侣居住，整体感觉很不错，推荐大家去玩时可以挑这家', 'star': 3}
{'descr': '仅仅睡个觉。。。。真的很一般，但也只能住这里了', 'star': 1}
{'descr': '问题已经解决，客服人员沟通态度也很好，下次还会去入住。', 'star': 5}
{'descr': '问题已经解决，客服人员沟通态度也很好，下次还会去入住。', 'star': 5}
{'descr': '很不错的酒店，环境也很优雅，就是有点难找，不过这是西塘的特色啦！晚上风景很好的说！', 'star': 5}
{'descr': '很不错的酒店，环境也很优雅，就是有点难找，不过这是西塘的特色啦！晚上风景很好的说！', 'star': 5}
{'descr': '西塘最好的旅店!\n\n入住了好几次了，是西塘最好的旅店。这次又看到秘密花园被Elong和新浪都作为西塘住宿首选推荐，看来群众的品味都不错。非常满意，很开心。这次Elong预订，有点小插曲。提前了2周预定要3间，都已经没有房间了。好在Elong协调了一下，等了1天终于预定成功了2间房间，另外一间只能去了别处（后悔）。旅店有西塘景区内唯一的停车场，估摸着可以停个7到8辆车。现在进西塘都要买票了，我我们高', 'star': 5}
{'descr': '西塘最好的旅店!\n\n入住了好几次了，是西塘最好的旅店。这次又看到秘密花园被Elong和新浪都作为西塘住宿首选推荐，看来群众的品味都不错。非常满意，很开心。这次Elong预订，有点小插曲。提前了2周预定要3间，都已经没有房间了。好在Elong协调了一下，等了1天终于预定成功了2间房间，另外一间只能去了别处（后悔）。旅店有西塘景区内唯一的停车场，估摸着可以停个7到8辆车。现在进西塘都要买票了，我我们高', 'star': 5}
{'descr': '前台MM很热情，订的是奥斯卡之夜性价比不高，房间打扫的不是很干净，毛巾有味道，沙发很不舒服。', 'star': 1}
{'descr': '前台MM很热情，订的是奥斯卡之夜性价比不高，房间打扫的不是很干净，毛巾有味道，沙发很不舒服。', 'star': 1}
{'descr': '经过一条小巷子才找到这家店，因为离河边有一点距离，所以酒店很安静。酒店里边有个小花园，加上里边的小客厅都布置得很舒服。房间比较干净舒服，印象中楼层间不是木板，所以没有其他客栈住一楼比较嘈的问题。值得推荐，下次去西塘还是首选住宿。', 'star': 5}
{'descr': '经过一条小巷子才找到这家店，因为离河边有一点距离，所以酒店很安静。酒店里边有个小花园，加上里边的小客厅都布置得很舒服。房间比较干净舒服，印象中楼层间不是木板，所以没有其他客栈住一楼比较嘈的问题。值得推荐，下次去西塘还是首选住宿。', 'star': 5}
{'descr': '这家酒店还是很好的，酒店的整体装修比较稳重，高雅。卫生条件不错，只是毛巾浴巾如果再能更换成新的就更好了，交通便利，早餐很好，周边小吃多，很方便。', 'star': 5}
{'descr': '奥斯卡之夜很美好。非常喜欢。再去西塘的时候还会选择秘密花园的。：）', 'star': 5}
{'descr': '奥斯卡之夜很美好。非常喜欢。再去西塘的时候还会选择秘密花园的。：）', 'star': 5}
{'descr': '在祥云瑞气住了两晚，非常舒服，非常好。。。', 'star': 5}
{'descr': '在祥云瑞气住了两晚，非常舒服，非常好。。。', 'star': 5}
{'descr': '雕花大床房还不错，就是小了点，外面的楼梯比较陡。：）', 'star': 5}
{'descr': '雕花大床房还不错，就是小了点，外面的楼梯比较陡。：）', 'star': 5}
{'descr': '超喜欢！！！下次还住！！无线网很好很好，美女店主也很好哇~房间舒服死了，不过热水有点小，不过不影响整体啊~~', 'star': 5}
{'descr': '超喜欢！！！下次还住！！无线网很好很好，美女店主也很好哇~房间舒服死了，不过热水有点小，不过不影响整体啊~~', 'star': 5}
