{'descr': '此用户未填写评价内容', 'star': 5}
{'descr': '此用户未填写评价内容', 'star': 5}
{'descr': '帮同事预定的，房间很大很阔气，干净卫生，地址位置也很不错。在这里花这些钱能住到这样的房子，性价比感觉已经很高了', 'star': 5}
{'descr': '帮同事预定的，房间很大很阔气，干净卫生，地址位置也很不错。在这里花这些钱能住到这样的房子，性价比感觉已经很高了。以后就选这家了！ ', 'star': 5}
{'descr': '很高', 'star': 3}
{'descr': '不错，每次都会住这里', 'star': 5}
{'descr': '房间很好，整洁干净，有停车场', 'star': 5}
{'descr': '。。。。。。。。', 'star': 5}
{'descr': '马马虎虎', 'star': 3}
{'descr': 'very clean . very good personal and service . I suggest visit that hotel . ', 'star': 5}
{'descr': '周边设施一般', 'star': 4}
{'descr': '应该还可以的，符合快捷酒店的标准！', 'star': 5}
{'descr': '代人预订，不错', 'star': 5}
{'descr': '市中心经济型酒店，门面有 点小，服务态度不错，早餐一般，卫生挺干净，下次还入住。', 'star': 4}
{'descr': '挺好的', 'star': 5}
{'descr': '极差，店内活动还不含早，和携程捆绑的房间都是差房间，店面活动好的房间价格也是一样的。这样还有什么理由选择携程。', 'star': 1}
{'descr': '房间还蛮干净的 就是太小了！我定的是高级大床房 除了床大点之外 房间好小的 包括卫生间 跟电视机', 'star': 5}
{'descr': '停车位太少，不好停车', 'star': 4}
{'descr': '性价比好', 'star': 3}
{'descr': '不错。第二次住了.便宜方便', 'star': 3}
{'descr': '便宜，也安静。处于市中心。在丹阳还是不错的', 'star': 5}
{'descr': '周围环境不错,在市中心,交通方便,不足是隔音差了些.', 'star': 5}
{'descr': '很干净，交通便利，性价比高，下次到丹阳还会选择入住，推荐', 'star': 5}
{'descr': '还行了，价格便宜，地址位置优越。\n附近走几步就是市中心', 'star': 5}
{'descr': '隔音效果太差了，隔壁房间手机震动都听得见，一个晚上走廊里都有人在吵，凌晨两点还没睡着', 'star': 1}
{'descr': '较便宜，可惜没早餐', 'star': 3}
{'descr': '酒店不错，服务非常好，房间也住的很舒，价格挺实惠的，下次来还会入住的；另外早餐的味道还不错，房间的网速也还行，整体就是不错了。', 'star': 5}
{'descr': '很不错 在丹阳能有这样的服务 很不容易了', 'star': 5}
{'descr': '还不错，真的还不错，交通很方便，旁边有个小吃也很不粗！', 'star': 5}
{'descr': '定的4间高级特大床房，隔音有点差，其他还可以，比较干净，热水很好', 'star': 5}
{'descr': '很不错，服务态度也很好。酒店很干净，位置也可以。', 'star': 5}
{'descr': '  地方太小', 'star': 3}
{'descr': '交通方便，周边银行齐全。现在还有免费的宝洁公司产品提供使用。但房间之间隔音稍差。', 'star': 5}
{'descr': '酒店位置不错,而且现在也有早餐了,比以前感觉好,下交侩 再选择这里', 'star': 5}
{'descr': '干净舒适，位置很好，在市中心，吃饭逛街比较方便，但是停车位少了点。还好来的早，有地方停车。', 'star': 5}
{'descr': '地段比较好,交通逛街都很方便,就是外墙看起来太陈旧了,像是回到90年代~~', 'star': 5}
{'descr': '蛮小的，卫生很干净，也比较安静，隔音不是很好，总体来说不错了，对得起这价格', 'star': 5}
{'descr': '在丹阳办事，好不容易找到个靠谱一点的酒店，不知不觉中这个酒店还是在丹阳的市中心，城市比较小，但是酒店很舒服，前台的服务生很友好，下次来还会住这里。', 'star': 5}
{'descr': '还行，就是有点小，房间挺干净的，下次还会选择', 'star': 5}
{'descr': '汉庭酒店不错，就在市中心，房间比较大，液晶电视机，有个电视频道是放国外大片的，床很舒服，印象最深的是大堂里可以喝免费的热饮', 'star': 5}
{'descr': '酒店我住的那间就是房间稍微小了点，，干净到是非常干净跟如家的程度差不多，我住的应该是大床房两个枕头，两双拖鞋适合情侣住，为一不足的是网线太短了我只能坐在桌子边上上网 不能把电脑拿到床上去。洗澡到是非常爽', 'star': 5}
{'descr': '环境那个不错 服务态度也好 就是卫生间的水声太大吵  。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '干净  舒适  下次再来！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '还不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '地理位置好，价格不高，房间干净，环境好，挺清爽。', 'star': 5}
{'descr': '还算不错，地理位置好，但临街的房间太吵，隔音不好', 'star': 5}
{'descr': '地理位置不错，就是隔音效果差，环境不错。。。。。。。', 'star': 5}
{'descr': '还OK。。。。路过。。。下次还入住。。。。。。。。。。', 'star': 5}
{'descr': '酒店不错，下次来丹阳的首选', 'star': 3}
{'descr': '电视机不好，其他还可以！交通比较便利，但是大门不好找！楼下电脑无法上网！', 'star': 5}
{'descr': '进去时连毛巾都没有放，说是忘记了，洗澡时连挂衣服的地方都没有！', 'star': 1}
{'descr': '地段不错，在市中心，但是太吵了，头一次住汉庭，感觉比如家还是有些差距', 'star': 1}
{'descr': '汉庭不住套间的话，其实要锦江之星的价格，提供如家的服务', 'star': 1}
{'descr': '价格便宜，位置不错，仅此而已，毕竟是一家快捷酒店，不能要求太高', 'star': 5}
{'descr': '还不错，比较干净整洁，就是沿街的房间早上比较吵', 'star': 5}
