{'descr': '我的首选', 'star': 5}
{'descr': '没有早餐，房间很小，但是该有的都有，周边吃喝玩儿乐都方便！主要是每个房间只能有一张房卡，不适合两个人住，一个拿房卡出去，另一个在房间里没电。前台也没办法。看来是生意太好了', 'star': 5}
{'descr': '每次来苏州的选择，周边交通和餐饮都很方便，门口有停车位，对面还有文化市场，路口的道前街上的银杏树都到了秋季泛黄了很美。', 'star': 4}
{'descr': '卫生和设施实在是差，很多地方都生锈发霉了，很难想象这是连锁酒店，普通小宾馆都比这环境好，毛巾看着不是特别干净也不敢用，隔音很差，门下的缝隙特别大，淋浴水温度要么烫要么冰凉，而且洗着洗着经常会突然凉一下；床一趟吱扭吱扭的响就像要散架了，也不敢大动；唯一好的是服务很热情，去景点有小条写着怎么坐车很方便，态度也很好。就是环境太差', 'star': 3}
{'descr': '干净整洁价格适中', 'star': 5}
{'descr': '前台的服务很热情。', 'star': 4}
{'descr': '前台的服务很好。', 'star': 5}
{'descr': '................', 'star': 5}
{'descr': '房间墙壁发霉，空调不是很热，有点失望', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '住了两次，一般的房间，低端的洗漱用品。', 'star': 5}
{'descr': '酒店位置可以，就是设施太老太旧，卫生一般。', 'star': 4}
{'descr': '一般般，能开专用发票就好了', 'star': 4}
{'descr': '没有想象中的好，房间很小还是高级房，交钱时也没说清楚，等到入住完之后才说要加钱，后来大半夜就不想换房间了。', 'star': 3}
{'descr': '酒店还蛮不错，快捷酒店', 'star': 5}
{'descr': '环境一般 房间里被比较潮 吹风机不是每个房间都配 而是在走廊里公用 不方便', 'star': 3}
{'descr': '酒店感觉一般，应该年代比较久远了，看着什么都脏兮兮的，不过离观前街很近，只要100多也只能将就了。房间靠窗，有点吵。', 'star': 4}
{'descr': '总体来说还可以性价比还行', 'star': 4}
