{'短评内容': '没有早餐，晚上跟早上停水，建议不要来这家住宿。', '短评打分': 3}
{'短评内容': '房间不是很好', '短评打分': 3}
{'短评内容': '挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好，挺好', '短评打分': 5}
{'短评内容': '挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，离万达近，住几次了', '短评打分': 5}
{'短评内容': '挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，挺好的，', '短评打分': 5}
{'短评内容': '服务员太度太差,在携程订的房间她整不明白。', '短评打分': 2}
{'短评内容': '环境不错纯商务型小宾馆，干净、服务不错，出差选择不错，位置好，周围吃饭逛街看电影很方便', '短评打分': 5}
{'短评内容': '便宜，别的没有了', '短评打分': 3}
{'短评内容': '卫生条件太差 临近街道 清晨太吵 房间冷空调不给力', '短评打分': 1}
{'短评内容': '特别好.经济实惠.而且周边环境也挺好的.还有一条美食街.好好哦.下次来大庆还会住哦', '短评打分': 5}
{'短评内容': '服务态度很好，也挺干净的', '短评打分': 3}
{'短评内容': '经济实惠，交通方便！简洁干净', '短评打分': 3}
{'短评内容': '经济实惠，交通方便，干净整洁！', '短评打分': 3}
{'短评内容': '房间非常干净，而且挺大的，卫生间特别宽敞，设有床头控制面板，非常方便，酒店服务人员态度好，周围有商场，就是停车地方小点。', '短评打分': 3}
{'短评内容': '太差了，被子床单潮的不行，床单一块黄一块黄的，太噁心了！洗手池没水，用花洒洗的，睡觉时噪声特别大。要不是下雨不想找，就不会选这家。第二天离店说我们俩女的用了她们计生用品，最后核实了也没道歉什么的，去了那么多宾馆，这家差的也是数一数二了', '短评打分': 3}
