{'短评内容': '酒店设施不错，热水，空调都可以，每次出差的不错选择。', '短评打分': 5}
{'短评内容': '早餐有牛奶面包', '短评打分': 4}
{'短评内容': '停车也方便', '短评打分': 5}
{'短评内容': '除啦网络都好', '短评打分': 3}
{'短评内容': '不错，周边不吵，房间较干净，性价比很高，无线网速也很快的，早上还有牛奶和面包，工作人员的服务也是非常不错的。', '短评打分': 5}
{'短评内容': '还行吧,每次来赣州出差都住这家酒店,位置挺好找的,虽然在路边但很安静,卫生服务环境都挺不错,每天早上还有早餐,很满意哈', '短评打分': 5}
{'短评内容': '.', '短评打分': 5}
{'短评内容': '早餐每天都一样面包加一瓶优酸乳，房间还是可以就是wifi不是很好', '短评打分': 4}
{'短评内容': '环境不错，性价比高。', '短评打分': 5}
{'短评内容': '性价比高房间还不错', '短评打分': 5}
{'短评内容': '第二次住了，交通环境都还可以，不过就是蚊子多', '短评打分': 5}
{'短评内容': '取消了还要评论', '短评打分': 5}
{'短评内容': '服务不是很到位', '短评打分': 5}
{'短评内容': '挺好的，就是周围没吃的', '短评打分': 4}
{'短评内容': '不错，挺好的。', '短评打分': 4}
{'短评内容': '好，环境不错', '短评打分': 4}
{'短评内容': '很好，环境满好', '短评打分': 4}
{'短评内容': '啊还好吧～～', '短评打分': 3}
{'短评内容': '这个酒店总体还说性价比还算不错的！推荐入住！', '短评打分': 4}
{'短评内容': '离火车站比较近，本来定的那个兰姐温馨家庭旅馆，结果到了后兰姐竟然说她们不做了。幸好不是半夜到赣州，不然想哭的感觉。还好携程很快解决了问题，对携程这次解决问题的速度和方案都比较满意！', '短评打分': 4}
{'短评内容': '酒店不错，下次还去那里', '短评打分': 4}
{'短评内容': '住的还是比较顺心的，下次还会选择', '短评打分': 3}
{'短评内容': '一般般 房间小 床又硬', '短评打分': 4}
{'短评内容': '性价比较高，房间空间大，装修比较满意。不足：隔音效果差点', '短评打分': 5}
{'短评内容': '酒店设施表面不错，实际上很差。', '短评打分': 3}
{'短评内容': '住宿和环境还不错，也比较干净，只是早餐差了点', '短评打分': 5}
{'短评内容': ' 位置较偏，房间不大，床确实硬', '短评打分': 3}
{'短评内容': '住得还满意 ，就是床有点硬了。有点偏僻哦~~', '短评打分': 5}
{'短评内容': '温馨的环境，优美的早餐，可口的餐点，优质的服务。', '短评打分': 5}
{'短评内容': '房间挺干净的，设施也很齐全，房间内的小商品价格和外面差不错，这个比较好，酒店后面就是一座山空气也不错，不好的地方是位置相对偏僻，白天外面就很少人，晚上九点以后想去外面吃东西要走十分钟左右，才能看到一两个不怎么样的小吃店，另外就是坐公交车不太方便，酒店正好处于两个公交站的中间位置，但是赣州公交车不错，很多、很准时，城市不大道市中心坐公交20分钟足够了，整体感觉不错。', '短评打分': 5}
{'短评内容': '     酒店还可以，比较安静。', '短评打分': 3}
{'短评内容': '八楼，风景还不错', '短评打分': 3}
{'短评内容': '房间还大，都蛮好！就是床有点硬，设备都很好，还带电脑，呵呵', '短评打分': 5}
{'短评内容': '没网，没电话，说来的服务员没来。第一次网上订购就这样啊！', '短评打分': 3}
{'短评内容': '1房间宽敞大方，设计优雅。\n2服务和卫生都不错。', '短评打分': 5}
