{'descr': '环境不错，挺干净', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '酒店不错，很干净', 'star': 5}
{'descr': '连水都没有……', 'star': 4}
{'descr': '卫生，设施还行吧。', 'star': 4}
{'descr': '还可以吧    价格蛮实惠的', 'star': 5}
{'descr': '房间挺干净的，服务也不错', 'star': 5}
{'descr': '出盐城出差，火车站附近找的，房间还不错，面积也够大', 'star': 5}
{'descr': '说实在的，卫生间都没打扫干净', 'star': 2}
{'descr': '环境设施都不错', 'star': 5}
{'descr': '好！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '住的地方电视有点小，淋浴的喷头不大', 'star': 4}
{'descr': '酒店不错，1、卫生很好，很干净；2、服务员很热情，在电话询问有无熨斗后，扛了熨衣板和熨斗上门；3、热水比较足，开了一会儿就有了；4、酒店离火车站1公里左右，走路10来分钟，很方便！', 'star': 5}
{'descr': '感觉还行，就这样吧，毕竟价格在这', 'star': 5}
{'descr': '环境很好', 'star': 5}
{'descr': '酒店附近餐饮方便，但无购物商场，交通方便！酒店内部设施可以！', 'star': 3}
{'descr': '酒店相当好，环境很好，服务也不错，就是会有人从门缝里塞小卡片进来！呵呵呵！', 'star': 5}
{'descr': '不错，宽敞舒适', 'star': 3}
{'descr': '环境很不错，干净又舒适！对面就是超市，很方便~', 'star': 5}
{'descr': '比较新，整体感觉不错。很好还会再来的。锦江之星的模范', 'star': 5}
{'descr': '环境卫生非常不错，房间的空间也很大很新，只是早餐有点贵18元一位', 'star': 5}
{'descr': '1、位置很好，我从盐城火车站下了车，走了大约十分钟，很容易就找到这家酒店了。对面就有个购物超市，附近有各种学校，吃饭很方便。再往北走十分钟就可以到达新四军纪念馆了。\n2、接待很热情，可以看出生意很好。很庆幸预订时间较早，不然很容易就没有房子了。\n3、房子很新，布局符合一贯的锦江之星简约风格。\n4、热水供应可能有些问题，洗时间长了总是伴随着一会烫了一会凉了的问题。\n5、空调遥控器存在问题，有按了半天', 'star': 5}
{'descr': '很干净。交通也方便。', 'star': 3}
