{'短评内容': '过得去', '短评打分': 4}
{'短评内容': '房子很大，离清澜大桥特近，离海湾很近，500米就是环球码头，6路车的终点站，转12路直接到高铁站，缺点是市区远', '短评打分': 5}
{'短评内容': '第一次去观澜镇，考虑的卫生安全等因素，还是看了网上的评价，到达后非常喜欢，酒店设施很好，装修也上档次，旁边就是码头，每天有最新鲜的海味等着你。好好享受了一次。', '短评打分': 5}
{'短评内容': '一搬', '短评打分': 3}
{'短评内容': '酒店前台服务很一般，服务员都忙着看电影，见到客人都不会打招呼，没有经过正规培训', '短评打分': 3}
{'短评内容': '不能多购发票', '短评打分': 3}
{'短评内容': '酒店走到环球码头太近了，住客人不多还是很舒服的。', '短评打分': 4}
{'短评内容': '可以，春节价格稍贵', '短评打分': 5}
{'短评内容': '还不错，算是文昌不错的酒店，很宽敞，设施很好，很干净', '短评打分': 5}
{'短评内容': '不错，还行。旁边海鲜特别便宜', '短评打分': 3}
{'短评内容': '酒店不远处是环球码头，房间能看到清澜大桥。房间布局合理，干净，舒适。吃海鲜也很方便。非常满意。', '短评打分': 5}
{'短评内容': '出差此地首选，房间不错，前台也不错', '短评打分': 3}
{'短评内容': '还行，在那边还可以', '短评打分': 4}
{'短评内容': '出差一直选这家的。不错', '短评打分': 3}
{'短评内容': '酒店就在环球码头旁边，吃海鲜很方便，步行几分钟就可到码头，自己在市场上选购海鲜，然后在旁边的加工店加工，我们晚上7点左右去的，很多摊位陆续开始收摊了，价格比白天便宜很多。酒店房间很宽敞，也比较干净，总体不错。', '短评打分': 5}
