{'短评内容': '房间挺大的，卫生间也不小呢，衣柜也有，洗漱用品、毛巾什么的都有，东西还是比较齐全的，比我以前住的地方东西多一些，以前住的地方屋里没有桌子，不太方便。这边交通很是方便，就是上网太不方便，床上用品有点旧了，其他都还好，这个地方不能刷卡支付哦，有点小遗憾。', '短评打分': 3}
{'短评内容': '无窗的房间真的好不舒服，需要重新装修了！', '短评打分': 3}
{'短评内容': '不错，。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '还不错，服务态度特别好', '短评打分': 3}
{'短评内容': '来了好几次了，还不错', '短评打分': 3}
{'短评内容': '一般，房间小，洗手间设施也不全。', '短评打分': 4}
{'短评内容': '酒店地理位置不错，周围商店多离家乐福很近，吃东西很方便，离中央大街打车也就10块钱。房间环境不怎么样，有点味道，设施有些陈旧，隔音不好，但对于旅游高峰期这个价格也还算合理吧。', '短评打分': 4}
{'短评内容': '交通方便，环境一般。', '短评打分': 3}
{'短评内容': '感觉很一般----------', '短评打分': 3}
{'短评内容': '感觉一般，比较便宜.-----------', '短评打分': 3}
{'短评内容': '还可以 价格不贵  如果让顾客感觉物超所值就更好了 卫生 和服务有待提高 ', '短评打分': 5}
{'短评内容': '我在这家呆了三天，服务很热情到位，冬天屋里挺暖和的，大床房很舒服，下次到哈尔滨了还去这儿住', '短评打分': 5}
{'短评内容': '性价比高，但服务不好，房间设施不全，有点冷', '短评打分': 5}
