{'短评内容': '设施很齐全，服务很周到', '短评打分': 5}
{'短评内容': '环境很好，就在江边，下面是商场，旁边一条街也有很多吃的，晚上还有夜宵出摊。美女老板人很好很热心，还提醒热水器太烫可以开小一点，可是这个季节的问题是热水器不是很热。。。。。。另外就是是进去的路太崎岖，要去负二停车场绕一圈。', '短评打分': 5}
{'短评内容': '公寓式酒店，50多平米，有飘窗能看到长江，整洁卫生小资情调，小区环境优雅，植被茂盛！网定的特价房，超值！离公交站不远，出行还算方便！推荐住宿！找不到房间照了，这是楼宇门口！', '短评打分': 5}
{'短评内容': '服务好性价比高 还给我们升级  前台小美女 超级小喜欢  很可爱的 房间高大上  棒极了', '短评打分': 5}
{'短评内容': '前天台小姑娘又热情又漂亮 环境又好  性价比高  推窗看江 前台小姑娘代表着重庆超级热情  下次还要继续住这里  也要介绍给朋友们   ', '短评打分': 5}
{'短评内容': '房间干净，拉开窗帘就能看到江', '短评打分': 5}
{'短评内容': '位置好酒店也很干净，服务很贴心，好评！', '短评打分': 5}
{'短评内容': '江景漂亮，空调开暖气时有点吵，枕头很舒服，请注意床尾，我和朋友都撞到了，好痛！记得在公用观景台走走，风景很好，下次还会选择的', '短评打分': 5}
{'短评内容': '真的很不错，老板人也很好，看到美丽的长江大桥，尤其是夜晚，整个长江的景色尽收眼底，如果有机会一定还来这里。', '短评打分': 5}
{'短评内容': '非常喜欢，干净整洁。还有洗衣机可以洗衣服，住得非常舒服。', '短评打分': 5}
{'短评内容': '美式家具布置，耐心谦和的老板娘', '短评打分': 5}
{'短评内容': '整个环境很好，住过一次了，上次忘了给好评，浴室很大很宽敞有浴缸还有淋浴间，落地窗可以看到很大一片江景，以后来重庆就认定这家了，南滨路酒店虽然竞争很激烈，但是我还是觉得这是我最喜欢的酒店，老板娘真的超热情', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '非常不错的地段，老板娘很热情好客，总体很满意，谢谢！', '短评打分': 5}
{'短评内容': '工作人员服务热情，周边环境房间设施很好，有机会再去重庆还选这', '短评打分': 5}
