{'短评内容': '晚上蚊子太多了', '短评打分': 3}
{'短评内容': '还没到退房时间，只是出去办点事回去房间都收拾了，无语', '短评打分': 3}
{'短评内容': '因为位置和价格的原因，主要就是将就一下就可以。', '短评打分': 4}
{'短评内容': '环境一般，装修硬件设备一般，洗手间太小，但是价钱便宜，一分钱一分货。', '短评打分': 3}
{'短评内容': '装修方面一般般，比较陈旧，不过挺安静的，服务方面挺不错', '短评打分': 3}
{'短评内容': '感觉很不错，价格适中', '短评打分': 3}
{'短评内容': '环境不错。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '房间挺大，床也挺大的，不过设备和装修比较旧。有电梯，房间有窗', '短评打分': 3}
{'短评内容': '一切都還好，只是應該多添加點電腦房，可讓客人更方便', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以，价钱对得起质量', '短评打分': 3}
{'短评内容': '一般！！！！！！！！！！！！！！！！！', '短评打分': 3}
