{'短评内容': '行。。挺好的', '短评打分': 5}
{'短评内容': '非常好 非常不错', '短评打分': 5}
{'短评内容': '很不错 很舒适 很好 很牛', '短评打分': 5}
{'短评内容': '很棒，交通便利，前台服务很贴心，下次还会来的，非常喜欢这里的城市空气', '短评打分': 5}
{'短评内容': '那就一个字。差', '短评打分': 2}
{'短评内容': '酒店说是汉庭中端，但是还不如汉庭。服务员服务差，房间环境一般，竟然没有毛巾，给前台打电话，过了一会送来一个蓝色的大浴巾！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以  环境一般', '短评打分': 4}
{'短评内容': '周边环境很好，服务挺好，设施配套相对地级市，及入住价格来说一般，卫生也相对一般，携程定制应当适当给予方便和优惠，方能体现携程会员对携程的信赖和支持！', '短评打分': 5}
{'短评内容': '方便快捷', '短评打分': 5}
{'短评内容': '不错，，，，，', '短评打分': 5}
{'短评内容': '干净卫生舒适，装修也不错', '短评打分': 5}
{'短评内容': '凑字数。。。。。。。。。', '短评打分': 5}
{'短评内容': '凑字数。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '凑字数。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '真的不错啊', '短评打分': 5}
{'短评内容': '酒店的位置很好，周边购物、餐饮、娱乐、银行、公交站一应俱全，非常方便。房间较大，比较整洁，服务很好。', '短评打分': 5}
{'短评内容': '服务优，干净卫生', '短评打分': 5}
{'短评内容': '酒店环境很好，很新', '短评打分': 5}
{'短评内容': '还可以吧，去参加会议的，贪图的是离会场近。', '短评打分': 4}
{'短评内容': '旁边有卡拉OK厅。晚上比较吵闹。房间空调无法控制风速。', '短评打分': 3}
{'短评内容': '酒店不错，位置很好，房间卫生搞定，服务员业很热情，房间也很大，房间安排在9层，可以看到泰山，视觉不错，比想象中要好很多。', '短评打分': 5}
{'短评内容': '酒店位置很好，靠近商场，附近吃饭的地方也很方便，丽火车站很近，出行也很方便到高铁站也有公交车，给朋友订的，朋友很满意。', '短评打分': 5}
{'短评内容': '周边太冷清', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店除了大厅较小外，其他挺好的，性价比可以，设施较新。不知是我们自己没能理解酒店的面积算法还是酒店自己计算房间面积方法不一致，房间面积其实挺大的，但是才标20平方，差点就不选它了，住进去后实际感觉比很多其他标28,30的房间大多了，建议酒店再算算。哈哈。。。', '短评打分': 5}
{'短评内容': '酒店有到天地广场、岱庙、泰山火车站的公交车。城市本来就小，公交车很方便1-2元不等。打车也就是一个起步价吧，6元的起步价\n238元不含早在端午节入住的，性价比一般。三星标准有的，主要是新装修的酒店，硬件设施都还是可以的，干净卫生。\n服务的话，倒是没感觉到多少，因为不需要。呵呵\n入住、退房都还快的。\n下回去泰山还会考虑入住。', '短评打分': 5}
{'短评内容': '很好的酒店，房间很大很舒服，服务也很好。', '短评打分': 3}
{'短评内容': '很好的酒店，房间很大，物超所值', '短评打分': 3}
{'短评内容': '酒店很干净，房间空间也比较大，床很软很舒服。', '短评打分': 5}
{'短评内容': '这家酒店性价比很高，虽然离景区比较远点，但其周边条件都可以弥补了！下次还会选择', '短评打分': 3}
{'短评内容': '服务细节不够，买饮料还不能挂房费...', '短评打分': 3}
{'短评内容': '酒店挺不错的 很新 刚开没多久。下次去泰安还会考虑', '短评打分': 5}
{'短评内容': '价格便宜， 但是房间真的很舒服， 干净， 值的推荐。 ', '短评打分': 5}
{'短评内容': '这个酒店太舒服了， 推荐。 尤其他们家的床， 精品啊！ ', '短评打分': 5}
{'短评内容': '商务单人房不错，很宽敞，是间大通间，进门就能看见沙发和茶几。床与此之间用一长条的电脑桌与大尺寸的电视机方桌隔开，视线很通透。因为住在10楼，光线也挺好。唯独不好的是电视的屏显精度不够。缺憾是卫生间小了，而且卫生间门打开门直接堵住了马桶，开关不是很方便。马桶地面凸起的吸门磁盘，我的脚被无情的撞了2次，为了能将衣服放置在马桶上端的置物架上。请各位先生女士们使用时也万分小心。\n前台接待态度也很好。', '短评打分': 5}
{'短评内容': '很不错的酒店，下次还会再去的', '短评打分': 3}
{'短评内容': '豪华单人间还不错 值得这个价钱 装修也不错', '短评打分': 5}
{'短评内容': '非常好！！房间设施相当人性化，服务态度非常好！！！值得一住！', '短评打分': 5}
{'短评内容': '新开的酒店，很干净，设施很好，服务也周到，位置不错，就是隔音不太好，附近好像有酒吧，有点吵，整体感觉很不错。', '短评打分': 5}
{'短评内容': '五星级的体验，二星级的消费，房间真的很大很漂亮，床也非常大而且特别舒服，很干净，地毯很舒服，因为刚装修的，什么都是新的，电视机也很大很新，窗户很大，而且能看到山景，住着特别舒服。服务也很到位。唯一不好的就是空调是中央空调，不是特别给力。。。。', '短评打分': 5}
